Team,Year,GF,SOG,S%,SOG/GP,PK SI,PK SI/GP,PK GA,PK GA/GP,PK%,PKT,PK time/GP,SHG,PK GF/GP,GF/GP,GA,GA/GP,GF even,GF even/GP,GA even,GA even/GP,PPG,PPG/GP,PP GA,PP GA/GP,SOWGF,SOWGA,2' ,5',10',GM,MP,PIM Total,PP OP,PP OP/GP,PP%,PPT,PP time/GP,Number of year
EHC Biel,0910,134,1'340,10.0,27,266,5.32,45,0.9,83.08,405:36,08:06,7,0.14,2.68,182,3.64,80,1.6,129,2.58,44,0.88,5,0.1,3,3,303,2,12,1,1,776,259,5.18,16.99,398:40,07:58,1
EHC Biel,1011,135,1'530,8.82,31,201,4.02,47,0.94,76.62,323:29,06:28,3,0.06,2.7,173,3.46,89,1.78,116,2.32,39,0.78,6,0.12,4,4,226,4,8,4,0,632,201,4.02,19.4,323:04,06:27,1
EHC Biel,1112,114,1'584,7.2,32,200,4.0,35,0.7,82.5,329:47,06:35,1,0.02,2.28,128,2.56,80,1.6,88,1.76,30,0.6,4,0.08,3,1,216,6,2,5,1,602,198,3.96,15.15,323:53,06:28,1
EHC Biel,1213,160,1'733,9.23,35,198,3.96,33,0.66,83.33,317:33,06:21,7,0.14,3.2,161,3.22,112,2.24,118,2.36,37,0.74,7,0.14,4,3,239,1,8,1,0,583,231,4.62,16.02,363:29,07:16,1
EHC Biel,1314,115,1'760,6.53,35,197,3.94,34,0.68,82.74,298:08,05:57,5,0.1,2.3,154,3.08,74,1.48,110,2.2,30,0.6,8,0.16,6,2,214,0,2,1,0,468,197,3.94,15.23,304:24,06:05,1
EHC Biel,1415,142,1'547,9.18,31,167,3.34,37,0.74,77.84,261:24,05:13,3,0.06,2.84,164,3.28,101,2.02,122,2.44,35,0.7,3,0.06,3,2,189,2,5,3,0,498,188,3.76,18.62,305:57,06:07,1
EHC Biel,1516,128,1'741,7.35,35,197,3.94,53,1.06,73.1,283:07,05:39,3,0.06,2.56,175,3.5,79,1.58,115,2.3,44,0.88,5,0.1,2,2,203,4,3,4,0,536,200,4.0,22.0,311:08,06:13,1
EV Zug,0910,165,1'881,8.77,38,229,4.58,34,0.68,85.15,370:40,07:24,6,0.12,3.3,125,2.5,101,2.02,86,1.72,50,1.0,4,0.08,3,1,289,3,12,3,0,773,221,4.42,22.62,342:16,06:50,1
EV Zug,1011,176,1'701,10.35,34,224,4.48,37,0.74,83.48,368:21,07:22,2,0.04,3.52,143,2.86,135,2.7,102,2.04,36,0.72,2,0.04,3,2,280,4,21,7,0,930,200,4.0,18.0,319:19,06:23,1
EV Zug,1112,173,1'623,10.66,32,221,4.42,27,0.54,87.78,371:22,07:25,5,0.1,3.46,131,2.62,122,2.44,91,1.82,41,0.82,7,0.14,5,6,280,8,11,7,1,870,198,3.96,20.71,377:09,07:32,1
