Spieler,Pos,Team,Year,GP,G,SOG,S%,SOG/GP,A,PTS,P/GP,PIM Total,+/-,A1,A2,GWG,EQG,EQA,PPG,PPA,SHG,SHA,2' ,5',10',GM,MP,PS,PSG,PSM,PS%,GWG PS,Number of year
Abid Ramzi,Forward,SC Bern,es/08,33,,,,,,,,,,,,,,,,,,,26.0,1.0,1.0,1.0,0.0,,,,,,1
Abid Ramzi,Forward,SC Bern,ls/08,33,,,,,,,,,,14.0,8.0,2.0,5.0,15.0,4.0,7.0,0.0,0.0,,,,,,,,,,,1
Abid Ramzi,Forward,SC Bern,ry/08,33,,,,,22.0,31.0,0.94,87.0,6.0,,,,,,,,,,,,,,,,,,,,1
Abid Ramzi,Forward,SC Bern,ts/08,33,9.0,78.0,11.54,2.36,,,,,,,,,,,,,,,,,,,,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,es/08,44,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,es/09,47,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,0.0,0.0,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,es/10,42,,,,,,,,,,,,,,,,,,,9.0,0.0,1.0,0.0,0.0,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,es/11,46,,,,,,,,,,,,,,,,,,,10.0,1.0,0.0,1.0,0.0,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,es/12,46,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,0.0,0.0,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,es/13,42,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,es/14,39,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,0.0,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,es/15,38,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,ls/08,44,,,,,,,,,,3.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,ls/09,47,,,,,,,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,,,,,,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,ls/10,42,,,,,,,,,,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,ls/11,46,,,,,,,,,,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
