R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
1;Riesen Michel;HC Davos;Stürmer;21;9;3;3;0;2;5;0;4;3;0;0
2;Sykora Petr;HC Davos;Stürmer;18;8;3;2;1;2;5;2;3;1;0;0
3;Von Arx Reto;HC Davos;Stürmer;21;7;8;7;1;1;2;5;5;3;0;0
4;Liniger Michael;Kloten Flyers;Stürmer;15;6;7;5;2;2;4;4;1;3;1;0
5;Rintanen Kimmo;Kloten Flyers;Stürmer;15;6;7;2;5;1;3;2;2;5;1;0
6;Sprunger Julien;Fribourg-Gottéron;Stürmer;10;6;4;3;1;1;5;3;1;1;0;0
7;Jinman Lee;HC Davos;Stürmer;15;6;4;2;2;1;3;2;3;2;0;0
8;Wick Roman;Kloten Flyers;Stürmer;15;5;9;5;4;3;1;5;2;3;2;1
9;Guggisberg Peter;HC Davos;Stürmer;21;5;8;7;1;1;5;6;0;2;0;0
10;Von Gunten Patrick;Kloten Flyers;Verteidiger;15;5;4;1;3;2;4;3;0;1;1;0
11;Santala Tommi;Kloten Flyers;Stürmer;15;4;5;4;1;0;2;0;2;3;0;2
12;Brown Curtis;Kloten Flyers;Stürmer;15;4;5;4;1;0;0;4;4;1;0;0
13;Taticek Petr;HC Davos;Stürmer;21;4;5;3;2;0;4;1;0;4;0;0
14;Nummelin Petteri;HC Lugano;Verteidiger;7;4;5;2;3;0;2;1;2;4;0;0
15;Plüss Martin;SC Bern;Stürmer;6;4;4;1;3;1;4;0;0;3;0;1
16;Ambühl Andres;HC Davos;Stürmer;21;4;3;3;0;2;4;3;0;0;0;0
17;Camichel Corsin;EV Zug;Stürmer;10;4;3;2;1;1;3;3;0;0;1;0
18;Stancescu Victor;Kloten Flyers;Stürmer;11;4;2;2;0;0;4;2;0;0;0;0
19;Sannitz Raffaele;HC Lugano;Stürmer;7;4;0;0;0;0;3;0;1;0;0;0
20;Jenni Marcel;Kloten Flyers;Stürmer;15;3;10;7;3;0;1;6;1;2;1;2
21;Plüss Benny;Fribourg-Gottéron;Stürmer;11;3;6;5;1;2;2;5;1;1;0;0
22;McTavish Dale;EV Zug;Stürmer;10;3;4;3;1;0;2;1;1;3;0;0
