R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
1;Ambühl Andres;HC Davos;Stürmer;21;48;24;0;0;0;0
2;Forster Beat;HC Davos;Verteidiger;21;44;17;0;1;0;0
3;Gamache Simon;SC Bern;Stürmer;4;39;2;1;1;1;0
4;Harrison Jay;EV Zug;Verteidiger;7;33;4;1;0;0;1
5;Heins Shawn;Fribourg-Gottéron;Verteidiger;10;31;3;1;0;0;1
6;Kolnik Juraj;Genève-Servette HC;Stürmer;3;30;0;0;1;1;0
7;Oppliger Patrick;EV Zug;Stürmer;10;29;2;1;0;1;0
8;Ziegler Thomas;SC Bern;Stürmer;6;27;1;1;0;1;0
9;Robitaille Randy;HC Lugano;Stürmer;7;22;6;0;1;0;0
10;Meier Daniel;SC Bern;Stürmer;6;22;6;0;1;0;0
11;Fischer Patrick;EV Zug;Stürmer;10;22;11;0;0;0;0
12;Vukovic Daniel;Genève-Servette HC;Verteidiger;4;20;5;0;1;0;0
13;Holden Josh;EV Zug;Stürmer;10;20;5;0;1;0;0
14;Grossmann Robin;HC Davos;Verteidiger;21;20;10;0;0;0;0
15;Du Bois Felicien;Kloten Flyers;Verteidiger;15;20;10;0;0;0;0
16;Brown Curtis;Kloten Flyers;Stürmer;15;20;5;0;1;0;0
17;Santala Tommi;Kloten Flyers;Stürmer;15;18;9;0;0;0;0
18;Rizzi Sandro;HC Davos;Verteidiger;21;18;9;0;0;0;0
19;Wieser Dino;HC Davos;Stürmer;20;16;3;0;1;0;0
20;Von Arx Reto;HC Davos;Stürmer;21;16;8;0;0;0;0
21;Seydoux Philippe;Fribourg-Gottéron;Verteidiger;11;16;8;0;0;0;0
22;Birbaum Alain;Fribourg-Gottéron;Verteidiger;11;16;8;0;0;0;0
23;Back Rene;EV Zug;Verteidiger;10;16;8;0;0;0;0
24;Ritchie Byron;Genève-Servette HC;Stürmer;3;14;2;0;1;0;0
25;Maurer Marco;EV Zug;Verteidiger;10;14;7;0;0;0;0
26;Bühler Cyrill;ZSC Lions;Stürmer;4;14;2;0;1;0;0
27;Winkler Benjamin;Kloten Flyers;Verteidiger;14;12;6;0;0;0;0
28;Wick Roman;Kloten Flyers;Stürmer;15;12;1;0;1;0;0
29;Taticek Petr;HC Davos;Stürmer;21;12;6;0;0;0;0
30;Maneluk Mike;HC Lugano;Stürmer;3;12;1;0;1;0;0
31;Isbister Brad;EV Zug;Stürmer;3;12;1;0;1;0;0
32;Helbling Timo;HC Lugano;Verteidiger;7;12;6;0;0;0;0
33;Hamr Radek;Kloten Flyers;Verteidiger;15;12;6;0;0;0;0
34;Grauwiler Lukas;ZSC Lions;Stürmer;4;12;6;0;0;0;0
35;Camichel Corsin;EV Zug;Stürmer;10;12;6;0;0;0;0
36;Abid Ramzi;SC Bern;Stürmer;1;12;1;0;1;0;0
37;Wieser Marc;HC Davos;Stürmer;16;10;5;0;0;0;0
38;Welti Marc;Kloten Flyers;Verteidiger;15;10;5;0;0;0;0
39;Von Arx Jan;HC Davos;Verteidiger;20;10;5;0;0;0;0
40;Sannitz Raffaele;HC Lugano;Stürmer;7;10;5;0;0;0;0
41;Blatter Florian;HC Davos;Verteidiger;21;10;5;0;0;0;0
42;Walser Thomas;Kloten Flyers;Stürmer;15;8;4;0;0;0;0
43;Pittis Domenico;ZSC Lions;Stürmer;4;8;4;0;0;0;0
44;Montandon Gil;Fribourg-Gottéron;Stürmer;11;8;4;0;0;0;0
45;Liniger Michael;Kloten Flyers;Stürmer;15;8;4;0;0;0;0
46;Jeannin Sandy;Fribourg-Gottéron;Stürmer;11;8;4;0;0;0;0
47;Gobbi John;Genève-Servette HC;Verteidiger;4;8;4;0;0;0;0
48;Chiesa Alessandro;HC Lugano;Verteidiger;7;8;4;0;0;0;0
49;Camichel Duri;EV Zug;Stürmer;10;8;4;0;0;0;0
50;Bürgler Dario;HC Davos;Stürmer;21;8;4;0;0;0;0
51;Breitbach Robin;Genève-Servette HC;Verteidiger;4;8;4;0;0;0;0
52;Von Gunten Patrick;Kloten Flyers;Verteidiger;15;6;3;0;0;0;0
53;Vauclair Julien;HC Lugano;Verteidiger;7;6;3;0;0;0;0
54;Sykora Petr;HC Davos;Stürmer;18;6;3;0;0;0;0
55;Suchy Radoslav;ZSC Lions;Verteidiger;4;6;3;0;0;0;0
56;Stancescu Victor;Kloten Flyers;Stürmer;11;6;3;0;0;0;0
57;Sprunger Julien;Fribourg-Gottéron;Stürmer;10;6;3;0;0;0;0
58;Schrepfer Rolf;Kloten Flyers;Stürmer;9;6;3;0;0;0;0
59;Schnyder Fabian;EV Zug;Stürmer;10;6;3;0;0;0;0
60;Rytz Philippe;SC Bern;Verteidiger;6;6;3;0;0;0;0
61;Rubin Daniel;Genève-Servette HC;Stürmer;4;6;3;0;0;0;0
62;Roche Travis;SC Bern;Verteidiger;4;6;3;0;0;0;0
63;Reist Alain;Fribourg-Gottéron;Verteidiger;11;6;3;0;0;0;0
64;Reichert Marc;SC Bern;Stürmer;6;6;3;0;0;0;0
65;Näser Andy;HC Lugano;Stürmer;7;6;3;0;0;0;0
66;Monnet Thibaut;ZSC Lions;Stürmer;4;6;3;0;0;0;0
67;McTavish Dale;EV Zug;Stürmer;10;6;3;0;0;0;0
68;Lindemann Sven;Kloten Flyers;Stürmer;15;6;3;0;0;0;0
69;Leblanc Robin;HC Davos;Stürmer;14;6;3;0;0;0;0
70;Kellenberger Steve;Kloten Flyers;Stürmer;15;6;3;0;0;0;0
71;Jinman Lee;HC Davos;Stürmer;15;6;3;0;0;0;0
72;Jenni Marcel;Kloten Flyers;Stürmer;15;6;3;0;0;0;0
73;Gelinas Martin;SC Bern;Stürmer;6;6;3;0;0;0;0
74;Furrer Philippe;SC Bern;Verteidiger;6;6;3;0;0;0;0
75;Casutt Corsin;EV Zug;Stürmer;10;6;3;0;0;0;0
76;Carney Keith;SC Bern;Verteidiger;6;6;3;0;0;0;0
77;Bonnet Julien;Kloten Flyers;Verteidiger;10;6;3;0;0;0;0
78;Vauclair Tristan;HC Lugano;Stürmer;5;4;2;0;0;0;0
79;Vauclair Geoffrey;Fribourg-Gottéron;Stürmer;9;4;2;0;0;0;0
80;Steinmann Janick;EV Zug;Stürmer;9;4;2;0;0;0;0
81;Snell Wesley;Fribourg-Gottéron;Verteidiger;11;4;2;0;0;0;0
82;Rothen Frederic;Kloten Flyers;Stürmer;7;4;2;0;0;0;0
83;Riesen Michel;HC Davos;Stürmer;21;4;2;0;0;0;0
84;Ngoy Michael;Fribourg-Gottéron;Verteidiger;9;4;2;0;0;0;0
85;Neuenschwander Caryl;Fribourg-Gottéron;Stürmer;9;4;2;0;0;0;0
86;Mowers Mark;Fribourg-Gottéron;Stürmer;5;4;2;0;0;0;0
87;Meunier Laurent;Fribourg-Gottéron;Stürmer;8;4;2;0;0;0;0
88;Mercier Jonathan;Genève-Servette HC;Verteidiger;4;4;2;0;0;0;0
89;Lauper Adrien;Fribourg-Gottéron;Stürmer;11;4;2;0;0;0;0
90;Kostovic Dario;HC Lugano;Stürmer;6;4;2;0;0;0;0
91;Keller Olivier;Genève-Servette HC;Verteidiger;4;4;2;0;0;0;0
92;Guggisberg Peter;HC Davos;Stürmer;21;4;2;0;0;0;0
93;Gianola Marc;HC Davos;Verteidiger;21;4;2;0;0;0;0
94;Gerber Beat;SC Bern;Verteidiger;6;4;2;0;0;0;0
95;Fedulov Igor;Genève-Servette HC;Stürmer;4;4;2;0;0;0;0
96;Dupont Micki;EV Zug;Verteidiger;10;4;2;0;0;0;0
