R;Spieler;Team;Pos;GP;PS;PSG;PSM;PS%;GWG PS
1;Nilsson Robert;ZSC Lions;Stürmer;18;4;3;1;75;2
2;Wick Roman;ZSC Lions;Stürmer;18;2;1;1;50;0
3;Shannon Ryan;ZSC Lions;Stürmer;18;2;0;2;0;0
4;Setzinger Oliver;Lausanne HC;Stürmer;7;2;1;1;50;0
5;Lemm Romano;Kloten Flyers;Stürmer;16;2;1;1;50;0
6;Bärtschi Patrik;ZSC Lions;Stürmer;18;2;0;2;0;0
7;Stancescu Victor;Kloten Flyers;Stürmer;16;1;0;1;0;0
8;Simek Juraj;Genève-Servette HC;Stürmer;12;1;0;1;0;0
9;Schlumpf Dominik;HC Lugano;Verteidiger;4;1;0;1;0;0
10;Santala Tommi;Kloten Flyers;Stürmer;16;1;0;1;0;0
11;Rod Noah;Genève-Servette HC;Stürmer;12;1;1;0;100;1
12;Pettersson Fredrik;HC Lugano;Stürmer;5;1;0;1;0;0
13;McLean Brett;HC Lugano;Stürmer;5;1;0;1;0;0
14;Liniger Michael;Kloten Flyers;Stürmer;14;1;0;1;0;0
15;Keller Ryan;ZSC Lions;Stürmer;18;1;0;1;0;0
16;Irmen Danny;HC Lugano;Stürmer;4;1;0;1;0;0
17;Hytönen Juha-Pekka;Lausanne HC;Stürmer;7;1;0;1;0;0
18;Hollenstein Denis;Genève-Servette HC;Stürmer;12;1;0;1;0;0
19;Hennessy Josh;Kloten Flyers;Stürmer;6;1;0;1;0;0
20;Genoway Colby;Lausanne HC;Stürmer;7;1;1;0;100;0
21;Genazzi Joël;Lausanne HC;Verteidiger;7;1;0;1;0;0
22;Fazzini Luca;HC Lugano;Stürmer;1;1;0;1;0;0
23;Daugavins Kaspars;Genève-Servette HC;Stürmer;12;1;0;1;0;0
24;Bergeron Marc-André;ZSC Lions;Verteidiger;14;1;1;0;100;0
25;Bang Daniel;Lausanne HC;Stürmer;7;1;0;1;0;0
26;Almond Cody;Genève-Servette HC;Stürmer;12;1;0;1;0;0
27;Williams Jason;HC Ambri-Piotta;Stürmer;2;0;0;0;-;0
28;Wieser Dino;HC Davos;Stürmer;6;0;0;0;-;0
29;Walsky Eric;HC Lugano;Stürmer;5;0;0;0;-;0
30;Walser Samuel;HC Davos;Stürmer;6;0;0;0;-;0
31;Walker Julian;HC Lugano;Stürmer;4;0;0;0;-;0
32;Vukovic Daniel;Genève-Servette HC;Verteidiger;12;0;0;0;-;0
33;Von Gunten Patrick;Kloten Flyers;Verteidiger;14;0;0;0;-;0
34;Von Arx Reto;HC Davos;Stürmer;3;0;0;0;-;0
35;Von Arx Jan;HC Davos;Verteidiger;6;0;0;0;-;0
36;Vauclair Tristan;Fribourg-Gottéron;Stürmer;10;0;0;0;-;0
37;Vauclair Julien;HC Lugano;Verteidiger;5;0;0;0;-;0
38;Vandermeer James;Kloten Flyers;Verteidiger;16;0;0;0;-;0
39;Ulmer Stefan;HC Lugano;Verteidiger;5;0;0;0;-;0
