R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
1;Keller Ryan;ZSC Lions;Stürmer;18;11;56;19.64;3.11
2;Bieber Matthias;Kloten Flyers;Stürmer;16;4;56;7.14;3.50
3;Wick Roman;ZSC Lions;Stürmer;18;3;52;5.77;2.89
4;Stancescu Victor;Kloten Flyers;Stürmer;16;4;52;7.69;3.25
5;Nilsson Robert;ZSC Lions;Stürmer;18;2;46;4.35;2.56
6;Kenins Ronalds;ZSC Lions;Stürmer;18;4;46;8.70;2.56
7;Dupont Micki;Kloten Flyers;Verteidiger;16;1;44;2.27;2.75
8;Bergeron Marc-André;ZSC Lions;Verteidiger;14;2;43;4.65;3.07
9;Bärtschi Patrik;ZSC Lions;Stürmer;18;3;41;7.32;2.28
10;Mauldin Greg;Fribourg-Gottéron;Stürmer;10;5;40;12.5;4.00
11;Mueller Peter;Kloten Flyers;Stürmer;10;2;37;5.41;3.70
12;Blindenbacher Severin;ZSC Lions;Verteidiger;18;1;36;2.78;2.00
13;Cunti Luca;ZSC Lions;Stürmer;18;5;35;14.29;1.94
14;Shannon Ryan;ZSC Lions;Stürmer;18;5;34;14.71;1.89
15;Hagman Niklas;Fribourg-Gottéron;Stürmer;10;3;33;9.09;3.30
16;Hollenstein Denis;Genève-Servette HC;Stürmer;12;1;32;3.12;2.67
17;Bezina Goran;Genève-Servette HC;Verteidiger;12;0;32;0;2.67
18;Geering Patrick;ZSC Lions;Verteidiger;16;0;31;0;1.94
19;Daugavins Kaspars;Genève-Servette HC;Stürmer;12;5;31;16.13;2.58
20;Sprunger Julien;Fribourg-Gottéron;Stürmer;10;6;30;20;3.00
21;Santala Tommi;Kloten Flyers;Stürmer;16;5;30;16.67;1.88
22;Kwiatkowski Joel;Fribourg-Gottéron;Verteidiger;10;2;29;6.90;2.90
23;Picard Alexandre;Genève-Servette HC;Stürmer;11;6;28;21.43;2.55
24;Vandermeer James;Kloten Flyers;Verteidiger;16;1;27;3.70;1.69
25;Pouliot Marc-Antoine;Fribourg-Gottéron;Stürmer;10;2;27;7.41;2.70
26;Bykov Andrey;Fribourg-Gottéron;Stürmer;10;3;27;11.11;2.70
27;Bastl Mark;ZSC Lions;Stürmer;18;2;27;7.41;1.50
28;Marti Christian;Genève-Servette HC;Verteidiger;12;1;26;3.85;2.17
29;Von Gunten Patrick;Kloten Flyers;Verteidiger;14;1;25;4;1.79
30;Romy Kevin;Genève-Servette HC;Stürmer;12;3;25;12;2.08
31;Mercier Jonathan;Genève-Servette HC;Verteidiger;12;0;24;0;2.00
32;Lombardi Matthew;Genève-Servette HC;Stürmer;12;3;24;12.5;2.00
33;Liniger Michael;Kloten Flyers;Stürmer;14;3;24;12.5;1.71
34;Lemm Romano;Kloten Flyers;Stürmer;16;3;24;12.5;1.50
35;Kamerzin Jérémie;Fribourg-Gottéron;Verteidiger;9;2;24;8.33;2.67
36;Bühler Cyrill;Kloten Flyers;Stürmer;16;1;24;4.17;1.50
37;Almond Cody;Genève-Servette HC;Stürmer;12;0;24;0;2.00
38;Jenni Marcel;Kloten Flyers;Stürmer;15;1;23;4.35;1.53
39;Blum Eric-Ray;Kloten Flyers;Verteidiger;15;3;23;13.04;1.53
40;Trachsler Morris;ZSC Lions;Stürmer;15;1;22;4.55;1.47
41;Seger Mathias;ZSC Lions;Verteidiger;17;2;22;9.09;1.29
42;Schäppi Reto;ZSC Lions;Stürmer;18;0;22;0;1.22
43;Plüss Benny;Fribourg-Gottéron;Stürmer;10;1;21;4.76;2.10
44;Paulsson Marcus;HC Davos;Stürmer;6;3;20;15;3.33
45;Huguenin Anthony;Fribourg-Gottéron;Verteidiger;10;1;20;5;2.00
46;Simek Juraj;Genève-Servette HC;Stürmer;12;4;19;21.05;1.58
47;McCarthy Steve;ZSC Lions;Verteidiger;18;0;19;0;1.06
48;Herren Yannick;Kloten Flyers;Stürmer;16;0;19;0;1.19
49;Deruns Thomas;Lausanne HC;Stürmer;7;1;19;5.26;2.71
50;Antonietti Benjamin;Lausanne HC;Stürmer;7;3;19;15.79;2.71
51;Vukovic Daniel;Genève-Servette HC;Verteidiger;12;1;18;5.56;1.50
52;Vauclair Tristan;Fribourg-Gottéron;Stürmer;10;2;18;11.11;1.80
53;Pettersson Fredrik;HC Lugano;Stürmer;5;1;18;5.56;3.60
54;Fritsche Dan;ZSC Lions;Stürmer;18;2;18;11.11;1.00
55;Bodenmann Simon;Kloten Flyers;Stürmer;13;2;18;11.11;1.38
56;Steinmann Janick;Kloten Flyers;Stürmer;16;3;16;18.75;1.00
57;Petrell Lennart;Genève-Servette HC;Stürmer;12;1;16;6.25;1.33
58;Fritsche John;Fribourg-Gottéron;Stürmer;10;0;16;0;1.60
59;Antonietti Eliot;Genève-Servette HC;Verteidiger;12;0;16;0;1.33
60;Schelling Philippe;Kloten Flyers;Verteidiger;16;0;15;0;0.94
61;Hennessy Josh;Kloten Flyers;Stürmer;6;1;15;6.67;2.50
62;Giroux Alexandre;HC Ambri-Piotta;Stürmer;4;2;15;13.33;3.75
63;Dubé Christian;Fribourg-Gottéron;Stürmer;10;1;15;6.67;1.50
