R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
1;Keller Ryan;ZSC Lions;Stürmer;18;11;3;14;0.78;8;10
2;Santala Tommi;Kloten Flyers;Stürmer;16;5;9;14;0.88;22;2
3;Daugavins Kaspars;Genève-Servette HC;Stürmer;12;5;8;13;1.08;2;4
4;Shannon Ryan;ZSC Lions;Stürmer;18;5;7;12;0.67;2;10
5;Sprunger Julien;Fribourg-Gottéron;Stürmer;10;6;4;10;1.00;4;-3
6;Cunti Luca;ZSC Lions;Stürmer;18;5;5;10;0.56;10;-2
7;Lombardi Matthew;Genève-Servette HC;Stürmer;12;3;6;9;0.75;12;0
8;Wick Roman;ZSC Lions;Stürmer;18;3;6;9;0.50;20;0
9;Pouliot Marc-Antoine;Fribourg-Gottéron;Stürmer;10;2;7;9;0.90;6;2
10;Picard Alexandre;Genève-Servette HC;Stürmer;11;6;2;8;0.73;26;4
11;Mauldin Greg;Fribourg-Gottéron;Stürmer;10;5;3;8;0.80;0;4
12;Bieber Matthias;Kloten Flyers;Stürmer;16;4;4;8;0.50;4;2
13;Bärtschi Patrik;ZSC Lions;Stürmer;18;3;5;8;0.44;0;0
14;Hytönen Juha-Pekka;Lausanne HC;Stürmer;7;3;5;8;1.14;0;2
15;Bergeron Marc-André;ZSC Lions;Verteidiger;14;2;6;8;0.57;31;5
16;Kamerzin Jérémie;Fribourg-Gottéron;Verteidiger;9;2;6;8;0.89;35;0
17;Dubé Christian;Fribourg-Gottéron;Stürmer;10;1;6;7;0.70;6;-3
18;Bürgler Dario;HC Davos;Stürmer;6;5;1;6;1.00;4;2
19;Stancescu Victor;Kloten Flyers;Stürmer;16;4;2;6;0.38;14;1
20;Bang Daniel;Lausanne HC;Stürmer;7;4;2;6;0.86;2;0
21;Simek Juraj;Genève-Servette HC;Stürmer;12;4;2;6;0.50;12;4
22;Bykov Andrey;Fribourg-Gottéron;Stürmer;10;3;3;6;0.60;0;-5
