R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
1;Sprunger Julien;Fribourg-Gottéron;Stürmer;49;27;24;14;10;5;22;18;5;6;0;0
2;Taticek Petr;HC Davos;Stürmer;49;26;15;14;1;4;19;11;5;2;2;2
3;Brunner Damien;EV Zug;Stürmer;45;24;36;26;10;1;19;20;4;15;1;1
4;Tambellini Jeff;ZSC Lions;Stürmer;50;23;22;17;5;4;15;15;4;5;4;2
5;Ritchie Byron;SC Bern;Stürmer;47;22;21;7;14;5;16;11;5;10;1;0
6;Sykora Petr;HC Davos;Stürmer;46;21;28;20;8;6;14;19;4;8;3;1
7;Liniger Michael;Kloten Flyers;Stürmer;50;21;20;10;10;7;14;13;6;6;1;1
8;Gamache Simon;Fribourg-Gottéron;Stürmer;50;20;25;11;14;3;12;19;7;4;1;2
9;Stancescu Victor;Kloten Flyers;Stürmer;48;20;16;11;5;3;13;13;6;3;1;0
10;Bürgler Dario;HC Davos;Stürmer;46;20;10;4;6;3;14;7;6;3;0;0
11;Sejna Peter;HC Davos;Stürmer;49;19;16;12;4;3;14;14;2;2;3;0
12;Romy Kevin;HC Lugano;Stürmer;44;18;21;10;11;5;11;11;6;9;1;1
13;Moser Simon;SCL Tigers;Stürmer;50;18;16;8;8;2;12;12;6;3;0;1
14;Berger Pascal;SC Bern;Stürmer;50;18;14;6;8;3;12;10;6;4;0;0
15;Fata Rico;Genève-Servette HC;Stürmer;50;17;16;11;5;5;8;14;6;2;3;0
16;Bednar Jaroslav;HC Lugano;Stürmer;45;16;34;17;17;2;7;21;8;11;1;2
17;Rosa Pavel;Fribourg-Gottéron;Stürmer;35;16;23;15;8;5;13;12;2;9;1;2
18;Holden Josh;EV Zug;Stürmer;39;16;21;12;9;4;8;12;8;9;0;0
19;Rintanen Kimmo;HC Lugano;Stürmer;42;16;20;13;7;3;11;11;5;9;0;0
20;Steiner Daniel;HC Lugano;Stürmer;50;16;19;10;9;1;8;14;8;5;0;0
21;Plüss Benny;Fribourg-Gottéron;Stürmer;48;15;27;12;15;3;11;20;4;7;0;0
22;Christen Björn;EV Zug;Stürmer;49;15;24;18;6;4;6;16;9;8;0;0
23;Metropolit Glen;EV Zug;Stürmer;42;15;21;12;9;8;13;13;2;8;0;0
24;Spylo Ahren;EHC Biel;Stürmer;45;15;15;10;5;4;12;12;3;3;0;0
25;Bordeleau Sébastien;EHC Biel;Stürmer;42;15;14;8;6;1;8;8;7;6;0;0
26;McLean Kurtis;SCL Tigers;Stürmer;49;14;28;14;14;1;11;19;1;9;2;0
27;Pelletier Pascal;SCL Tigers;Stürmer;43;14;22;16;6;3;11;15;2;5;1;2
28;Domenichelli Hnat;HC Lugano;Stürmer;48;14;19;13;6;1;10;6;3;12;1;1
29;Ambühl Andres;ZSC Lions;Stürmer;48;14;17;6;11;4;12;13;2;2;0;2
30;Schnyder Fabian;EV Zug;Stürmer;50;14;13;4;9;1;13;13;0;0;1;0
31;Polak Vojtech;SCL Tigers;Stürmer;44;13;14;11;3;2;8;12;5;2;0;0
32;Pittis Domenico;ZSC Lions;Stürmer;49;12;19;6;13;2;8;15;3;4;1;0
33;Perrault Joel;HC Ambri-Piotta;Stürmer;50;12;17;12;5;1;8;9;3;8;1;0
34;Rubin Daniel;Genève-Servette HC;Stürmer;50;12;17;5;12;2;9;9;3;8;0;0
35;Pirnes Esa;EV Zug;Stürmer;29;12;14;7;7;1;8;11;4;3;0;0
36;Jenni Marcel;Kloten Flyers;Stürmer;48;12;12;3;9;1;10;11;0;1;2;0
37;Wozniewski Andy;EV Zug;Verteidiger;47;11;23;11;12;0;8;13;3;10;0;0
38;Gardner Ryan;SC Bern;Stürmer;49;11;21;13;8;1;5;15;5;6;1;0
39;Plüss Martin;SC Bern;Stürmer;49;11;18;13;5;3;9;11;2;7;0;0
40;Cunti Luca;ZSC Lions;Stürmer;35;11;13;11;2;0;7;11;3;2;0;0
41;Suri Reto;SC Rapperswil-Jona Lakers;Stürmer;50;11;12;9;3;2;5;6;5;6;1;0
42;Beaudoin Eric;EHC Biel;Stürmer;50;11;12;7;5;4;8;8;3;4;0;0
43;Wick Roman;Kloten Flyers;Stürmer;34;11;10;4;6;1;9;7;2;3;0;0
44;Vermin Joël;SC Bern;Stürmer;33;11;9;7;2;3;9;8;2;1;0;0
45;Simek Juraj;Genève-Servette HC;Stürmer;50;11;9;6;3;2;11;7;0;2;0;0
46;Bärtschi Patrik;ZSC Lions;Stürmer;48;11;7;4;3;2;9;7;2;0;0;0
47;Walser Samuel;Kloten Flyers;Stürmer;46;11;1;1;0;2;11;1;0;0;0;0
48;Von Arx Reto;HC Davos;Stürmer;46;10;30;16;14;5;8;18;0;10;2;2
49;Lindemann Sven;EV Zug;Stürmer;50;10;16;11;5;2;6;12;4;3;0;1
50;Pestoni Inti;HC Ambri-Piotta;Stürmer;38;10;16;10;6;1;7;11;3;5;0;0
51;Wieser Dino;HC Davos;Stürmer;30;10;5;4;1;2;7;5;3;0;0;0
52;Moggi Claudio;SCL Tigers;Stürmer;42;10;5;2;3;1;8;4;2;1;0;0
53;Savary Paul;Genève-Servette HC;Stürmer;27;10;2;2;0;1;9;2;0;0;1;0
54;Santala Tommi;Kloten Flyers;Stürmer;47;9;35;18;17;2;6;17;3;18;0;0
55;Mieville Alain;EHC Biel;Stürmer;50;9;25;17;8;1;6;15;3;10;0;0
56;Jeannin Sandy;Fribourg-Gottéron;Stürmer;38;9;24;17;7;2;5;19;4;5;0;0
57;Rüthemann Ivo;SC Bern;Stürmer;50;9;16;7;9;1;6;10;3;6;0;0
58;Salmelainen Tony;Genève-Servette HC;Stürmer;30;9;14;13;1;0;8;4;0;7;1;3
59;Sciaroni Gregory;HC Davos;Stürmer;49;9;14;7;7;2;6;13;3;1;0;0
60;Wieser Marc;EHC Biel;Stürmer;46;9;11;8;3;0;8;8;1;3;0;0
61;Hirschi Steve;HC Lugano;Verteidiger;40;9;11;6;5;2;3;5;5;5;1;1
62;Bieber Matthias;Kloten Flyers;Stürmer;43;9;9;7;2;1;3;6;6;2;0;1
63;Kutlak Zdenek;HC Ambri-Piotta;Verteidiger;44;9;9;5;4;1;4;4;5;5;0;0
64;Bastl Mark;ZSC Lions;Stürmer;50;9;8;6;2;3;8;7;1;1;0;0
65;Marha Josef;HC Davos;Stürmer;40;9;8;4;4;0;5;8;4;0;0;0
66;Sutter Fabian;EV Zug;Stürmer;47;9;6;4;2;4;8;5;1;0;0;1
67;Lemm Romano;Kloten Flyers;Stürmer;18;9;6;4;2;1;6;2;3;3;0;1
68;Bykov Andrey;Fribourg-Gottéron;Stürmer;36;8;29;17;12;2;7;22;1;7;0;0
69;Dubé Christian;Fribourg-Gottéron;Stürmer;40;8;28;13;15;0;5;16;2;10;1;2
70;Dumont Jean-Pierre;SC Bern;Stürmer;31;8;23;13;10;0;6;14;2;8;0;1
71;Casutt Corsin;EV Zug;Stürmer;50;8;23;11;12;1;5;15;3;8;0;0
72;Burkhalter Loic;SC Rapperswil-Jona Lakers;Stürmer;50;8;15;9;6;1;6;6;2;8;0;1
73;Walser Derrick;SC Rapperswil-Jona Lakers;Verteidiger;44;8;13;6;7;0;5;8;3;5;0;0
74;Kwiatkowski Joel;SC Bern;Verteidiger;42;8;12;8;4;1;5;7;3;5;0;0
75;Tschantré Mathieu;EHC Biel;Stürmer;49;8;10;7;3;1;6;6;2;4;0;0
76;Bucher Tobias;SCL Tigers;Stürmer;46;8;10;7;3;1;5;10;2;0;1;0
77;Bertschy Christoph;SC Bern;Stürmer;31;8;8;5;3;1;6;5;2;3;0;0
78;Knoepfli Michael;Fribourg-Gottéron;Stürmer;50;8;7;2;5;1;6;6;2;1;0;0
79;Hasani Adam;Fribourg-Gottéron;Stürmer;40;8;4;0;4;0;8;4;0;0;0;0
80;Nummelin Petteri;HC Lugano;Verteidiger;36;7;24;11;13;2;5;12;1;10;1;2
81;Noreau Maxim;HC Ambri-Piotta;Verteidiger;44;7;23;13;10;5;4;12;3;11;0;0
82;Roest Stacy;SC Rapperswil-Jona Lakers;Stürmer;45;7;21;13;8;1;7;12;0;9;0;0
83;Haas Lukas;SCL Tigers;Stürmer;50;7;20;16;4;1;4;16;3;4;0;0
84;Bezina Goran;Genève-Servette HC;Verteidiger;50;7;20;10;10;1;2;10;5;8;0;2
85;Walker Julian;HC Ambri-Piotta;Stürmer;37;7;12;4;8;1;4;6;2;6;1;0
86;Riesen Michel;SC Rapperswil-Jona Lakers;Stürmer;35;7;11;5;6;0;3;7;4;4;0;0
87;Ruefenacht Thomas;EV Zug;Stürmer;43;7;11;4;7;0;6;11;0;0;1;0
88;Murray Jordan;SC Rapperswil-Jona Lakers;Stürmer;30;7;11;2;9;1;3;10;4;1;0;0
89;Botta Roman;HC Ambri-Piotta;Stürmer;48;7;8;5;3;1;3;6;4;2;0;0
90;Vigier Jean-Pierre;SC Bern;Stürmer;37;7;7;4;3;0;6;6;1;1;0;0
91;Kparghai Clarence;EHC Biel;Verteidiger;49;7;6;2;4;3;4;4;3;2;0;0
92;Vauclair Tristan;Fribourg-Gottéron;Stürmer;44;7;4;1;3;1;7;4;0;0;0;0
93;Dupont Micki;Kloten Flyers;Verteidiger;49;6;35;22;13;2;4;19;1;15;1;1
94;Pothier Brian;Genève-Servette HC;Verteidiger;50;6;21;15;6;0;1;14;5;7;0;0
95;Kamber Oliver;HC Lugano;Stürmer;50;6;17;10;7;0;2;11;4;6;0;0
96;Furrer Philippe;SC Bern;Verteidiger;43;6;15;6;9;0;2;9;4;6;0;0
97;Truttmann Marco;EHC Biel;Stürmer;46;6;13;8;5;0;4;11;1;2;1;0
98;Bodenmann Simon;Kloten Flyers;Stürmer;48;6;13;7;6;1;4;11;1;2;1;0
99;Kenins Ronalds;ZSC Lions;Stürmer;47;6;12;8;4;0;6;12;0;0;0;0
100;Camichel Duri;EV Zug;Stürmer;46;6;12;7;5;0;3;11;2;1;1;0
101;Reid Brandon;SC Rapperswil-Jona Lakers;Stürmer;39;6;10;9;1;2;4;5;2;5;0;0
102;Down Blaine;ZSC Lions;Stürmer;24;6;9;5;4;1;5;5;1;4;0;0
103;Conne Flavien;HC Lugano;Stürmer;45;6;9;5;4;0;5;6;0;3;1;0
104;Murray Brady;HC Lugano;Stürmer;23;6;9;4;5;1;5;8;0;1;1;0
105;Bianchi Elias;HC Ambri-Piotta;Stürmer;50;6;8;6;2;1;4;8;2;0;0;0
106;Duca Paolo;HC Ambri-Piotta;Stürmer;33;6;8;4;4;1;1;4;5;4;0;0
107;Raffainer Raeto;HC Ambri-Piotta;Stürmer;50;6;7;5;2;0;4;7;2;0;0;0
108;Haas Gaëtan;EHC Biel;Stürmer;43;6;7;4;3;0;6;7;0;0;0;0
109;Friedli Samuel;Genève-Servette HC;Stürmer;49;6;7;3;4;0;6;6;0;0;0;1
110;Froidevaux Etienne;SC Bern;Stürmer;50;6;4;2;2;2;6;4;0;0;0;0
111;Rizzello Antonio;SC Rapperswil-Jona Lakers;Stürmer;49;6;3;2;1;0;5;3;0;0;1;0
112;Forster Beat;HC Davos;Verteidiger;37;5;20;11;9;1;3;8;1;11;1;1
113;Blindenbacher Severin;ZSC Lions;Verteidiger;40;5;17;7;10;1;4;12;1;3;0;2
114;Monnet Thibaut;ZSC Lions;Stürmer;48;5;16;12;4;2;5;13;0;3;0;0
115;Trachsler Morris;Genève-Servette HC;Stürmer;49;5;12;6;6;1;5;10;0;0;0;2
116;Lüthi Fabian;EV Zug;Stürmer;45;5;12;6;6;0;5;12;0;0;0;0
117;Loeffel Romain;Fribourg-Gottéron;Verteidiger;49;5;12;6;6;2;2;7;3;5;0;0
118;Blum Eric-Ray;Kloten Flyers;Verteidiger;39;5;12;5;7;1;2;9;3;3;0;0
119;Nylander Michael;Kloten Flyers;Stürmer;23;5;10;6;4;2;4;6;0;4;1;0
120;Chiesa Alessandro;EV Zug;Verteidiger;48;5;9;7;2;0;5;9;0;0;0;0
121;Gerber Adrian;SCL Tigers;Stürmer;50;5;8;6;2;2;4;8;1;0;0;0
122;Walsky Eric;Genève-Servette HC;Stürmer;21;5;7;6;1;1;3;4;2;3;0;0
123;Mercier Jonathan;Genève-Servette HC;Verteidiger;45;5;7;4;3;0;4;5;1;2;0;0
124;Lakhmatov Vitaly;HC Ambri-Piotta;Stürmer;39;5;7;4;3;1;3;3;2;4;0;0
125;Rytz Philippe;SCL Tigers;Verteidiger;44;5;7;2;5;2;4;4;1;2;0;1
126;Kariya Martin;HC Ambri-Piotta;Stürmer;14;5;7;2;5;0;5;7;0;0;0;0
127;Schäppi Reto;ZSC Lions;Stürmer;45;5;6;6;0;0;5;6;0;0;0;0
128;Landry Eric;HC Ambri-Piotta;Stürmer;25;5;6;2;4;1;3;2;2;4;0;0
129;Di Pietro Paul;SCL Tigers;Stürmer;17;5;5;2;3;0;4;5;1;0;0;0
130;Preissing Tom;EHC Biel;Verteidiger;29;5;2;1;1;1;3;1;2;1;0;0
131;McLean Brett;HC Lugano;Stürmer;10;5;1;0;1;1;4;1;0;0;1;0
