R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
1;Ruefenacht Thomas;EV Zug;Stürmer;43;112;16;2;3;2;0
2;Helbling Timo;EV Zug;Verteidiger;45;108;24;2;1;2;0
3;Haas Lukas;SCL Tigers;Stürmer;50;95;20;1;3;1;0
4;Chiesa Alessandro;EV Zug;Verteidiger;48;91;28;1;1;1;0
5;Stancescu Victor;Kloten Flyers;Stürmer;48;89;32;1;0;1;0
6;Dupont Micki;Kloten Flyers;Verteidiger;49;87;21;1;2;1;0
7;Ramholt Tim;HC Davos;Verteidiger;50;82;26;0;1;1;0
8;Thibaudeau Nicolas;SC Rapperswil-Jona Lakers;Stürmer;44;77;11;1;3;1;0
9;Blindenbacher Severin;ZSC Lions;Verteidiger;40;77;21;1;1;1;0
10;Wozniewski Andy;EV Zug;Verteidiger;47;75;25;1;0;1;0
11;Rubin Daniel;Genève-Servette HC;Stürmer;50;74;17;0;2;1;0
12;Westcott Duvie;Kloten Flyers;Verteidiger;36;71;18;1;1;1;0
13;Pelletier Pascal;SCL Tigers;Stürmer;43;71;8;1;1;2;0
14;Grossmann Robin;HC Davos;Verteidiger;44;71;23;1;0;0;1
15;Heins Shawn;Fribourg-Gottéron;Verteidiger;39;69;17;1;1;1;0
16;Rytz Philippe;SCL Tigers;Verteidiger;44;67;16;1;1;1;0
17;Maurer Marco;SC Rapperswil-Jona Lakers;Verteidiger;23;65;15;1;1;0;1
18;Jenni Marcel;Kloten Flyers;Stürmer;48;65;20;1;0;1;0
19;Blaser Yannick;EV Zug;Verteidiger;50;65;20;1;0;1;0
20;Sciaroni Gregory;HC Davos;Stürmer;49;63;14;1;1;1;0
21;Ambühl Andres;ZSC Lions;Stürmer;48;60;15;0;3;0;0
22;Suri Reto;SC Rapperswil-Jona Lakers;Stürmer;50;59;17;1;0;1;0
23;Joggi Mathias;HC Davos;Stürmer;33;59;17;1;0;0;1
24;Holden Josh;EV Zug;Stürmer;39;59;12;1;1;0;1
25;Fröhlicher Joel;EHC Biel;Verteidiger;47;58;24;0;1;0;0
26;Bezina Goran;Genève-Servette HC;Verteidiger;50;58;24;0;1;0;0
27;Von Arx Reto;HC Davos;Stürmer;46;56;23;0;1;0;0
28;Perrault Joel;HC Ambri-Piotta;Stürmer;50;56;28;0;0;0;0
29;Steinegger Martin;EHC Biel;Verteidiger;26;55;10;1;1;1;0
30;Schlagenhauf Roman;HC Ambri-Piotta;Stürmer;48;55;10;1;1;1;0
31;Dubé Christian;Fribourg-Gottéron;Stürmer;40;55;10;1;1;1;0
32;Reber Jörg;SCL Tigers;Verteidiger;42;54;27;0;0;0;0
33;Kutlak Zdenek;HC Ambri-Piotta;Verteidiger;44;54;12;0;1;1;0
34;Kwiatkowski Joel;SC Bern;Verteidiger;42;52;21;0;1;0;0
35;Ritchie Byron;SC Bern;Stürmer;47;50;25;0;0;0;0
36;Murray Jordan;SC Rapperswil-Jona Lakers;Stürmer;30;50;10;0;1;1;0
37;Moser Simon;SCL Tigers;Stürmer;50;50;15;0;2;0;0
38;Christen Björn;EV Zug;Stürmer;49;50;20;0;1;0;0
39;Lindemann Kim;SCL Tigers;Verteidiger;50;49;12;1;0;1;0
40;Kenins Ronalds;ZSC Lions;Stürmer;47;48;14;0;2;0;0
41;Furrer Philippe;SC Bern;Verteidiger;43;48;19;0;1;0;0
42;Brunner Damien;EV Zug;Stürmer;45;48;14;0;2;0;0
43;Wieser Marc;EHC Biel;Stürmer;46;47;11;1;0;1;0
44;Neuenschwander Caryl;SC Bern;Stürmer;42;47;6;1;1;0;1
45;Moser Christian;SCL Tigers;Verteidiger;47;47;11;1;0;1;0
46;Santala Tommi;Kloten Flyers;Stürmer;47;46;23;0;0;0;0
47;Pittis Domenico;ZSC Lions;Stürmer;49;46;18;0;1;0;0
48;Wetzel Philipp;EHC Biel;Stürmer;43;45;10;1;0;1;0
49;Hasani Adam;Fribourg-Gottéron;Stürmer;40;45;10;1;0;1;0
50;Grauwiler Lukas;SC Rapperswil-Jona Lakers;Stürmer;49;45;10;1;0;1;0
51;Abplanalp Marc;Fribourg-Gottéron;Verteidiger;46;45;10;1;0;1;0
52;Vukovic Daniel;Genève-Servette HC;Verteidiger;37;44;17;0;1;0;0
53;Hänni Andreas;SC Bern;Verteidiger;35;44;17;0;1;0;0
54;Spylo Ahren;EHC Biel;Stürmer;45;43;9;1;0;0;1
55;Gobbi John;ZSC Lions;Verteidiger;41;42;21;0;0;0;0
56;Gamache Simon;Fribourg-Gottéron;Stürmer;50;42;16;0;1;0;0
57;Camenzind Andreas;SC Rapperswil-Jona Lakers;Verteidiger;31;42;11;0;2;0;0
58;Walser Derrick;SC Rapperswil-Jona Lakers;Verteidiger;44;40;15;0;1;0;0
59;Moggi Claudio;SCL Tigers;Stürmer;42;40;10;0;2;0;0
60;Leblanc Robin;SCL Tigers;Stürmer;45;40;10;0;2;0;0
61;Forster Beat;HC Davos;Verteidiger;37;40;15;0;1;0;0
62;Back Rene;HC Davos;Verteidiger;43;40;15;0;1;0;0
63;Friedli Samuel;Genève-Servette HC;Stürmer;49;39;7;1;0;1;0
64;Blatter Florian;HC Lugano;Verteidiger;48;39;7;1;0;1;0
65;Walker Julian;HC Ambri-Piotta;Stürmer;37;38;14;0;1;0;0
66;Fischer Patrick;EV Zug;Verteidiger;50;38;19;0;0;0;0
67;Botter Cédric;Fribourg-Gottéron;Stürmer;47;38;14;0;1;0;0
68;Morant Johan;SC Bern;Verteidiger;18;37;6;1;0;1;0
69;Rivera Christopher;Genève-Servette HC;Stürmer;45;36;13;0;1;0;0
70;Nodari Matteo;HC Lugano;Verteidiger;49;36;18;0;0;0;0
71;Liniger Michael;Kloten Flyers;Stürmer;50;36;13;0;1;0;0
72;Bürgler Dario;HC Davos;Stürmer;46;36;8;0;2;0;0
73;Bianchi Elias;HC Ambri-Piotta;Stürmer;50;36;8;0;2;0;0
