R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
1;Pettersson Fredrik;HC Lugano;Stürmer;49;33;208;15.87;4.24
2;Danielsson Nicklas;SC Rapperswil-Jona Lakers;Stürmer;46;19;202;9.41;4.39
3;Pouliot Marc-Antoine;Fribourg-Gottéron;Stürmer;49;19;165;11.52;3.37
4;Suri Reto;EV Zug;Stürmer;50;15;164;9.15;3.28
5;Earl Robbie;EV Zug;Stürmer;48;19;164;11.59;3.42
6;Giroux Alexandre;HC Ambri-Piotta;Stürmer;49;27;161;16.77;3.29
7;Martschini Lino;EV Zug;Stürmer;50;23;160;14.38;3.20
8;Spylo Ahren;EHC Biel;Stürmer;45;20;156;12.82;3.47
9;Klasen Linus;HC Lugano;Stürmer;46;20;155;12.90;3.37
10;Pesonen Harri;Lausanne HC;Stürmer;48;10;154;6.49;3.21
11;Mauldin Greg;Fribourg-Gottéron;Stürmer;40;18;144;12.5;3.60
12;Sprunger Julien;Fribourg-Gottéron;Stürmer;50;14;143;9.79;2.86
13;Louhivaara Ossi;Lausanne HC;Stürmer;46;14;143;9.79;3.11
14;D'Agostini Matt;Genève-Servette HC;Stürmer;40;14;141;9.93;3.52
15;Wick Roman;ZSC Lions;Stürmer;49;16;136;11.76;2.78
16;Bieber Matthias;Kloten Flyers;Stürmer;50;17;136;12.5;2.72
17;Arlbrandt Pär;EHC Biel;Stürmer;48;17;133;12.78;2.77
18;Ambühl Andres;HC Davos;Stürmer;49;13;125;10.4;2.55
19;Plüss Martin;SC Bern;Stürmer;50;23;124;18.55;2.48
20;Steiner Daniel;HC Ambri-Piotta;Stürmer;49;14;120;11.67;2.45
21;Loeffel Romain;Genève-Servette HC;Verteidiger;43;8;120;6.67;2.79
22;Fransson Johan;SC Rapperswil-Jona Lakers;Verteidiger;32;4;120;3.33;3.75
23;Bergeron Marc-André;ZSC Lions;Verteidiger;46;4;118;3.39;2.57
24;Haas Gaëtan;EHC Biel;Stürmer;49;8;115;6.96;2.35
25;Bodenmann Simon;Kloten Flyers;Stürmer;49;9;115;7.83;2.35
26;Shannon Ryan;ZSC Lions;Stürmer;49;10;114;8.77;2.33
27;Holloway Bud;SC Bern;Stürmer;42;13;114;11.40;2.71
28;Gobbi John;Lausanne HC;Verteidiger;50;3;112;2.68;2.24
29;Walser Derrick;SC Rapperswil-Jona Lakers;Verteidiger;39;11;109;10.09;2.79
30;Dupont Micki;Kloten Flyers;Verteidiger;48;2;108;1.85;2.25
31;Hall Adam;HC Ambri-Piotta;Stürmer;50;14;106;13.21;2.12
32;Wieser Marc;HC Davos;Stürmer;47;16;105;15.24;2.23
33;Lindgren Perttu;HC Davos;Stürmer;42;11;105;10.48;2.50
34;Bertschy Christoph;SC Bern;Stürmer;44;14;105;13.33;2.39
35;Genazzi Joël;Lausanne HC;Verteidiger;50;2;104;1.92;2.08
36;Froidevaux Etienne;Lausanne HC;Stürmer;50;13;104;12.5;2.08
37;Hytönen Juha-Pekka;Lausanne HC;Stürmer;41;11;103;10.68;2.51
38;Mueller Peter;Kloten Flyers;Stürmer;34;10;102;9.80;3.00
39;Kwiatkowski Joel;Fribourg-Gottéron;Verteidiger;42;3;102;2.94;2.43
40;Du Bois Felicien;HC Davos;Verteidiger;46;7;102;6.86;2.22
41;Ritchie Byron;SC Bern;Stürmer;50;14;101;13.86;2.02
42;Romy Kevin;Genève-Servette HC;Stürmer;48;18;100;18;2.08
43;Paulsson Marcus;HC Davos;Stürmer;41;14;99;14.14;2.41
44;Jörg Mauro;HC Davos;Stürmer;49;14;99;14.14;2.02
45;Hollenstein Denis;Kloten Flyers;Stürmer;35;8;97;8.25;2.77
46;Bärtschi Patrik;ZSC Lions;Stürmer;45;13;97;13.40;2.16
47;Umicevic Dragan;EHC Biel;Stürmer;44;10;95;10.53;2.16
48;Sondell Daniel;EV Zug;Verteidiger;46;6;95;6.32;2.07
49;Mottet Killian;Fribourg-Gottéron;Stürmer;50;12;95;12.63;1.90
50;Künzle Mike;ZSC Lions;Stürmer;47;12;93;12.90;1.98
51;Keller Ryan;ZSC Lions;Stürmer;39;9;93;9.68;2.38
52;Bouchard Pierre-Marc;EV Zug;Stürmer;49;17;92;18.48;1.88
53;Mieville Alain;Lausanne HC;Stürmer;49;10;89;11.24;1.82
54;Aucoin Keith;HC Ambri-Piotta;Stürmer;41;7;87;8.05;2.12
55;Gragnani Marc-André;SC Bern;Verteidiger;49;8;86;9.30;1.76
56;Pyatt Tom;Genève-Servette HC;Stürmer;50;11;85;12.94;1.70
57;Persson Niklas;SC Rapperswil-Jona Lakers;Stürmer;43;17;84;20.24;1.95
58;McLean Brett;HC Lugano;Stürmer;47;9;84;10.71;1.79
59;Baltisberger Chris;ZSC Lions;Stürmer;47;12;84;14.29;1.79
60;Axelsson Dick;HC Davos;Stürmer;45;14;84;16.67;1.87
61;Rubin Daniel;Genève-Servette HC;Stürmer;46;11;83;13.25;1.80
62;Plüss Benny;Fribourg-Gottéron;Stürmer;30;12;83;14.46;2.77
63;Lemm Romano;Kloten Flyers;Stürmer;42;7;83;8.43;1.98
64;Stancescu Victor;Kloten Flyers;Stürmer;39;2;82;2.44;2.10
65;Rossi Matthias;EHC Biel;Stürmer;49;10;82;12.20;1.67
66;Rizzello Antonio;SC Rapperswil-Jona Lakers;Stürmer;46;5;82;6.10;1.78
67;Holden Josh;EV Zug;Stürmer;34;15;82;18.29;2.41
68;Dostoinov Alexei;HC Ambri-Piotta;Stürmer;44;5;82;6.10;1.86
69;Simek Juraj;HC Lugano;Stürmer;39;9;80;11.25;2.05
70;Schäppi Reto;ZSC Lions;Stürmer;50;9;80;11.25;1.60
71;Pyatt Taylor;Genève-Servette HC;Stürmer;38;14;80;17.5;2.11
72;Pedretti Marco;SC Rapperswil-Jona Lakers;Stürmer;49;6;80;7.5;1.63
73;Johansson Mikael;SC Rapperswil-Jona Lakers;Stürmer;40;6;80;7.5;2.00
74;Fritsche John;Fribourg-Gottéron;Stürmer;50;4;80;5;1.60
75;Ramholt Tim;EV Zug;Verteidiger;50;9;79;11.39;1.58
76;Pestoni Inti;HC Ambri-Piotta;Stürmer;30;9;79;11.39;2.63
77;Duca Paolo;HC Ambri-Piotta;Stürmer;48;5;79;6.33;1.65
78;Bertaggia Alessio;HC Lugano;Stürmer;49;8;79;10.13;1.61
79;Wetzel Philipp;EHC Biel;Stürmer;45;7;78;8.97;1.73
80;Hofmann Gregory;HC Davos;Stürmer;47;11;78;14.10;1.66
81;Schnyder Fabian;EV Zug;Stürmer;50;5;77;6.49;1.54
82;Cunti Luca;ZSC Lions;Stürmer;34;9;76;11.84;2.24
83;Blum Eric-Ray;SC Bern;Verteidiger;50;2;76;2.63;1.52
84;Berger Pascal;SC Bern;Stürmer;50;5;76;6.58;1.52
85;Walser Samuel;HC Davos;Stürmer;47;6;75;8;1.60
86;Lhotak Lukas;HC Ambri-Piotta;Stürmer;40;5;75;6.67;1.88
87;Berger Alain;SC Bern;Stürmer;50;8;74;10.81;1.48
88;Santala Tommi;Kloten Flyers;Stürmer;39;9;73;12.33;1.87
89;Nilsson Robert;ZSC Lions;Stürmer;44;11;73;15.07;1.66
90;Herburger Raphael;EHC Biel;Stürmer;41;8;73;10.96;1.78
91;Von Gunten Patrick;Kloten Flyers;Verteidiger;46;3;72;4.17;1.57
92;Vauclair Julien;HC Lugano;Verteidiger;38;6;72;8.33;1.89
93;Thibaudeau Nicolas;SC Rapperswil-Jona Lakers;Stürmer;46;6;72;8.33;1.57
94;Huguenin Anthony;Fribourg-Gottéron;Verteidiger;50;4;72;5.56;1.44
95;Grossmann Robin;EV Zug;Verteidiger;50;4;72;5.56;1.44
96;Gardner Ryan;SC Bern;Stürmer;44;9;72;12.5;1.64
97;Bang Daniel;Lausanne HC;Stürmer;30;6;72;8.33;2.40
98;Scherwey Tristan;SC Bern;Stürmer;45;7;71;9.86;1.58
99;Filppula Ilari;HC Lugano;Stürmer;37;12;71;16.90;1.92
100;Trachsler Morris;ZSC Lions;Stürmer;50;8;70;11.43;1.40
101;Neukom Benjamin;SC Rapperswil-Jona Lakers;Stürmer;38;4;70;5.71;1.84
