R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
1;Omark Linus;EV Zug;Stürmer;48;17;52;69;1.44;40;19
2;Metropolit Glen;HC Lugano;Stürmer;50;20;44;64;1.28;62;17
3;Brunner Damien;EV Zug;Stürmer;33;25;32;57;1.73;49;18
4;Micflikier Jacob;EHC Biel;Stürmer;48;21;29;50;1.04;26;0
5;Ritchie Byron;SC Bern;Stürmer;46;19;30;49;1.07;36;16
6;Williams Jason;HC Ambri-Piotta;Stürmer;47;26;20;46;0.98;16;9
7;Bykov Andrey;Fribourg-Gottéron;Stürmer;46;13;33;46;1.00;39;20
8;Earl Robbie;SC Rapperswil-Jona Lakers;Stürmer;48;22;23;45;0.94;48;-4
9;Gardner Ryan;SC Bern;Stürmer;50;25;17;42;0.84;26;7
10;Tavares John;SC Bern;Stürmer;28;17;25;42;1.50;28;16
11;Dubé Christian;Fribourg-Gottéron;Stürmer;48;13;29;42;0.88;18;7
12;Bürgler Dario;HC Davos;Stürmer;49;22;19;41;0.84;40;-2
13;McLean Kurtis;SCL Tigers;Stürmer;46;7;34;41;0.89;30;-20
14;Seguin Tyler;EHC Biel;Stürmer;29;25;15;40;1.38;24;-1
15;Pouliot Marc-Antoine;EHC Biel;Stürmer;48;9;31;40;0.83;86;0
16;Gamache Simon;Fribourg-Gottéron;Stürmer;45;15;23;38;0.84;32;11
17;Santala Tommi;Kloten Flyers;Stürmer;45;11;27;38;0.84;62;12
18;Monnet Thibaut;ZSC Lions;Stürmer;50;18;19;37;0.74;22;2
19;Wick Roman;ZSC Lions;Stürmer;42;15;22;37;0.88;22;23
20;McLean Brett;HC Lugano;Stürmer;50;13;24;37;0.74;44;-3
21;Hollenstein Denis;Kloten Flyers;Stürmer;48;12;25;37;0.77;89;16
22;Holden Josh;EV Zug;Stürmer;50;18;18;36;0.72;50;-5
23;Thornton Joe;HC Davos;Stürmer;33;12;24;36;1.09;43;5
24;Rüthemann Ivo;SC Bern;Stürmer;50;8;28;36;0.72;8;4
25;Pelletier Pascal;SCL Tigers;Stürmer;46;19;16;35;0.76;76;-20
26;Vermin Joël;SC Bern;Stürmer;47;13;22;35;0.74;14;26
27;Noreau Maxim;HC Ambri-Piotta;Verteidiger;45;10;25;35;0.78;38;1
28;Sejna Peter;SC Rapperswil-Jona Lakers;Stürmer;47;20;14;34;0.72;22;-4
29;Plüss Martin;SC Bern;Stürmer;50;18;16;34;0.68;26;11
30;Romy Kevin;Genève-Servette HC;Stürmer;50;15;19;34;0.68;10;-2
31;Shannon Ryan;ZSC Lions;Stürmer;42;12;22;34;0.81;26;13
32;Sprunger Julien;Fribourg-Gottéron;Stürmer;32;19;14;33;1.03;18;14
33;Mieville Alain;HC Ambri-Piotta;Stürmer;50;13;20;33;0.66;40;-16
34;Zetterberg Henrik;EV Zug;Stürmer;23;16;16;32;1.39;20;17
35;Fritsche Dan;Genève-Servette HC;Stürmer;43;16;16;32;0.74;18;14
36;Seger Mathias;ZSC Lions;Verteidiger;50;9;23;32;0.64;50;24
37;Plüss Benny;Fribourg-Gottéron;Stürmer;50;16;15;31;0.62;18;19
38;Ruefenacht Thomas;HC Lugano;Stürmer;40;14;17;31;0.78;36;12
39;Bezina Goran;Genève-Servette HC;Verteidiger;46;10;21;31;0.67;40;16
40;Park Richard;HC Ambri-Piotta;Stürmer;48;9;22;31;0.65;18;-7
41;Simek Juraj;Genève-Servette HC;Stürmer;50;20;10;30;0.60;20;-4
42;Martschini Lino;EV Zug;Stürmer;39;17;13;30;0.77;4;5
43;Stancescu Victor;Kloten Flyers;Stürmer;43;13;17;30;0.70;126;3
44;Von Arx Reto;HC Davos;Stürmer;42;11;19;30;0.71;54;15
45;Cunti Luca;ZSC Lions;Stürmer;44;10;20;30;0.68;18;13
46;Spezza Jason;SC Rapperswil-Jona Lakers;Stürmer;28;9;21;30;1.07;12;-7
47;Almond Cody;Genève-Servette HC;Stürmer;39;8;22;30;0.77;56;5
48;Kamber Oliver;HC Lugano;Stürmer;49;6;24;30;0.61;28;8
49;Bergeron Patrice;HC Lugano;Stürmer;21;11;18;29;1.38;8;7
50;Pestoni Inti;HC Ambri-Piotta;Stürmer;43;9;20;29;0.67;30;3
51;Diaz Raphael;EV Zug;Verteidiger;32;7;22;29;0.91;12;17
52;Peter Emanuel;EHC Biel;Stürmer;49;6;23;29;0.59;16;1
53;Sykora Petr;HC Davos;Stürmer;32;16;12;28;0.88;16;2
54;Bodenmann Simon;Kloten Flyers;Stürmer;49;15;13;28;0.57;30;12
55;Wieser Dino;HC Davos;Stürmer;49;14;14;28;0.57;58;16
56;Jeannin Sandy;Fribourg-Gottéron;Stürmer;31;7;21;28;0.90;12;-2
57;Ambühl Andres;ZSC Lions;Stürmer;45;19;8;27;0.60;26;3
58;Hofmann Gregory;HC Davos;Stürmer;49;16;11;27;0.55;20;-4
59;Heikkinen Ilkka;HC Lugano;Verteidiger;44;14;13;27;0.61;32;12
60;Wieser Marc;EHC Biel;Stürmer;50;13;13;26;0.52;16;-2
61;Bieber Matthias;Kloten Flyers;Stürmer;45;12;14;26;0.58;4;9
62;Dupont Micki;Kloten Flyers;Verteidiger;49;7;19;26;0.53;16;11
63;Streit Mark;SC Bern;Verteidiger;32;7;19;26;0.81;30;20
64;Suri Reto;EV Zug;Stürmer;46;14;11;25;0.54;34;-1
65;Keller Ryan;Genève-Servette HC;Stürmer;46;12;13;25;0.54;2;6
66;Geering Patrick;ZSC Lions;Verteidiger;50;6;19;25;0.50;26;16
67;Tschantré Mathieu;EHC Biel;Stürmer;50;14;10;24;0.48;22;1
68;Sciaroni Gregory;HC Davos;Stürmer;49;13;11;24;0.49;36;4
69;Fata Rico;Genève-Servette HC;Stürmer;41;8;16;24;0.59;20;3
70;Wichser Adrian;SC Rapperswil-Jona Lakers;Stürmer;41;5;19;24;0.59;2;-11
71;Kwiatkowski Joel;Fribourg-Gottéron;Verteidiger;46;14;9;23;0.50;81;10
72;Kane Patrick;EHC Biel;Stürmer;20;13;10;23;1.15;6;-6
73;Riesen Michel;SC Rapperswil-Jona Lakers;Stürmer;47;13;10;23;0.49;28;-16
74;Bärtschi Patrik;ZSC Lions;Stürmer;50;12;11;23;0.46;6;3
75;Couture Logan;Genève-Servette HC;Stürmer;22;7;16;23;1.05;10;8
76;Reuille Sebastien;HC Lugano;Stürmer;50;10;12;22;0.44;16;3
77;Steiner Daniel;HC Lugano;Stürmer;41;9;13;22;0.54;22;11
78;Roche Travis;SC Bern;Verteidiger;31;5;17;22;0.71;14;15
79;Kutlak Zdenek;HC Ambri-Piotta;Verteidiger;45;1;21;22;0.49;26;-14
80;Picard Alexandre;Genève-Servette HC;Stürmer;32;14;7;21;0.66;82;-1
81;Mauldin Greg;Fribourg-Gottéron;Stürmer;39;13;8;21;0.54;8;-1
82;Kolnik Juraj;SC Rapperswil-Jona Lakers;Stürmer;33;10;11;21;0.64;6;-3
83;Moser Simon;SCL Tigers;Stürmer;35;10;11;21;0.60;44;-9
84;Steinmann Janick;HC Davos;Stürmer;49;5;16;21;0.43;18;-1
85;Weber Yannick;Genève-Servette HC;Verteidiger;32;5;16;21;0.66;40;-1
