R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
1;Deruns Thomas;Genève-Servette HC;Stürmer;20;10;15;25;1.25;6;9
2;Salmelainen Tony;Genève-Servette HC;Stürmer;18;12;10;22;1.22;33;10
3;Toms Jeff;Genève-Servette HC;Stürmer;18;5;13;18;1.00;14;-4
4;Bezina Goran;Genève-Servette HC;Verteidiger;20;4;12;16;0.80;22;3
5;Rüthemann Ivo;SC Bern;Stürmer;15;7;8;15;1.00;8;4
6;Holden Josh;EV Zug;Stürmer;13;5;10;15;1.15;14;0
7;Vigier Jean-Pierre;SC Bern;Stürmer;14;7;7;14;1.00;6;11
8;McTavish Dale;EV Zug;Stürmer;12;6;8;14;1.17;6;1
9;Josi Roman;SC Bern;Verteidiger;15;6;7;13;0.87;8;12
10;Plüss Martin;SC Bern;Stürmer;15;3;10;13;0.87;12;4
11;McLean Brett;SC Bern;Stürmer;15;5;7;12;0.80;8;8
12;Trachsler Morris;Genève-Servette HC;Stürmer;20;4;7;11;0.55;18;2
13;Gamache Simon;SC Bern;Stürmer;10;6;4;10;1.00;8;6
14;Kolnik Juraj;Genève-Servette HC;Stürmer;16;6;4;10;0.62;36;4
15;Rintanen Kimmo;Kloten Flyers;Stürmer;10;5;5;10;1.00;2;-2
16;Rubin Daniel;Genève-Servette HC;Stürmer;20;5;5;10;0.50;51;0
17;Brunner Damien;EV Zug;Stürmer;13;5;5;10;0.77;6;-3
18;Wick Roman;Kloten Flyers;Stürmer;10;4;6;10;1.00;8;4
19;Malik Marek;Genève-Servette HC;Verteidiger;20;2;8;10;0.50;14;2
20;Roche Travis;SC Bern;Verteidiger;15;2;8;10;0.67;28;9
21;Gobbi John;Genève-Servette HC;Verteidiger;20;2;8;10;0.50;38;-3
22;Dubé Christian;SC Bern;Stürmer;13;2;8;10;0.77;12;4
23;Suri Reto;Genève-Servette HC;Stürmer;20;5;4;9;0.45;35;-1
24;Savary Paul;Genève-Servette HC;Stürmer;17;4;5;9;0.53;27;4
25;Santala Tommi;Kloten Flyers;Stürmer;10;4;5;9;0.90;20;-2
26;Froidevaux Etienne;SC Bern;Stürmer;15;3;6;9;0.60;8;-1
27;Di Pietro Paul;EV Zug;Stürmer;13;3;6;9;0.69;6;-8
28;Rivera Christopher;Genève-Servette HC;Stürmer;20;2;7;9;0.45;6;-2
29;Conz Florian;Genève-Servette HC;Stürmer;20;4;4;8;0.40;22;-1
30;Monnet Thibaut;ZSC Lions;Stürmer;7;4;4;8;1.14;4;-2
31;Berger Pascal;SC Bern;Stürmer;15;4;4;8;0.53;6;1
32;Schnyder Fabian;EV Zug;Stürmer;13;5;2;7;0.54;4;-1
33;Christen Björn;EV Zug;Stürmer;13;4;3;7;0.54;6;-7
34;Reichert Marc;SC Bern;Stürmer;15;4;3;7;0.47;12;8
35;Du Bois Felicien;Kloten Flyers;Verteidiger;10;3;4;7;0.70;14;0
36;Plüss Benny;Fribourg-Gottéron;Stürmer;5;3;4;7;1.40;4;5
37;Bykov Andrey;Fribourg-Gottéron;Stürmer;7;2;5;7;1.00;4;3
38;Lindemann Sven;Kloten Flyers;Stürmer;10;2;5;7;0.70;16;2
39;Seger Mathias;ZSC Lions;Verteidiger;7;2;5;7;1.00;8;1
40;Steinmann Janick;EV Zug;Stürmer;13;2;5;7;0.54;4;1
41;Dupont Micki;EV Zug;Verteidiger;11;1;6;7;0.64;14;7
42;Jenni Marcel;Kloten Flyers;Stürmer;10;1;6;7;0.70;26;-1
43;Goren Lee;SC Bern;Stürmer;6;4;2;6;1.00;8;3
44;Sprunger Julien;Fribourg-Gottéron;Stürmer;7;4;2;6;0.86;2;3
45;Taticek Petr;HC Davos;Stürmer;6;3;3;6;1.00;4;3
46;Bärtschi Patrik;ZSC Lions;Stürmer;7;3;3;6;0.86;12;-4
47;Down Blaine;ZSC Lions;Stürmer;7;2;4;6;0.86;8;-2
48;Jeannin Sandy;Fribourg-Gottéron;Stürmer;7;2;4;6;0.86;4;-3
49;Von Arx Reto;HC Davos;Stürmer;6;2;4;6;1.00;18;1
50;Alston Jan;ZSC Lions;Stürmer;7;2;4;6;0.86;12;0
51;Jobin David;SC Bern;Verteidiger;11;1;5;6;0.55;6;2
52;Diaz Raphael;EV Zug;Verteidiger;13;1;5;6;0.46;10;-2
53;Hänni Andreas;SC Bern;Verteidiger;15;0;6;6;0.40;14;0
54;Lemm Romano;HC Lugano;Stürmer;4;5;0;5;1.25;0;-2
55;Stancescu Victor;Kloten Flyers;Stürmer;10;4;1;5;0.50;18;4
56;Bürgler Dario;HC Davos;Stürmer;6;3;2;5;0.83;2;3
57;Krutov Alexei;ZSC Lions;Stürmer;7;3;2;5;0.71;4;-1
58;Mowers Mark;Fribourg-Gottéron;Stürmer;7;3;2;5;0.71;6;-7
59;Casutt Corsin;Fribourg-Gottéron;Stürmer;7;3;2;5;0.71;0;-1
60;Abplanalp Marc;Fribourg-Gottéron;Verteidiger;7;2;3;5;0.71;2;2
61;Wichser Adrian;ZSC Lions;Stürmer;7;2;3;5;0.71;0;0
62;Setzinger Oliver;HC Davos;Stürmer;5;1;4;5;1.00;6;-2
63;Fischer Patrick;EV Zug;Verteidiger;13;1;4;5;0.38;12;-3
64;Bell Mark;Kloten Flyers;Stürmer;10;1;4;5;0.50;29;-4
65;Suchy Radoslav;ZSC Lions;Verteidiger;7;0;5;5;0.71;8;-2
66;Forrest Justin;Kloten Flyers;Verteidiger;10;0;5;5;0.50;2;-3
67;Widing Daniel;HC Davos;Stürmer;6;2;2;4;0.67;2;-1
68;Gerber Beat;SC Bern;Verteidiger;15;2;2;4;0.27;22;5
69;Birbaum Alain;Fribourg-Gottéron;Verteidiger;7;1;3;4;0.57;10;-1
70;Meier Dominic;SC Bern;Verteidiger;13;1;3;4;0.31;16;3
71;Kellenberger Steve;Kloten Flyers;Stürmer;10;0;4;4;0.40;10;3
72;Ziegler Thomas;SC Bern;Stürmer;11;0;4;4;0.36;4;4
73;Furrer Philippe;SC Bern;Verteidiger;15;0;4;4;0.27;14;7
74;Neuenschwander Caryl;SC Bern;Stürmer;15;0;4;4;0.27;38;-2
75;Lüthi Fabian;EV Zug;Stürmer;13;2;1;3;0.23;18;-3
76;Pittis Domenico;ZSC Lions;Stürmer;5;2;1;3;0.60;6;3
77;Scherwey Tristan;SC Bern;Stürmer;14;2;1;3;0.21;4;2
78;Winkler Benjamin;Kloten Flyers;Verteidiger;10;2;1;3;0.30;10;1
79;Sannitz Raffaele;HC Lugano;Stürmer;4;1;2;3;0.75;20;-1
80;Camichel Duri;EV Zug;Stürmer;13;1;2;3;0.23;10;-5
81;Forster Beat;HC Davos;Verteidiger;6;1;2;3;0.50;12;2
82;Micheli Claudio;ZSC Lions;Stürmer;5;1;2;3;0.60;2;3
83;Bodenmann Simon;Kloten Flyers;Stürmer;10;1;2;3;0.30;0;0
84;Camichel Corsin;EV Zug;Stürmer;13;1;2;3;0.23;10;-3
85;Breitbach Robin;Genève-Servette HC;Verteidiger;20;0;3;3;0.15;16;1
86;Nummelin Petteri;HC Lugano;Verteidiger;4;0;3;3;0.75;2;-3
87;Hoehener Martin;Genève-Servette HC;Verteidiger;20;0;3;3;0.15;12;-1
88;Oppliger Patrick;EV Zug;Stürmer;13;0;3;3;0.23;26;0
89;Maurer Marco;Genève-Servette HC;Verteidiger;20;2;0;2;0.10;16;2
90;Vauclair Tristan;HC Lugano;Stürmer;4;2;0;2;0.50;0;0
91;Hollenstein Denis;Kloten Flyers;Stürmer;10;1;1;2;0.20;6;-1
92;Ouellet Michel;Fribourg-Gottéron;-;5;1;1;2;0.40;4;-5
93;Bastl Mark;ZSC Lions;Stürmer;7;1;1;2;0.29;37;-3
94;Gardner Ryan;ZSC Lions;Stürmer;7;1;1;2;0.29;0;-2
95;Grossmann Robin;HC Davos;Verteidiger;6;1;1;2;0.33;16;0
96;Heins Shawn;Fribourg-Gottéron;Verteidiger;3;1;1;2;0.67;29;-5
97;Liniger Michael;Kloten Flyers;Stürmer;10;1;1;2;0.20;4;0
98;Meier Trevor;SC Bern;Stürmer;15;1;1;2;0.13;2;-1
99;Mercier Jonathan;Genève-Servette HC;Verteidiger;20;1;1;2;0.10;22;5
100;Boumedienne Josef;EV Zug;Verteidiger;3;0;2;2;0.67;6;-3
101;Knoepfli Michael;Fribourg-Gottéron;Stürmer;7;0;2;2;0.29;0;-1
