R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
1;Plüss Martin;SC Bern;Stürmer;20;10;6;4;2;3;6;4;3;2;1;0
2;Gamache Simon;Fribourg-Gottéron;Stürmer;18;10;4;4;0;2;8;3;2;1;0;0
3;Suri Reto;EV Zug;Stürmer;14;9;5;2;3;0;6;4;3;1;0;0
4;Ritchie Byron;SC Bern;Stürmer;20;7;15;10;5;2;4;8;2;6;1;1
5;Gardner Ryan;SC Bern;Stürmer;18;7;8;5;3;0;3;4;3;4;1;0
6;Plüss Benny;Fribourg-Gottéron;Stürmer;18;7;4;3;1;1;4;4;3;0;0;0
7;Holden Josh;EV Zug;Stürmer;14;6;11;6;5;0;5;6;1;5;0;0
8;Sutter Fabian;EV Zug;Stürmer;12;6;2;2;0;2;5;2;1;0;0;0
9;Sprunger Julien;Fribourg-Gottéron;Stürmer;16;5;8;5;3;1;3;6;2;2;0;0
10;Wick Roman;ZSC Lions;Stürmer;12;5;5;3;2;1;2;3;3;1;0;1
11;Christen Björn;EV Zug;Stürmer;10;5;1;1;0;1;2;0;3;1;0;0
12;Bykov Andrey;Fribourg-Gottéron;Stürmer;17;4;13;9;4;2;3;8;1;4;0;1
13;Martschini Lino;EV Zug;Stürmer;14;4;10;3;7;0;3;7;1;3;0;0
14;Monnet Thibaut;ZSC Lions;Stürmer;12;4;5;4;1;1;2;3;2;2;0;0
15;Rüthemann Ivo;SC Bern;Stürmer;20;4;5;3;2;0;4;3;0;1;0;1
16;Kenins Ronalds;ZSC Lions;Stürmer;12;4;4;2;2;0;3;4;1;0;0;0
17;Lehtonen Mikko;ZSC Lions;Stürmer;11;4;3;3;0;1;2;1;2;2;0;0
18;Hasani Adam;Fribourg-Gottéron;Stürmer;18;4;2;0;2;1;4;2;0;0;0;0
19;Botter Cédric;Fribourg-Gottéron;Stürmer;18;4;1;1;0;0;1;1;3;0;0;0
20;Simek Juraj;Genève-Servette HC;Stürmer;7;4;0;0;0;1;4;0;0;0;0;0
21;Loichat Michaël;SC Bern;Stürmer;20;4;0;0;0;1;3;0;1;0;0;0
22;Roche Travis;SC Bern;Verteidiger;19;3;12;4;8;3;2;7;1;5;0;0
23;Casutt Corsin;EV Zug;Stürmer;14;3;6;5;1;1;2;5;1;1;0;0
24;Vermin Joël;SC Bern;Stürmer;19;3;6;4;2;1;3;6;0;0;0;0
25;Kinrade Geoff;SC Bern;Verteidiger;19;3;6;2;4;0;1;5;2;1;0;0
26;Jeannin Sandy;Fribourg-Gottéron;Stürmer;17;3;5;2;3;1;2;3;1;2;0;0
27;Bednar Jaroslav;SC Bern;Stürmer;8;3;5;2;3;0;2;4;1;1;0;0
28;Pouliot Marc-Antoine;EHC Biel;Stürmer;7;3;4;2;2;0;1;2;2;2;0;0
29;Bürgler Dario;HC Davos;Stürmer;7;3;3;3;0;0;1;3;2;0;0;0
30;Domenichelli Hnat;HC Lugano;Stürmer;7;3;3;2;1;1;1;2;2;1;0;0
31;Beaudoin Eric;EHC Biel;Stürmer;7;3;3;2;1;0;1;0;2;3;0;0
32;Knoepfli Michael;Fribourg-Gottéron;Stürmer;18;3;2;2;0;0;2;2;1;0;0;0
33;Bastl Mark;ZSC Lions;Stürmer;12;3;2;2;0;1;3;2;0;0;0;0
34;Romy Kevin;Genève-Servette HC;Stürmer;7;3;1;1;0;1;3;0;0;1;0;0
35;Berger Pascal;SC Bern;Stürmer;20;3;1;1;0;0;3;1;0;0;0;0
36;Bärtschi Patrik;ZSC Lions;Stürmer;12;3;1;1;0;0;3;1;0;0;0;0
