R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
1;Sprunger Julien;Fribourg-Gottéron;Stürmer;16;5;63;7.94;3.94
2;Plüss Martin;SC Bern;Stürmer;20;10;60;16.67;3.00
3;Kinrade Geoff;SC Bern;Verteidiger;19;3;55;5.45;2.89
4;Mauldin Greg;Fribourg-Gottéron;Stürmer;18;2;48;4.17;2.67
5;Gamache Simon;Fribourg-Gottéron;Stürmer;18;10;46;21.74;2.56
6;Holden Josh;EV Zug;Stürmer;14;6;44;13.64;3.14
7;Suri Reto;EV Zug;Stürmer;14;9;40;22.5;2.86
8;Furrer Philippe;SC Bern;Verteidiger;18;2;40;5;2.22
9;Kwiatkowski Joel;Fribourg-Gottéron;Verteidiger;18;1;39;2.56;2.17
10;Gardner Ryan;SC Bern;Stürmer;18;7;38;18.42;2.11
11;Wick Roman;ZSC Lions;Stürmer;12;5;37;13.51;3.08
12;Plüss Benny;Fribourg-Gottéron;Stürmer;18;7;37;18.92;2.06
13;Martschini Lino;EV Zug;Stürmer;14;4;36;11.11;2.57
14;Jeannin Sandy;Fribourg-Gottéron;Stürmer;17;3;36;8.33;2.12
15;Loeffel Romain;Fribourg-Gottéron;Verteidiger;18;1;34;2.94;1.89
16;Rüthemann Ivo;SC Bern;Stürmer;20;4;33;12.12;1.65
17;Ritchie Byron;SC Bern;Stürmer;20;7;33;21.21;1.65
18;Lehtonen Mikko;ZSC Lions;Stürmer;11;4;31;12.90;2.82
19;Scherwey Tristan;SC Bern;Stürmer;16;0;30;0;1.88
20;Roche Travis;SC Bern;Verteidiger;19;3;30;10;1.58
21;Monnet Thibaut;ZSC Lions;Stürmer;12;4;30;13.33;2.50
22;Collenberg Franco;SC Bern;Verteidiger;20;0;30;0;1.50
23;Vermin Joël;SC Bern;Stürmer;19;3;29;10.34;1.53
24;Heins Shawn;Fribourg-Gottéron;Verteidiger;14;1;29;3.45;2.07
25;Schnyder Fabian;EV Zug;Stürmer;14;1;28;3.57;2.00
26;Bykov Andrey;Fribourg-Gottéron;Stürmer;17;4;28;14.29;1.65
27;Pouliot Marc-Antoine;EHC Biel;Stürmer;7;3;27;11.11;3.86
28;Kenins Ronalds;ZSC Lions;Stürmer;12;4;26;15.38;2.17
29;Chiesa Alessandro;EV Zug;Verteidiger;14;2;26;7.69;1.86
30;Ambühl Andres;ZSC Lions;Stürmer;12;3;26;11.54;2.17
31;Wozniewski Andy;EV Zug;Verteidiger;10;1;25;4;2.50
32;Cunti Luca;ZSC Lions;Stürmer;12;2;25;8;2.08
33;Hasani Adam;Fribourg-Gottéron;Stürmer;18;4;24;16.67;1.33
34;Bednar Jaroslav;SC Bern;Stürmer;8;3;24;12.5;3.00
35;Beaudoin Eric;EHC Biel;Stürmer;7;3;24;12.5;3.43
36;Knoepfli Michael;Fribourg-Gottéron;Stürmer;18;3;23;13.04;1.28
37;Bertschy Christoph;SC Bern;Stürmer;20;2;23;8.70;1.15
38;Bärtschi Patrik;ZSC Lions;Stürmer;12;3;23;13.04;1.92
39;Schäppi Reto;ZSC Lions;Stürmer;12;2;22;9.09;1.83
40;Randegger Flurin;SC Bern;Verteidiger;20;0;22;0;1.10
41;Mercier Jonathan;Genève-Servette HC;Verteidiger;7;0;22;0;3.14
42;Heikkinen Ilkka;HC Lugano;Verteidiger;7;2;22;9.09;3.14
43;Domenichelli Hnat;HC Lugano;Stürmer;7;3;22;13.64;3.14
44;Bürgler Dario;HC Davos;Stürmer;7;3;22;13.64;3.14
45;Blindenbacher Severin;ZSC Lions;Verteidiger;10;2;22;9.09;2.20
46;Helbling Timo;EV Zug;Verteidiger;14;1;21;4.76;1.50
47;Berger Pascal;SC Bern;Stürmer;20;3;21;14.29;1.05
48;Rubin Daniel;SC Bern;Stürmer;18;0;20;0;1.11
49;Gerber Beat;SC Bern;Verteidiger;20;0;20;0;1.00
50;Dvorak Radek;HC Davos;Stürmer;7;1;20;5;2.86
51;Berger Alain;SC Bern;Stürmer;20;2;20;10;1.00
52;Abplanalp Marc;Fribourg-Gottéron;Verteidiger;17;0;20;0;1.18
53;Vauclair Julien;HC Lugano;Verteidiger;7;1;19;5.26;2.71
54;Christen Björn;EV Zug;Stürmer;10;5;19;26.32;1.90
55;Casutt Corsin;EV Zug;Stürmer;14;3;19;15.79;1.36
56;McLean Brett;HC Lugano;Stürmer;7;1;18;5.56;2.57
57;Birbaum Alain;Fribourg-Gottéron;Verteidiger;18;1;18;5.56;1.00
58;Steiner Daniel;HC Lugano;Stürmer;7;0;17;0;2.43
59;Shannon Ryan;ZSC Lions;Stürmer;12;2;17;11.76;1.42
60;Ngoy Michael;Fribourg-Gottéron;Verteidiger;18;1;17;5.88;0.94
61;Metropolit Glen;HC Lugano;Stürmer;7;2;17;11.76;2.43
62;Gossweiler Manuel;EHC Biel;Verteidiger;7;0;17;0;2.43
63;Fritsche Dan;Genève-Servette HC;Stürmer;7;2;17;11.76;2.43
64;Fischer Patrick;EV Zug;Verteidiger;14;0;17;0;1.21
65;Sykora Petr;HC Davos;Stürmer;7;2;16;12.5;2.29
66;Simek Juraj;Genève-Servette HC;Stürmer;7;4;16;25;2.29
67;Seger Mathias;ZSC Lions;Verteidiger;12;0;16;0;1.33
68;Loichat Michaël;SC Bern;Stürmer;20;4;16;25;0.80
69;Lammer Dominic;EV Zug;Stürmer;14;0;16;0;1.14
70;Keller Ryan;Genève-Servette HC;Stürmer;6;0;16;0;2.67
71;Jobin David;SC Bern;Verteidiger;9;0;16;0;1.78
72;Vauclair Tristan;Fribourg-Gottéron;Stürmer;17;2;15;13.33;0.88
73;Meier Dominic;EHC Biel;Verteidiger;7;0;15;0;2.14
74;Maurer Marco;ZSC Lions;Verteidiger;12;0;15;0;1.25
75;Hirschi Steve;HC Lugano;Verteidiger;7;0;15;0;2.14
76;Dubé Christian;Fribourg-Gottéron;Stürmer;16;0;15;0;0.94
77;Carle Mathieu;Genève-Servette HC;Verteidiger;7;0;15;0;2.14
78;Wieser Dino;HC Davos;Stürmer;6;2;14;14.29;2.33
79;Vukovic Daniel;Genève-Servette HC;Verteidiger;7;1;14;7.14;2.00
80;Omark Linus;EV Zug;Stürmer;12;2;14;14.29;1.17
81;Kellenberger Steve;EHC Biel;Stürmer;7;1;14;7.14;2.00
82;Bastl Mark;ZSC Lions;Stürmer;12;3;14;21.43;1.17
83;Wieser Marc;EHC Biel;Stürmer;7;2;13;15.38;1.86
84;Walker Julian;Genève-Servette HC;Stürmer;7;1;13;7.69;1.86
85;Sutter Fabian;EV Zug;Stürmer;12;6;13;46.15;1.08
86;Lashoff Matt;ZSC Lions;Verteidiger;12;0;13;0;1.08
87;Forster Beat;HC Davos;Verteidiger;7;0;13;0;1.86
88;Botter Cédric;Fribourg-Gottéron;Stürmer;18;4;13;30.77;0.72
89;Almond Cody;Genève-Servette HC;Stürmer;7;0;13;0;1.86
90;Ulmer Martin;EHC Biel;Stürmer;7;1;12;8.33;1.71
91;Schilt Sebastian;Fribourg-Gottéron;Verteidiger;17;2;12;16.67;0.71
92;Romy Kevin;Genève-Servette HC;Stürmer;7;3;12;25;1.71
93;Randegger Gian-Andrea;Genève-Servette HC;Verteidiger;7;0;12;0;1.71
94;Ehlers Nikolaj;EHC Biel;Stürmer;7;0;12;0;1.71
95;Campoli Chris;EHC Biel;Verteidiger;6;1;12;8.33;2.00
96;Sutter Sebastian;EHC Biel;Stürmer;7;0;11;0;1.57
97;Salmelainen Tony;Genève-Servette HC;Stürmer;7;2;11;18.18;1.57
98;Pittis Domenico;EV Zug;Stürmer;8;1;11;9.09;1.38
99;Murray Jordan;HC Lugano;Stürmer;7;0;11;0;1.57
100;Lüthi Fabian;EV Zug;Stürmer;14;1;11;9.09;0.79
101;Lauper Adrien;Fribourg-Gottéron;Stürmer;15;1;11;9.09;0.73
102;Gerber Roland;Genève-Servette HC;Stürmer;7;1;11;9.09;1.57
103;Geering Patrick;ZSC Lions;Verteidiger;12;0;11;0;0.92
104;Furrer Andreas;EV Zug;Verteidiger;14;2;11;18.18;0.79
105;Wetzel Philipp;EHC Biel;Stürmer;7;1;10;10;1.43
106;Untersander Ramon;EHC Biel;Verteidiger;7;0;10;0;1.43
107;Trachsler Morris;ZSC Lions;Stürmer;12;0;10;0;0.83
108;Rosa Pavel;HC Lugano;Stürmer;4;1;10;10;2.50
109;Rivera Christopher;Genève-Servette HC;Stürmer;7;0;10;0;1.43
110;Ramholt Tim;HC Davos;Verteidiger;7;0;10;0;1.43
111;Micflikier Jacob;EHC Biel;Stürmer;4;0;10;0;2.50
112;MacMurchy Ryan;EHC Biel;Stürmer;3;1;10;10;3.33
113;Gloor Kevin;EHC Biel;Verteidiger;7;0;10;0;1.43
114;Cadieux Jan;Fribourg-Gottéron;Stürmer;16;0;10;0;0.62
115;Sciaroni Gregory;HC Davos;Stürmer;7;1;9;11.11;1.29
116;Picard Alexandre;Genève-Servette HC;Stürmer;6;2;9;22.22;1.50
117;Marha Josef;HC Davos;Stürmer;7;1;9;11.11;1.29
118;Kostner Diego;HC Lugano;Stürmer;7;0;9;0;1.29
119;Hofmann Gregory;HC Davos;Stürmer;7;0;9;0;1.29
120;Grossmann Robin;HC Davos;Verteidiger;7;1;9;11.11;1.29
121;Erni Samuel;EV Zug;Verteidiger;14;0;9;0;0.64
122;Campbell Jeff;SC Bern;Stürmer;10;2;9;22.22;0.90
123;Back Rene;HC Davos;Verteidiger;7;0;9;0;1.29
124;Taticek Petr;HC Davos;Stürmer;5;0;8;0;1.60
125;Peter Emanuel;EHC Biel;Stürmer;7;2;8;25;1.14
126;Diem Nolan;EV Zug;Stürmer;14;1;8;12.5;0.57
127;Bühler Cyrill;ZSC Lions;Stürmer;11;0;8;0;0.73
128;Sykora Petr;SC Bern;-;4;1;7;14.29;1.75
129;Simion Dario;HC Lugano;Stürmer;7;1;7;14.29;1.00
130;Ryser Sven;HC Davos;Stürmer;6;1;7;14.29;1.17
131;Ruefenacht Thomas;HC Lugano;Stürmer;3;1;7;14.29;2.33
132;Polak Vojtech;HC Davos;Stürmer;2;0;7;0;3.50
133;Nodari Matteo;HC Lugano;Verteidiger;7;0;7;0;1.00
134;Morant Johan;HC Lugano;Verteidiger;5;0;7;0;1.40
135;Lindemann Sven;EV Zug;Stürmer;14;0;7;0;0.50
136;Huguenin Anthony;EHC Biel;Verteidiger;6;1;7;14.29;1.17
137;Hächler Cedric;ZSC Lions;Verteidiger;9;0;7;0;0.78
138;Gautschi Marc;Genève-Servette HC;Verteidiger;6;0;7;0;1.17
139;Wellinger Thomas;EHC Biel;Verteidiger;3;0;6;0;2.00
140;Von Arx Reto;HC Davos;Stürmer;5;2;6;33.33;1.20
141;Sieber Lukas;HC Davos;Stürmer;5;0;6;0;1.20
142;Schlumpf Dominik;HC Lugano;Verteidiger;7;0;6;0;0.86
143;Reuille Sebastien;HC Lugano;Stürmer;7;0;6;0;0.86
144;Neuenschwander Caryl;SC Bern;Stürmer;20;1;6;16.67;0.30
145;Ulmer Stefan;HC Lugano;Verteidiger;4;1;5;20;1.25
146;Sushinsky Maxim;Fribourg-Gottéron;Stürmer;4;0;5;0;1.25
147;Steinmann Janick;HC Davos;Stürmer;7;0;5;0;0.71
148;Schommer Patrick;HC Davos;Stürmer;4;1;5;20;1.25
149;Schnyder Daniel;ZSC Lions;Verteidiger;12;0;5;0;0.42
150;Linglet Charles;HC Lugano;Stürmer;3;1;5;20;1.67
151;Iglesias Frédéric;Genève-Servette HC;Verteidiger;6;1;5;20;0.83
152;Baltisberger Chris;ZSC Lions;Stürmer;8;0;5;0;0.62
153;Tschantré Mathieu;EHC Biel;Stürmer;3;0;4;0;1.33
154;Schneeberger Noah;HC Davos;Verteidiger;4;0;4;0;1.00
155;Neininger Michael;EHC Biel;Stürmer;6;0;4;0;0.67
156;Füglister Jeffrey;EHC Biel;Stürmer;6;0;4;0;0.67
157;Fritsche John;Genève-Servette HC;Stürmer;7;1;4;25;0.57
158;Conne Flavien;HC Lugano;Stürmer;7;1;4;25;0.57
159;Brügger Sandro;Fribourg-Gottéron;Stürmer;5;0;4;0;0.80
160;Schefer Philipp;EV Zug;Verteidiger;11;0;3;0;0.27
161;Rizzi Sandro;HC Davos;Verteidiger;7;0;3;0;0.43
162;Joggi Mathias;HC Davos;Stürmer;7;0;3;0;0.43
163;Guerra Samuel;HC Davos;Verteidiger;6;0;3;0;0.50
164;Schneuwly Cédric;EV Zug;Stürmer;11;0;2;0;0.18
165;Schäublin Olivier;Fribourg-Gottéron;Verteidiger;6;0;2;0;0.33
166;Kparghai Clarence;EHC Biel;Verteidiger;1;0;2;0;2.00
167;Kamber Oliver;HC Lugano;Stürmer;7;0;2;0;0.29
168;Ehrensperger Gianni;EHC Biel;Stürmer;1;0;2;0;2.00
169;Antonietti Eliot;Genève-Servette HC;Verteidiger;7;0;2;0;0.29
170;Trutmann Dario;EHC Biel;Verteidiger;2;0;1;0;0.50
171;Tremblay Alexandre;ZSC Lions;Stürmer;5;0;1;0;0.20
172;Profico Leandro;HC Lugano;Verteidiger;4;0;1;0;0.25
173;Mottet Killian;Fribourg-Gottéron;Stürmer;2;0;1;0;0.50
174;McCarthy Steve;ZSC Lions;Verteidiger;2;1;1;100;0.50
175;Kreis Samuel;SC Bern;Verteidiger;8;0;1;0;0.12
176;Kienzle Lorenz;HC Lugano;Verteidiger;5;0;1;0;0.20
177;Heldstab Beat;SC Bern;Verteidiger;5;0;1;0;0.20
178;Friedli Samuel;Genève-Servette HC;Stürmer;7;0;1;0;0.14
179;Corvi Enzo;HC Davos;Stürmer;3;0;1;0;0.33
180;Alatalo Santeri;HC Davos;Verteidiger;3;0;1;0;0.33
181;Zubler Patrick;EV Zug;Verteidiger;7;0;0;-;0.00
182;Walsky Eric;Genève-Servette HC;Stürmer;2;0;0;-;0.00
183;Schmutz Julian;SC Bern;Stürmer;4;0;0;-;0.00
184;Savary Jean;Genève-Servette HC;Stürmer;7;0;0;-;0.00
185;Rouiller Anthony;EHC Biel;Verteidiger;2;0;0;-;0.00
186;Rossi Matthias;EV Zug;Stürmer;1;0;0;-;0.00
187;Pivron Pierrick;HC Lugano;Stürmer;1;0;0;-;0.00
188;Kubina Pavel;Genève-Servette HC;Verteidiger;1;0;0;-;0.00
189;Kast Timothy;Fribourg-Gottéron;Stürmer;1;0;0;-;0.00
190;Hänni Andreas;SC Bern;Verteidiger;5;0;0;-;0.00
191;Grieder Marc;EHC Biel;Verteidiger;5;0;0;-;0.00
192;Fazzini Luca;HC Lugano;Stürmer;6;0;0;-;0.00
193;Fata Rico;Genève-Servette HC;Stürmer;1;0;0;-;0.00
194;Blaser Yannick;EV Zug;Verteidiger;1;0;0;-;0.00
195;Baltisberger Phil;ZSC Lions;Verteidiger;4;0;0;-;0.00
