R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
1;Wick Jeremy;Genève-Servette HC;Stürmer;11;31;3;1;0;1;0
2;Wieser Dino;HC Davos;Stürmer;15;30;15;0;0;0;0
3;Mieville Alain;Lausanne HC;Stürmer;7;25;0;1;0;1;0
4;Tallinder Henrik;ZSC Lions;Verteidiger;18;24;7;0;1;0;0
5;Wick Roman;ZSC Lions;Stürmer;18;22;6;0;1;0;0
6;Simek Juraj;HC Lugano;Stürmer;6;18;4;0;1;0;0
7;Rubin Daniel;Genève-Servette HC;Stürmer;12;18;9;0;0;0;0
8;Baltisberger Chris;ZSC Lions;Stürmer;17;16;8;0;0;0;0
9;Almond Cody;Genève-Servette HC;Stürmer;12;16;8;0;0;0;0
10;Plüss Martin;SC Bern;Stürmer;11;14;7;0;0;0;0
11;Künzle Mike;ZSC Lions;Stürmer;17;14;7;0;0;0;0
12;Picard Alexandre;Genève-Servette HC;Stürmer;8;12;6;0;0;0;0
13;Kindschi Simon;HC Davos;Verteidiger;10;12;6;0;0;0;0
14;Blindenbacher Severin;ZSC Lions;Verteidiger;18;12;6;0;0;0;0
15;Bezina Goran;Genève-Servette HC;Verteidiger;12;12;6;0;0;0;0
16;Seger Mathias;ZSC Lions;Verteidiger;12;10;5;0;0;0;0
17;Schäppi Reto;ZSC Lions;Stürmer;18;10;5;0;0;0;0
18;Keller Ryan;ZSC Lions;Stürmer;18;10;5;0;0;0;0
19;Forster Beat;HC Davos;Verteidiger;15;10;5;0;0;0;0
20;Bergeron Marc-André;ZSC Lions;Verteidiger;13;10;5;0;0;0;0
21;Ambühl Andres;HC Davos;Stürmer;15;10;5;0;0;0;0
22;Wieser Marc;HC Davos;Stürmer;12;8;4;0;0;0;0
23;Sciaroni Gregory;HC Davos;Stürmer;15;8;4;0;0;0;0
24;Joensuu Jesse;SC Bern;Stürmer;8;8;4;0;0;0;0
25;Gobbi John;Lausanne HC;Verteidiger;7;8;4;0;0;0;0
26;D'Agostini Matt;Genève-Servette HC;Stürmer;12;8;4;0;0;0;0
27;Axelsson Dick;HC Davos;Stürmer;13;8;4;0;0;0;0
28;Walser Samuel;HC Davos;Stürmer;15;6;3;0;0;0;0
29;Vauclair Julien;HC Lugano;Verteidiger;6;6;3;0;0;0;0
30;Spylo Ahren;EHC Biel;Stürmer;7;6;3;0;0;0;0
31;Smith Derek;ZSC Lions;Verteidiger;5;6;3;0;0;0;0
32;Shannon Ryan;ZSC Lions;Stürmer;18;6;3;0;0;0;0
33;Rod Noah;Genève-Servette HC;Stürmer;10;6;3;0;0;0;0
34;Ritchie Byron;SC Bern;Stürmer;11;6;3;0;0;0;0
35;Guerra Samuel;HC Davos;Verteidiger;15;6;3;0;0;0;0
36;Geering Patrick;ZSC Lions;Verteidiger;18;6;3;0;0;0;0
37;Furrer Philippe;SC Bern;Verteidiger;11;6;3;0;0;0;0
38;Douay Floran;Genève-Servette HC;Stürmer;12;6;3;0;0;0;0
39;Diem Nolan;EV Zug;Stürmer;6;6;3;0;0;0;0
40;Corvi Enzo;HC Davos;Stürmer;15;6;3;0;0;0;0
41;Conz Florian;Lausanne HC;Stürmer;7;6;3;0;0;0;0
42;Chiesa Alessandro;HC Lugano;Verteidiger;6;6;3;0;0;0;0
43;Bärtschi Patrik;ZSC Lions;Stürmer;18;6;3;0;0;0;0
44;Arlbrandt Pär;EHC Biel;Stürmer;7;6;3;0;0;0;0
45;Alatalo Santeri;EV Zug;Verteidiger;6;6;3;0;0;0;0
46;Walker Julian;HC Lugano;Stürmer;6;4;2;0;0;0;0
