R;Spieler;Team;Pos;GP;PS;PSG;PSM;PS%;GWG PS
1;Shannon Ryan;ZSC Lions;Stürmer;18;2;1;1;50;0
2;Nilsson Robert;ZSC Lions;Stürmer;18;2;0;2;0;0
3;Künzle Mike;ZSC Lions;Stürmer;17;2;1;1;50;0
4;Walser Samuel;HC Davos;Stürmer;15;1;1;0;100;0
5;Spylo Ahren;EHC Biel;Stürmer;7;1;1;0;100;1
6;Sciaroni Gregory;HC Davos;Stürmer;15;1;0;1;0;0
7;Rossi Matthias;EHC Biel;Stürmer;7;1;0;1;0;0
8;Olausson Niklas;EHC Biel;Stürmer;7;1;1;0;100;0
9;Keller Ryan;ZSC Lions;Stürmer;18;1;0;1;0;0
10;Kamber Oliver;EHC Biel;Stürmer;7;1;0;1;0;0
11;Du Bois Felicien;HC Davos;Verteidiger;15;1;1;0;100;1
12;Bergeron Marc-André;ZSC Lions;Verteidiger;13;1;0;1;0;0
13;Bärtschi Patrik;ZSC Lions;Stürmer;18;1;0;1;0;0
14;Arlbrandt Pär;EHC Biel;Stürmer;7;1;1;0;100;0
15;Zangger Sandro;EV Zug;Stürmer;5;0;0;0;-;0
16;Wieser Marc;HC Davos;Stürmer;12;0;0;0;-;0
17;Wieser Dino;HC Davos;Stürmer;15;0;0;0;-;0
18;Wiedmer Sandro;SC Bern;Verteidiger;4;0;0;0;-;0
19;Wick Roman;ZSC Lions;Stürmer;18;0;0;0;-;0
20;Wick Jeremy;Genève-Servette HC;Stürmer;11;0;0;0;-;0
21;Wetzel Philipp;EHC Biel;Stürmer;7;0;0;0;-;0
22;Wellinger Thomas;EHC Biel;Verteidiger;7;0;0;0;-;0
23;Walker Julian;HC Lugano;Stürmer;6;0;0;0;-;0
24;Vukovic Daniel;Genève-Servette HC;Verteidiger;12;0;0;0;-;0
25;Von Arx Reto;HC Davos;Stürmer;4;0;0;0;-;0
26;Von Arx Jan;HC Davos;Verteidiger;14;0;0;0;-;0
27;Vauclair Julien;HC Lugano;Verteidiger;6;0;0;0;-;0
28;Untersander Ramon;EHC Biel;Verteidiger;7;0;0;0;-;0
29;Umicevic Dragan;EHC Biel;Stürmer;1;0;0;0;-;0
30;Ulmer Stefan;HC Lugano;Verteidiger;3;0;0;0;-;0
31;Ulmann Tim;Lausanne HC;Stürmer;5;0;0;0;-;0
32;Tschantré Mathieu;EHC Biel;Stürmer;7;0;0;0;-;0
33;Tschannen Stefan;Lausanne HC;Stürmer;2;0;0;0;-;0
34;Trutmann Dario;Genève-Servette HC;Verteidiger;12;0;0;0;-;0
35;Trachsler Morris;ZSC Lions;Stürmer;18;0;0;0;-;0
36;Traber Tim;Genève-Servette HC;Stürmer;5;0;0;0;-;0
37;Tallinder Henrik;ZSC Lions;Verteidiger;18;0;0;0;-;0
38;Sutter Fabian;EV Zug;Stürmer;6;0;0;0;-;0
39;Suri Reto;EV Zug;Stürmer;6;0;0;0;-;0
40;St-Pierre Martin;Lausanne HC;Stürmer;1;0;0;0;-;0
41;Stoffel Andri;ZSC Lions;Verteidiger;9;0;0;0;-;0
42;Steinmann Janick;HC Lugano;Stürmer;6;0;0;0;-;0
43;Steiner Nicholas;EHC Biel;Verteidiger;7;0;0;0;-;0
44;Stämpfli David;EV Zug;Verteidiger;1;0;0;0;-;0
45;Stalder Ralph;Lausanne HC;Verteidiger;7;0;0;0;-;0
46;Sondell Daniel;EV Zug;Verteidiger;5;0;0;0;-;0
47;Smith Derek;ZSC Lions;Verteidiger;5;0;0;0;-;0
48;Simion Dario;HC Davos;Stürmer;15;0;0;0;-;0
49;Simek Juraj;HC Lugano;Stürmer;6;0;0;0;-;0
50;Siegenthaler Jonas;ZSC Lions;Verteidiger;18;0;0;0;-;0
51;Senteler Sven;ZSC Lions;Stürmer;9;0;0;0;-;0
52;Seger Mathias;ZSC Lions;Verteidiger;12;0;0;0;-;0
53;Schnyder Fabian;EV Zug;Stürmer;6;0;0;0;-;0
