R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
1;Salmelainen Tony;Genève-Servette HC;Stürmer;18;12;10;5;5;3;8;4;2;5;2;1
2;Deruns Thomas;Genève-Servette HC;Stürmer;20;10;15;9;6;0;4;12;4;2;2;1
3;Rüthemann Ivo;SC Bern;Stürmer;15;7;8;4;4;2;5;4;2;3;0;1
4;Vigier Jean-Pierre;SC Bern;Stürmer;14;7;7;5;2;1;6;5;1;2;0;0
5;McTavish Dale;EV Zug;Stürmer;12;6;8;6;2;1;5;4;1;4;0;0
6;Josi Roman;SC Bern;Verteidiger;15;6;7;5;2;2;1;5;4;2;1;0
7;Gamache Simon;SC Bern;Stürmer;10;6;4;4;0;1;3;3;2;1;1;0
8;Kolnik Juraj;Genève-Servette HC;Stürmer;16;6;4;2;2;0;4;3;2;1;0;0
9;Toms Jeff;Genève-Servette HC;Stürmer;18;5;13;9;4;2;1;7;4;6;0;0
10;Holden Josh;EV Zug;Stürmer;13;5;10;7;3;1;3;4;1;6;1;0
11;McLean Brett;SC Bern;Stürmer;15;5;7;3;4;0;2;4;3;3;0;0
12;Rintanen Kimmo;Kloten Flyers;Stürmer;10;5;5;5;0;1;2;2;3;3;0;0
13;Rubin Daniel;Genève-Servette HC;Stürmer;20;5;5;3;2;1;5;0;0;5;0;0
14;Brunner Damien;EV Zug;Stürmer;13;5;5;2;3;1;2;4;3;1;0;0
15;Suri Reto;Genève-Servette HC;Stürmer;20;5;4;0;4;0;4;3;1;1;0;0
16;Schnyder Fabian;EV Zug;Stürmer;13;5;2;2;0;0;3;1;1;0;1;1
17;Lemm Romano;HC Lugano;Stürmer;4;5;0;0;0;0;4;0;1;0;0;0
18;Bezina Goran;Genève-Servette HC;Verteidiger;20;4;12;7;5;1;1;6;2;6;1;0
19;Trachsler Morris;Genève-Servette HC;Stürmer;20;4;7;5;2;1;4;5;0;0;0;2
20;Wick Roman;Kloten Flyers;Stürmer;10;4;6;5;1;0;2;3;2;3;0;0
21;Savary Paul;Genève-Servette HC;Stürmer;17;4;5;4;1;0;3;4;1;1;0;0
22;Santala Tommi;Kloten Flyers;Stürmer;10;4;5;3;2;1;2;2;2;3;0;0
23;Monnet Thibaut;ZSC Lions;Stürmer;7;4;4;3;1;0;1;2;1;2;2;0
24;Conz Florian;Genève-Servette HC;Stürmer;20;4;4;3;1;2;3;3;0;1;1;0
25;Berger Pascal;SC Bern;Stürmer;15;4;4;2;2;0;3;2;1;1;0;1
26;Christen Björn;EV Zug;Stürmer;13;4;3;2;1;1;3;2;1;1;0;0
27;Reichert Marc;SC Bern;Stürmer;15;4;3;1;2;2;3;3;1;0;0;0
28;Goren Lee;SC Bern;Stürmer;6;4;2;2;0;0;2;2;2;0;0;0
29;Sprunger Julien;Fribourg-Gottéron;Stürmer;7;4;2;1;1;2;3;2;1;0;0;0
30;Stancescu Victor;Kloten Flyers;Stürmer;10;4;1;0;1;1;3;1;1;0;0;0
31;Plüss Martin;SC Bern;Stürmer;15;3;10;3;7;1;2;5;1;3;0;2
32;Froidevaux Etienne;SC Bern;Stürmer;15;3;6;4;2;1;2;5;0;1;1;0
33;Di Pietro Paul;EV Zug;Stürmer;13;3;6;0;6;1;2;2;1;4;0;0
34;Plüss Benny;Fribourg-Gottéron;Stürmer;5;3;4;2;2;0;2;4;1;0;0;0
35;Du Bois Felicien;Kloten Flyers;Verteidiger;10;3;4;2;2;0;1;2;2;2;0;0
36;Taticek Petr;HC Davos;Stürmer;6;3;3;2;1;0;1;3;2;0;0;0
37;Bärtschi Patrik;ZSC Lions;Stürmer;7;3;3;1;2;0;2;3;1;0;0;0
38;Mowers Mark;Fribourg-Gottéron;Stürmer;7;3;2;2;0;0;1;1;1;1;1;0
39;Krutov Alexei;ZSC Lions;Stürmer;7;3;2;2;0;1;3;1;0;1;0;0
40;Bürgler Dario;HC Davos;Stürmer;6;3;2;2;0;0;3;1;0;1;0;0
41;Casutt Corsin;Fribourg-Gottéron;Stürmer;7;3;2;0;2;0;3;1;0;1;0;0
42;Roche Travis;SC Bern;Verteidiger;15;2;8;4;4;0;0;2;2;6;0;0
43;Malik Marek;Genève-Servette HC;Verteidiger;20;2;8;4;4;1;0;3;2;5;0;0
44;Gobbi John;Genève-Servette HC;Verteidiger;20;2;8;3;5;0;0;3;2;3;0;2
45;Dubé Christian;SC Bern;Stürmer;13;2;8;2;6;1;2;3;0;5;0;0
46;Rivera Christopher;Genève-Servette HC;Stürmer;20;2;7;5;2;0;2;7;0;0;0;0
47;Bykov Andrey;Fribourg-Gottéron;Stürmer;7;2;5;3;2;0;2;2;0;3;0;0
48;Steinmann Janick;EV Zug;Stürmer;13;2;5;2;3;0;2;5;0;0;0;0
49;Seger Mathias;ZSC Lions;Verteidiger;7;2;5;2;3;0;0;1;2;2;0;2
50;Lindemann Sven;Kloten Flyers;Stürmer;10;2;5;2;3;0;1;4;0;1;1;0
