R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
1;Sutter Sebastian;EHC Biel;Stürmer;7;52;1;2;0;1;1
2;Schilt Sebastian;Fribourg-Gottéron;Verteidiger;17;49;7;1;1;1;0
3;Helbling Timo;EV Zug;Verteidiger;14;45;10;1;0;1;0
4;Heins Shawn;Fribourg-Gottéron;Verteidiger;14;32;11;0;1;0;0
5;Gautschi Marc;Genève-Servette HC;Verteidiger;6;31;3;1;0;0;1
6;Lauper Adrien;Fribourg-Gottéron;Stürmer;15;29;2;1;0;1;0
7;Blindenbacher Severin;ZSC Lions;Verteidiger;10;29;2;1;0;0;1
8;MacMurchy Ryan;EHC Biel;Stürmer;3;27;1;1;0;1;0
9;Collenberg Franco;SC Bern;Verteidiger;20;27;1;1;0;1;0
10;Gardner Ryan;SC Bern;Stürmer;18;25;0;1;0;1;0
11;Chiesa Alessandro;EV Zug;Verteidiger;14;24;7;0;1;0;0
12;Plüss Benny;Fribourg-Gottéron;Stürmer;18;22;6;0;1;0;0
13;Suri Reto;EV Zug;Stürmer;14;20;5;0;1;0;0
14;Rivera Christopher;Genève-Servette HC;Stürmer;7;20;5;0;1;0;0
15;Ritchie Byron;SC Bern;Stürmer;20;20;10;0;0;0;0
16;Seger Mathias;ZSC Lions;Verteidiger;12;18;4;0;1;0;0
17;Pouliot Marc-Antoine;EHC Biel;Stürmer;7;18;4;0;1;0;0
18;Kwiatkowski Joel;Fribourg-Gottéron;Verteidiger;18;18;9;0;0;0;0
19;Almond Cody;Genève-Servette HC;Stürmer;7;18;4;0;1;0;0
20;Rubin Daniel;SC Bern;Stürmer;18;16;8;0;0;0;0
21;Furrer Philippe;SC Bern;Verteidiger;18;16;8;0;0;0;0
22;Roche Travis;SC Bern;Verteidiger;19;14;7;0;0;0;0
23;Lashoff Matt;ZSC Lions;Verteidiger;12;14;7;0;0;0;0
24;Carle Mathieu;Genève-Servette HC;Verteidiger;7;14;2;0;1;0;0
25;Trutmann Dario;EHC Biel;Verteidiger;2;12;1;0;1;0;0
26;Randegger Flurin;SC Bern;Verteidiger;20;12;6;0;0;0;0
27;Omark Linus;EV Zug;Stürmer;12;12;6;0;0;0;0
28;Knoepfli Michael;Fribourg-Gottéron;Stürmer;18;12;1;0;1;0;0
29;Holden Josh;EV Zug;Stürmer;14;12;6;0;0;0;0
30;Hasani Adam;Fribourg-Gottéron;Stürmer;18;12;6;0;0;0;0
31;Gerber Roland;Genève-Servette HC;Stürmer;7;12;1;0;1;0;0
32;Gerber Beat;SC Bern;Verteidiger;20;12;6;0;0;0;0
33;Birbaum Alain;Fribourg-Gottéron;Verteidiger;18;12;6;0;0;0;0
34;Trachsler Morris;ZSC Lions;Stürmer;12;10;5;0;0;0;0
35;Sprunger Julien;Fribourg-Gottéron;Stürmer;16;10;5;0;0;0;0
36;Scherwey Tristan;SC Bern;Stürmer;16;10;5;0;0;0;0
37;Salmelainen Tony;Genève-Servette HC;Stürmer;7;10;0;0;1;0;0
38;Plüss Martin;SC Bern;Stürmer;20;10;5;0;0;0;0
39;Kenins Ronalds;ZSC Lions;Stürmer;12;10;5;0;0;0;0
40;Berger Alain;SC Bern;Stürmer;20;10;5;0;0;0;0
41;Wieser Marc;EHC Biel;Stürmer;7;8;4;0;0;0;0
42;Wick Roman;ZSC Lions;Stürmer;12;8;4;0;0;0;0
43;Wetzel Philipp;EHC Biel;Stürmer;7;8;4;0;0;0;0
44;Vermin Joël;SC Bern;Stürmer;19;8;4;0;0;0;0
45;Tschantré Mathieu;EHC Biel;Stürmer;3;8;4;0;0;0;0
