R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
1;Du Bois Felicien;Kloten Flyers;Verteidiger;18;1;65;1.54;3.61
2;Bell Mark;Kloten Flyers;Stürmer;18;6;54;11.11;3.00
3;Von Gunten Patrick;Kloten Flyers;Verteidiger;18;2;52;3.85;2.89
4;Diaz Raphael;EV Zug;Verteidiger;10;2;49;4.08;4.90
5;Rüthemann Ivo;SC Bern;Stürmer;11;6;46;13.04;4.18
6;Brunner Damien;EV Zug;Stürmer;8;4;39;10.26;4.88
7;Bodenmann Simon;Kloten Flyers;Stürmer;18;2;37;5.41;2.06
8;Stancescu Victor;Kloten Flyers;Stürmer;17;6;36;16.67;2.12
9;Bieber Matthias;Kloten Flyers;Stürmer;18;2;36;5.56;2.00
10;Plüss Martin;SC Bern;Stürmer;11;6;35;17.14;3.18
11;Lemm Romano;Kloten Flyers;Stürmer;16;1;34;2.94;2.12
12;Bednar Jaroslav;HC Davos;Stürmer;12;5;32;15.62;2.67
13;Taticek Petr;HC Davos;Stürmer;14;7;31;22.58;2.21
14;Casutt Corsin;EV Zug;Stürmer;10;7;31;22.58;3.10
15;Walser Samuel;Kloten Flyers;Stürmer;17;1;30;3.33;1.76
16;Metropolit Glen;EV Zug;Stürmer;10;2;30;6.67;3.00
17;Fischer Patrick;EV Zug;Verteidiger;10;2;30;6.67;3.00
18;Christen Björn;EV Zug;Stürmer;10;2;30;6.67;3.00
19;Rintanen Kimmo;Kloten Flyers;Stürmer;16;3;29;10.34;1.81
20;Kwiatkowski Joel;SC Bern;Verteidiger;10;0;29;0;2.90
21;Luomala Marko;Kloten Flyers;Stürmer;14;3;28;10.71;2.00
22;Deruns Thomas;SC Bern;Stürmer;11;2;28;7.14;2.55
23;Wozniewski Andy;EV Zug;Verteidiger;10;1;27;3.70;2.70
24;Santala Tommi;Kloten Flyers;Stürmer;16;4;27;14.81;1.69
25;Roche Travis;SC Bern;Verteidiger;9;0;26;0;2.89
26;Bürgler Dario;HC Davos;Stürmer;14;6;26;23.08;1.86
27;Sykora Petr;HC Davos;Stürmer;9;1;25;4;2.78
28;Schnyder Fabian;EV Zug;Stürmer;10;3;25;12;2.50
29;Pothier Brian;Genève-Servette HC;Verteidiger;6;2;25;8;4.17
30;Bezina Goran;Genève-Servette HC;Verteidiger;6;4;25;16;4.17
31;Liniger Michael;Kloten Flyers;Stürmer;18;3;24;12.5;1.33
32;Holden Josh;EV Zug;Stürmer;6;1;24;4.17;4.00
33;Guggisberg Peter;HC Davos;Stürmer;14;4;24;16.67;1.71
34;Dubé Christian;SC Bern;Stürmer;11;2;24;8.33;2.18
35;Grossmann Robin;HC Davos;Verteidiger;14;2;22;9.09;1.57
36;Furrer Philippe;SC Bern;Verteidiger;11;0;22;0;2.00
37;Wieser Dino;HC Davos;Stürmer;14;2;21;9.52;1.50
38;Gamache Simon;SC Bern;Stürmer;7;4;21;19.05;3.00
