R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
1;Klasen Linus;HC Lugano;Stürmer;15;5;12;17;1.13;8;5
2;Ebbett Andrew;SC Bern;Stürmer;14;5;10;15;1.07;0;4
3;Martensson Tony;HC Lugano;Stürmer;15;8;6;14;0.93;4;2
4;Brunner Damien;HC Lugano;Stürmer;14;7;7;14;1.00;12;7
5;Romy Kevin;Genève-Servette HC;Stürmer;11;5;8;13;1.18;16;4
6;Roy Derek;SC Bern;Stürmer;13;3;9;12;0.92;42;5
7;Untersander Ramon;SC Bern;Verteidiger;14;3;9;12;0.86;4;2
8;Pettersson Fredrik;HC Lugano;Stürmer;10;2;9;11;1.10;4;-4
9;Lindgren Perttu;HC Davos;Stürmer;9;7;3;10;1.11;8;6
10;Conacher Cory;SC Bern;Stürmer;14;5;4;9;0.64;20;2
11;Ambühl Andres;HC Davos;Stürmer;9;6;2;8;0.89;10;1
12;Setoguchi Devin;HC Davos;Stürmer;7;5;3;8;1.14;10;4
13;Wieser Marc;HC Davos;Stürmer;9;4;4;8;0.89;12;5
14;Moser Simon;SC Bern;Stürmer;14;2;6;8;0.57;8;3
15;Hofmann Gregory;HC Lugano;Stürmer;13;4;3;7;0.54;6;1
16;Loeffel Romain;Genève-Servette HC;Verteidiger;11;3;4;7;0.64;10;-2
17;Ruefenacht Thomas;SC Bern;Stürmer;14;3;4;7;0.50;20;4
18;Axelsson Dick;HC Davos;Stürmer;9;2;5;7;0.78;18;5
19;Bodenmann Simon;SC Bern;Stürmer;13;2;5;7;0.54;2;2
20;Pouliot Marc-Antoine;Fribourg-Gottéron;Stürmer;5;1;6;7;1.40;2;1
21;Ulmer Stefan;HC Lugano;Verteidiger;12;1;6;7;0.58;12;2
22;Scherwey Tristan;SC Bern;Stürmer;14;5;1;6;0.43;6;1
23;Kast Timothy;Genève-Servette HC;Stürmer;11;3;3;6;0.55;2;4
24;Bertaggia Alessio;HC Lugano;Stürmer;15;2;4;6;0.40;8;0
25;Bezina Goran;Genève-Servette HC;Verteidiger;11;0;6;6;0.55;8;-1
26;D'Agostini Matt;Genève-Servette HC;Stürmer;7;3;2;5;0.71;6;-2
27;Bouchard Pierre-Marc;EV Zug;Stürmer;4;3;2;5;1.25;14;0
28;Slater Jim;Genève-Servette HC;Stürmer;10;3;2;5;0.50;41;3
29;Berger Pascal;SC Bern;Stürmer;14;2;3;5;0.36;2;3
30;Wieser Dino;HC Davos;Stürmer;9;2;3;5;0.56;18;1
31;Martschini Lino;EV Zug;Stürmer;4;0;5;5;1.25;0;1
32;Plüss Martin;SC Bern;Stürmer;11;0;5;5;0.45;2;-3
33;Chiesa Alessandro;HC Lugano;Verteidiger;15;0;5;5;0.33;24;3
34;Du Bois Felicien;HC Davos;Verteidiger;9;0;5;5;0.56;6;5
35;Berger Alain;SC Bern;Stürmer;14;3;1;4;0.29;6;-1
36;Antonietti Eliot;Genève-Servette HC;Verteidiger;11;2;2;4;0.36;2;6
37;Furrer Philippe;HC Lugano;Verteidiger;15;2;2;4;0.27;16;3
38;Rod Noah;Genève-Servette HC;Stürmer;6;2;2;4;0.67;4;0
39;Vauclair Julien;HC Lugano;Verteidiger;12;2;2;4;0.33;10;6
40;Lapierre Maxim;HC Lugano;Stürmer;15;1;3;4;0.27;88;-3
41;Pyatt Tom;Genève-Servette HC;Stürmer;5;1;3;4;0.80;0;3
42;Blum Eric-Ray;SC Bern;Verteidiger;10;2;1;3;0.30;18;-1
43;Helbling Timo;SC Bern;Verteidiger;13;2;1;3;0.23;24;2
44;Fazzini Luca;HC Lugano;Stürmer;14;2;1;3;0.21;2;4
45;Genoway Colby;Fribourg-Gottéron;Stürmer;5;2;1;3;0.60;2;-2
46;Jörg Mauro;HC Davos;Stürmer;9;2;1;3;0.33;0;-3
47;Mauldin Greg;Fribourg-Gottéron;Stürmer;5;1;2;3;0.60;2;-1
48;Picard Alexandre;HC Davos;Stürmer;4;1;2;3;0.75;29;2
49;Riat Damien;Genève-Servette HC;Stürmer;4;1;2;3;0.75;10;0
50;Morini Giovanni;HC Lugano;Stürmer;6;1;2;3;0.50;2;3
51;Paulsson Marcus;HC Davos;Stürmer;6;1;2;3;0.50;2;-1
52;Pedretti Marco;Genève-Servette HC;Stürmer;11;1;2;3;0.27;4;-3
53;Suri Reto;EV Zug;Stürmer;4;1;2;3;0.75;0;-1
54;Traber Tim;Genève-Servette HC;Stürmer;11;1;2;3;0.27;12;3
55;Simek Juraj;Genève-Servette HC;Stürmer;10;1;2;3;0.30;4;-7
56;Forster Beat;HC Davos;Verteidiger;8;0;3;3;0.38;29;-2
57;Randegger Gian-Andrea;SC Bern;Verteidiger;14;0;3;3;0.21;2;-2
58;Matthews Auston;ZSC Lions;Stürmer;4;0;3;3;0.75;2;1
59;Blaser Yannick;EV Zug;Verteidiger;4;2;0;2;0.50;4;1
60;Frick Lukas;Kloten Flyers;Verteidiger;4;2;0;2;0.50;0;0
61;Herzog Fabrice;ZSC Lions;Stürmer;4;2;0;2;0.50;0;0
62;Bergeron Marc-André;ZSC Lions;Verteidiger;3;1;1;2;0.67;0;4
63;Blindenbacher Severin;ZSC Lions;Verteidiger;4;1;1;2;0.50;0;-3
64;Corvi Enzo;HC Davos;Stürmer;5;1;1;2;0.40;0;-2
65;Grossmann Robin;EV Zug;Verteidiger;4;1;1;2;0.50;4;-1
66;Kostner Diego;HC Lugano;Stürmer;14;1;1;2;0.14;0;3
67;Lombardi Matthew;Genève-Servette HC;Stürmer;11;1;1;2;0.18;2;-4
68;Nilsson Robert;ZSC Lions;Stürmer;4;1;1;2;0.50;0;-1
69;Praplan Vincent;Kloten Flyers;Stürmer;4;1;1;2;0.50;0;0
70;Randegger Flurin;SC Bern;Verteidiger;11;1;1;2;0.18;4;-2
71;Walker Julian;HC Lugano;Stürmer;15;1;1;2;0.13;6;-2
72;Walser Samuel;HC Davos;Stürmer;8;1;1;2;0.25;4;2
73;Holden Josh;EV Zug;Stürmer;4;1;1;2;0.50;4;-2
74;Sannitz Raffaele;HC Lugano;Stürmer;15;1;1;2;0.13;47;-3
75;Schilt Sebastian;Fribourg-Gottéron;Verteidiger;5;1;1;2;0.40;14;-2
76;Schlumpf Dominik;EV Zug;Verteidiger;4;1;1;2;0.50;2;-3
77;Simion Dario;HC Davos;Stürmer;9;1;1;2;0.22;0;-4
78;Heldner Fabian;HC Davos;Verteidiger;9;0;2;2;0.22;2;-2
79;Hollenstein Denis;Kloten Flyers;Stürmer;4;0;2;2;0.50;4;1
80;Schneeberger Noah;HC Davos;Verteidiger;9;0;2;2;0.22;8;8
81;Aeschlimann Marc;HC Davos;Stürmer;9;0;2;2;0.22;2;1
82;Jobin David;SC Bern;Verteidiger;12;0;2;2;0.17;0;7
83;Rubin Daniel;Genève-Servette HC;Stürmer;7;0;2;2;0.29;8;-1
84;Hischier Luca;SC Bern;Stürmer;9;0;2;2;0.22;4;1
85;Immonen Jarkko;EV Zug;Stürmer;4;0;2;2;0.50;4;0
86;Picard Alexandre;Fribourg-Gottéron;Verteidiger;5;0;2;2;0.40;2;-4
87;Santala Tommi;Kloten Flyers;Stürmer;4;0;2;2;0.50;6;0
88;Abplanalp Marc;Fribourg-Gottéron;Verteidiger;5;1;0;1;0.20;4;0
89;Bykov Andrey;Fribourg-Gottéron;Stürmer;5;1;0;1;0.20;0;-6
90;Douay Floran;Genève-Servette HC;Stürmer;8;1;0;1;0.12;2;-2
91;Jacquemet Arnaud;Genève-Servette HC;Stürmer;11;1;0;1;0.09;0;3
92;Kellenberger Steve;Kloten Flyers;Stürmer;4;1;0;1;0.25;0;-1
93;Kienzle Lorenz;HC Lugano;Verteidiger;11;1;0;1;0.09;4;-1
94;Kolarik Chad;Kloten Flyers;Stürmer;2;1;0;1;0.50;0;-1
95;Krueger Justin;SC Bern;Verteidiger;13;1;0;1;0.08;14;0
96;Mottet Killian;Fribourg-Gottéron;Stürmer;4;1;0;1;0.25;14;0
97;Reuille Sebastien;HC Lugano;Stürmer;15;1;0;1;0.07;4;0
98;Shannon Ryan;ZSC Lions;Stürmer;3;1;0;1;0.33;0;-1
99;Sheppard James;Kloten Flyers;Stürmer;4;1;0;1;0.25;6;-3
100;Sprunger Julien;Fribourg-Gottéron;Stürmer;5;1;0;1;0.20;2;-7
101;Stapleton Tim;HC Lugano;Stürmer;5;1;0;1;0.20;6;-2
102;Suter Pius;ZSC Lions;Stürmer;4;1;0;1;0.25;0;-2
103;Vukovic Daniel;Genève-Servette HC;Verteidiger;11;1;0;1;0.09;0;1
104;Wick Jeremy;Genève-Servette HC;Stürmer;2;1;0;1;0.50;0;0
105;Wiedmer Sandro;SC Bern;Verteidiger;3;1;0;1;0.33;0;1
106;Fritsche John;Fribourg-Gottéron;Stürmer;5;0;1;1;0.20;0;0
107;Gardner Ryan;Fribourg-Gottéron;Stürmer;5;0;1;1;0.20;0;-2
108;Geering Patrick;ZSC Lions;Verteidiger;4;0;1;1;0.25;2;-6
109;Gerber Beat;SC Bern;Verteidiger;13;0;1;1;0.08;4;5
110;Heinimann Thomas;Genève-Servette HC;Stürmer;5;0;1;1;0.20;2;0
111;Kessler Tino;HC Davos;Stürmer;6;0;1;1;0.17;2;1
112;Lemm Romano;Kloten Flyers;Stürmer;4;0;1;1;0.25;4;0
113;Leone Robin;Kloten Flyers;Stürmer;4;0;1;1;0.25;0;-1
114;Liniger Michael;Kloten Flyers;Stürmer;4;0;1;1;0.25;0;-1
115;Lüthi Simon;EV Zug;Verteidiger;3;0;1;1;0.33;0;1
116;Mercier Jonathan;Genève-Servette HC;Verteidiger;9;0;1;1;0.11;8;1
