R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
1;Heins Shawn;Fribourg-Gottéron;Verteidiger;47;174;37;2;5;1;1
2;Lindström Sanny;SC Rapperswil-Jona Lakers;Stürmer;41;149;32;3;1;3;0
3;Helbling Timo;HC Lugano;Verteidiger;49;136;33;2;2;2;0
4;Roche Travis;SC Bern;Verteidiger;49;120;25;2;2;2;0
5;Westrum Erik;HC Ambri-Piotta;Stürmer;32;115;25;1;2;2;0
6;Hill Sean;EHC Biel;Verteidiger;47;112;36;0;2;1;0
7;Holden Josh;EV Zug;Stürmer;49;100;20;2;1;2;0
8;Ambühl Andres;HC Davos;Stürmer;50;98;34;0;3;0;0
9;Bezina Goran;Genève-Servette HC;Verteidiger;48;97;26;1;2;0;1
10;Santala Tommi;Kloten Flyers;Stürmer;50;96;43;0;1;0;0
11;Harrison Jay;EV Zug;Verteidiger;41;96;23;2;0;2;0
12;Gobbi John;Genève-Servette HC;Verteidiger;50;92;26;0;4;0;0
13;Fröhlicher Joel;EHC Biel;Verteidiger;48;91;28;1;1;0;1
14;Von Gunten Patrick;Kloten Flyers;Verteidiger;46;90;15;2;1;2;0
15;Forster Beat;HC Davos;Verteidiger;39;90;30;0;3;0;0
16;Abid Ramzi;SC Bern;Stürmer;33;87;26;1;1;1;0
17;Nordgren Niklas;SC Rapperswil-Jona Lakers;Stürmer;49;86;23;0;2;1;0
18;Jenni Marcel;Kloten Flyers;Stürmer;50;84;17;0;3;1;0
19;Thoresen Patrick;HC Lugano;Stürmer;48;83;19;1;2;1;0
20;Von Arx Reto;HC Davos;Stürmer;44;80;20;0;2;1;0
21;Seger Mathias;ZSC Lions;Verteidiger;45;80;35;0;1;0;0
22;Burkhalter Loic;SC Rapperswil-Jona Lakers;Stürmer;49;80;15;2;0;2;0
23;Berglund Christian;SC Rapperswil-Jona Lakers;Stürmer;49;80;30;0;2;0;0
24;Setzinger Oliver;SCL Tigers;Stürmer;46;79;17;1;2;1;0
25;Deruns Thomas;Genève-Servette HC;Stürmer;43;79;12;1;3;1;0
26;Lindemann Sven;Kloten Flyers;Stürmer;50;73;14;1;2;1;0
27;Fischer Patrick;EV Zug;Stürmer;50;70;35;0;0;0;0
28;Suchy Radoslav;ZSC Lions;Verteidiger;48;69;22;1;0;1;0
29;Aubin Serge;Genève-Servette HC;Stürmer;36;69;17;1;1;1;0
30;Blindenbacher Severin;ZSC Lions;Verteidiger;47;68;29;0;1;0;0
31;Schilt Sebastian;Genève-Servette HC;Verteidiger;50;67;16;1;1;1;0
32;Sannitz Raffaele;HC Lugano;Stürmer;43;64;22;0;2;0;0
33;Näser Andy;HC Lugano;Stürmer;46;64;22;0;2;0;0
34;Kolnik Juraj;Genève-Servette HC;Stürmer;49;64;22;0;2;0;0
35;Nodari Matteo;HC Lugano;Verteidiger;49;63;19;1;0;1;0
36;Ritchie Byron;Genève-Servette HC;Stürmer;45;62;16;0;3;0;0
37;Moggi Claudio;SCL Tigers;Stürmer;42;62;16;0;1;1;0
38;Hamr Radek;Kloten Flyers;Verteidiger;47;62;26;0;1;0;0
39;Winkler Benjamin;Kloten Flyers;Verteidiger;40;60;15;0;3;0;0
40;Joggi Mathias;SCL Tigers;Stürmer;50;60;30;0;0;0;0
41;Jeannin Sandy;Fribourg-Gottéron;Stürmer;50;60;20;0;2;0;0
42;Himelfarb Eric;EHC Biel;Stürmer;47;60;20;0;2;0;0
43;Rytz Philippe;SC Bern;Verteidiger;40;59;17;1;0;1;0
44;Snell Wesley;Fribourg-Gottéron;Verteidiger;50;58;29;0;0;0;0
45;Plüss Martin;SC Bern;Stürmer;38;58;24;0;1;0;0
46;Meunier Laurent;Fribourg-Gottéron;Stürmer;38;58;24;0;1;0;0
47;Gossweiler Manuel;EHC Biel;Verteidiger;50;58;29;0;0;0;0
48;Dupont Micki;EV Zug;Verteidiger;50;58;24;0;1;0;0
49;Neff Claudio;EHC Biel;Stürmer;16;57;6;1;2;1;0
50;Vauclair Julien;HC Lugano;Verteidiger;50;56;23;0;1;0;0
51;Sutter Fabian;SCL Tigers;Stürmer;50;56;23;0;1;0;0
52;Sprunger Julien;Fribourg-Gottéron;Stürmer;47;56;8;0;2;1;0
53;Guyaz Noel;SC Rapperswil-Jona Lakers;Verteidiger;48;56;18;0;2;0;0
54;Grossmann Robin;HC Davos;Verteidiger;50;56;28;0;0;0;0
55;Isbister Brad;EV Zug;Stürmer;24;55;10;1;1;1;0
56;Gamache Simon;SC Bern;Stürmer;48;55;15;1;0;1;0
57;Vigier Jean-Pierre;Genève-Servette HC;Stürmer;35;53;14;1;0;0;1
58;Zeiter Michel;SCL Tigers;Stürmer;41;52;26;0;0;0;0
59;Wirz Valentin;Fribourg-Gottéron;Stürmer;45;52;21;0;1;0;0
60;Sonnenberg Martin;HC Ambri-Piotta;Stürmer;25;52;16;0;2;0;0
61;Hänni Andreas;HC Lugano;Verteidiger;49;52;26;0;0;0;0
