R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
1;Spylo Ahren;EHC Biel;Stürmer;49;19;202;9.41;4.12
2;Dupont Micki;Kloten Flyers;Verteidiger;49;11;197;5.58;4.02
3;Rüthemann Ivo;SC Bern;Stürmer;48;15;167;8.98;3.48
4;Plüss Martin;SC Bern;Stürmer;47;22;163;13.50;3.47
5;Heins Shawn;Fribourg-Gottéron;Verteidiger;50;6;163;3.68;3.26
6;Metropolit Glen;EV Zug;Stürmer;47;15;156;9.62;3.32
7;Sykora Petr;HC Davos;Stürmer;43;35;150;23.33;3.49
8;Diaz Raphael;EV Zug;Verteidiger;45;12;146;8.22;3.24
9;Sprunger Julien;Fribourg-Gottéron;Stürmer;50;16;140;11.43;2.80
10;Domenichelli Hnat;HC Lugano;Stürmer;48;16;140;11.43;2.92
11;Murphy Cory;ZSC Lions;Verteidiger;49;10;139;7.19;2.84
12;Pelletier Pascal;SCL Tigers;Stürmer;47;17;138;12.32;2.94
13;Holden Josh;EV Zug;Stürmer;43;16;136;11.76;3.16
14;Casutt Corsin;EV Zug;Stürmer;50;18;133;13.53;2.66
15;Brunner Damien;EV Zug;Stürmer;40;19;132;14.39;3.30
16;Fata Rico;EHC Biel;Stürmer;47;13;131;9.92;2.79
17;Murphy Curtis;SCL Tigers;Verteidiger;47;5;130;3.85;2.77
18;Iggulden Mike;SCL Tigers;Stürmer;50;12;127;9.45;2.54
19;Bourque Chris;HC Lugano;Stürmer;39;14;127;11.02;3.26
20;Bell Mark;Kloten Flyers;Stürmer;41;16;127;12.60;3.10
21;Vauclair Julien;HC Lugano;Verteidiger;40;12;123;9.76;3.08
22;Reber Jörg;SCL Tigers;Verteidiger;50;13;123;10.57;2.46
23;Vigier Jean-Pierre;SC Bern;Stürmer;49;17;122;13.93;2.49
24;Wozniewski Andy;EV Zug;Verteidiger;50;10;121;8.26;2.42
25;Roest Stacy;SC Rapperswil-Jona Lakers;Stürmer;50;14;118;11.86;2.36
26;Genoway Colby;HC Lugano;Stürmer;41;12;117;10.26;2.85
27;Von Arx Reto;HC Davos;Stürmer;49;15;116;12.93;2.37
28;Pöck Thomas;SC Rapperswil-Jona Lakers;Verteidiger;47;8;116;6.90;2.47
29;Schnyder Fabian;EV Zug;Stürmer;50;14;114;12.28;2.28
30;Bezina Goran;Genève-Servette HC;Verteidiger;50;8;114;7.02;2.28
31;Lötscher Kevin;EHC Biel;Verteidiger;48;14;112;12.5;2.33
32;Bednar Jaroslav;HC Davos;Stürmer;45;21;112;18.75;2.49
33;Gardner Ryan;SC Bern;Stürmer;49;15;111;13.51;2.27
34;Hollenstein Denis;Kloten Flyers;Stürmer;45;13;109;11.93;2.42
35;Hirschi Steve;HC Lugano;Verteidiger;41;5;109;4.59;2.66
36;Du Bois Felicien;Kloten Flyers;Verteidiger;47;5;109;4.59;2.32
37;Pittis Domenico;ZSC Lions;Stürmer;50;15;108;13.89;2.16
38;Brooks Brendan;SCL Tigers;Stürmer;47;10;107;9.35;2.28
39;Plüss Benny;Fribourg-Gottéron;Stürmer;50;16;104;15.38;2.08
40;Duca Paolo;HC Ambri-Piotta;Stürmer;49;8;103;7.77;2.10
41;Ambühl Andres;ZSC Lions;Stürmer;50;11;103;10.68;2.06
42;McLean Brett;SC Bern;Stürmer;50;10;102;9.80;2.04
43;Steiner Daniel;SCL Tigers;Stürmer;37;14;101;13.86;2.73
44;Hennessy Josh;HC Lugano;Stürmer;36;9;101;8.91;2.81
45;Forster Beat;HC Davos;Verteidiger;47;5;100;5;2.13
46;Monnet Thibaut;ZSC Lions;Stürmer;47;13;99;13.13;2.11
47;Stancescu Victor;Kloten Flyers;Stürmer;41;10;97;10.31;2.37
48;Pothier Brian;Genève-Servette HC;Verteidiger;44;8;97;8.25;2.20
49;Rintanen Kimmo;Kloten Flyers;Stürmer;36;14;96;14.58;2.67
50;Park Richard;Genève-Servette HC;Stürmer;47;15;96;15.62;2.04
51;Gobbi John;Genève-Servette HC;Verteidiger;45;3;94;3.19;2.09
52;Kwiatkowski Joel;SC Bern;Verteidiger;35;9;93;9.68;2.66
53;Froidevaux Etienne;SC Bern;Stürmer;50;5;92;5.43;1.84
54;Christen Björn;EV Zug;Stürmer;44;17;92;18.48;2.09
55;Bieber Matthias;Kloten Flyers;Stürmer;46;19;92;20.65;2.00
56;Nordgren Niklas;SC Rapperswil-Jona Lakers;Stürmer;46;14;91;15.38;1.98
57;Moser Simon;SCL Tigers;Stürmer;46;11;91;12.09;1.98
