R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
1;Metropolit Glen;EV Zug;Stürmer;47;15;38;53;1.13;32;12
2;Roest Stacy;SC Rapperswil-Jona Lakers;Stürmer;50;14;39;53;1.06;18;-1
3;Holden Josh;EV Zug;Stürmer;43;16;36;52;1.21;54;17
4;Sykora Petr;HC Davos;Stürmer;43;35;15;50;1.16;18;23
5;Bednar Jaroslav;HC Davos;Stürmer;45;21;28;49;1.09;20;29
6;Dubé Christian;SC Bern;Stürmer;44;14;35;49;1.11;18;32
7;Von Arx Reto;HC Davos;Stürmer;49;15;33;48;0.98;54;23
8;Brunner Damien;EV Zug;Stürmer;40;19;27;46;1.15;34;18
9;Santala Tommi;Kloten Flyers;Stürmer;49;10;36;46;0.94;78;19
10;Domenichelli Hnat;HC Lugano;Stürmer;48;16;27;43;0.90;16;-2
11;Sprunger Julien;Fribourg-Gottéron;Stürmer;50;16;26;42;0.84;42;6
12;Pittis Domenico;ZSC Lions;Stürmer;50;15;27;42;0.84;68;2
13;Jeannin Sandy;Fribourg-Gottéron;Stürmer;47;13;29;42;0.89;24;-10
14;Dupont Micki;Kloten Flyers;Verteidiger;49;11;30;41;0.84;32;17
15;Roche Travis;SC Bern;Verteidiger;39;9;32;41;1.05;16;27
16;Iggulden Mike;SCL Tigers;Stürmer;50;12;28;40;0.80;14;-7
17;Nordgren Niklas;SC Rapperswil-Jona Lakers;Stürmer;46;14;25;39;0.85;44;-6
18;Diaz Raphael;EV Zug;Verteidiger;45;12;27;39;0.87;26;18
19;Plüss Martin;SC Bern;Stürmer;47;22;16;38;0.81;20;9
20;Spylo Ahren;EHC Biel;Stürmer;49;19;19;38;0.78;40;-17
21;Pelletier Pascal;SCL Tigers;Stürmer;47;17;21;38;0.81;95;-7
22;Rüthemann Ivo;SC Bern;Stürmer;48;15;22;37;0.77;8;4
23;Monnet Thibaut;ZSC Lions;Stürmer;47;13;23;36;0.77;38;-1
24;Toms Jeff;Genève-Servette HC;Stürmer;43;12;24;36;0.84;24;3
25;Gamache Simon;SC Bern;Stürmer;32;11;25;36;1.12;24;11
26;Gardner Ryan;SC Bern;Stürmer;49;15;20;35;0.71;34;12
27;Murphy Cory;ZSC Lions;Verteidiger;49;10;25;35;0.71;30;-1
28;Bieber Matthias;Kloten Flyers;Stürmer;46;19;15;34;0.74;18;20
29;Christen Björn;EV Zug;Stürmer;44;17;17;34;0.77;51;14
30;Park Richard;Genève-Servette HC;Stürmer;47;15;19;34;0.72;16;-2
31;Rintanen Kimmo;Kloten Flyers;Stürmer;36;14;20;34;0.94;8;12
32;Fata Rico;EHC Biel;Stürmer;47;13;21;34;0.72;16;-16
33;Vigier Jean-Pierre;SC Bern;Stürmer;49;17;16;33;0.67;60;17
34;Fritsche Dan;Genève-Servette HC;Stürmer;39;15;18;33;0.85;66;4
35;Bourque Chris;HC Lugano;Stürmer;39;14;19;33;0.85;24;-4
36;Pothier Brian;Genève-Servette HC;Verteidiger;44;8;25;33;0.75;26;4
37;Casutt Corsin;EV Zug;Stürmer;50;18;14;32;0.64;12;17
38;Liniger Michael;Kloten Flyers;Stürmer;46;10;22;32;0.70;46;12
39;Plüss Benny;Fribourg-Gottéron;Stürmer;50;16;15;31;0.62;18;1
40;Taticek Petr;HC Davos;Stürmer;38;14;17;31;0.82;60;16
41;Steiner Daniel;SCL Tigers;Stürmer;37;14;17;31;0.84;20;3
42;Suri Reto;SC Rapperswil-Jona Lakers;Stürmer;49;17;13;30;0.61;55;-6
43;Lötscher Kevin;EHC Biel;Verteidiger;48;14;16;30;0.62;22;-12
44;Reber Jörg;SCL Tigers;Verteidiger;50;13;17;30;0.60;52;2
45;Genoway Colby;HC Lugano;Stürmer;41;12;18;30;0.73;80;-2
46;Bezina Goran;Genève-Servette HC;Verteidiger;50;8;22;30;0.60;70;0
47;Bastl Mark;ZSC Lions;Stürmer;50;14;15;29;0.58;22;2
48;Hollenstein Denis;Kloten Flyers;Stürmer;45;13;16;29;0.64;92;8
49;Schnyder Fabian;EV Zug;Stürmer;50;14;14;28;0.56;12;19
50;Bykov Andrey;Fribourg-Gottéron;Stürmer;37;8;20;28;0.76;10;4
51;Von Gunten Patrick;Kloten Flyers;Verteidiger;49;6;22;28;0.57;34;22
52;Ambühl Andres;ZSC Lions;Stürmer;50;11;16;27;0.54;46;-11
53;Pestoni Inti;HC Ambri-Piotta;Stürmer;42;11;16;27;0.64;4;2
54;McLean Brett;SC Bern;Stürmer;50;10;17;27;0.54;22;9
55;Camenzind Andreas;SCL Tigers;Verteidiger;46;8;19;27;0.59;46;2
56;Heins Shawn;Fribourg-Gottéron;Verteidiger;50;6;21;27;0.54;121;-11
57;Du Bois Felicien;Kloten Flyers;Verteidiger;47;5;22;27;0.57;53;12
58;Neff Claudio;SC Rapperswil-Jona Lakers;Stürmer;40;4;23;27;0.68;38;2
59;Bodenmann Simon;Kloten Flyers;Stürmer;41;17;9;26;0.63;28;18
60;Bell Mark;Kloten Flyers;Stürmer;41;16;10;26;0.63;58;12
61;Ehrensperger Gianni;EHC Biel;Stürmer;41;10;16;26;0.63;14;1
62;Haas Lukas;SCL Tigers;Stürmer;46;9;17;26;0.57;18;-1
63;Reid Brandon;SC Rapperswil-Jona Lakers;Stürmer;44;8;18;26;0.59;8;-6
64;Di Pietro Paul;EV Zug;Stürmer;49;7;19;26;0.53;20;1
65;Nolan Owen;ZSC Lions;Stürmer;24;7;19;26;1.08;53;0
66;Kariya Martin;HC Ambri-Piotta;Stürmer;38;5;21;26;0.68;8;-8
67;Burkhalter Loic;SC Rapperswil-Jona Lakers;Stürmer;48;10;15;25;0.52;24;-8
