R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
1;Williams Jason;HC Ambri-Piotta;Stürmer;47;26;20;15;5;1;16;17;8;3;2;0
2;Brunner Damien;EV Zug;Stürmer;33;25;32;20;12;2;15;22;10;10;0;0
3;Gardner Ryan;SC Bern;Stürmer;50;25;17;4;13;1;13;8;12;9;0;0
4;Seguin Tyler;EHC Biel;Stürmer;29;25;15;9;6;3;15;8;9;7;1;0
5;Earl Robbie;SC Rapperswil-Jona Lakers;Stürmer;48;22;23;11;12;4;18;15;4;8;0;0
6;Bürgler Dario;HC Davos;Stürmer;49;22;19;11;8;2;18;10;3;9;1;0
7;Micflikier Jacob;EHC Biel;Stürmer;48;21;29;18;11;3;14;20;6;9;1;0
8;Metropolit Glen;HC Lugano;Stürmer;50;20;44;25;19;4;16;20;4;24;0;0
9;Sejna Peter;SC Rapperswil-Jona Lakers;Stürmer;47;20;14;10;4;1;14;8;5;6;1;0
10;Simek Juraj;Genève-Servette HC;Stürmer;50;20;10;5;5;5;18;8;2;2;0;0
11;Ritchie Byron;SC Bern;Stürmer;46;19;30;18;12;3;13;17;6;11;0;2
12;Pelletier Pascal;SCL Tigers;Stürmer;46;19;16;8;8;3;12;9;7;6;0;1
13;Sprunger Julien;Fribourg-Gottéron;Stürmer;32;19;14;8;6;3;12;11;7;3;0;0
14;Ambühl Andres;ZSC Lions;Stürmer;45;19;8;6;2;5;13;4;4;4;2;0
15;Monnet Thibaut;ZSC Lions;Stürmer;50;18;19;12;7;4;16;12;2;7;0;0
16;Holden Josh;EV Zug;Stürmer;50;18;18;9;9;5;10;8;8;10;0;0
17;Plüss Martin;SC Bern;Stürmer;50;18;16;12;4;3;12;13;5;3;1;0
18;Omark Linus;EV Zug;Stürmer;48;17;52;32;20;2;11;28;6;24;0;0
19;Tavares John;SC Bern;Stürmer;28;17;25;20;5;5;12;16;5;8;0;1
20;Martschini Lino;EV Zug;Stürmer;39;17;13;11;2;3;12;12;5;1;0;0
