R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
1;Holden Josh;EV Zug;Stürmer;46;30;33;26;7;6;19;19;10;11;1;3
2;Domenichelli Hnat;HC Lugano;Stürmer;50;27;35;21;14;6;12;21;13;14;2;0
3;Kolnik Juraj;Genève-Servette HC;Stürmer;46;26;23;12;11;7;20;13;5;8;1;2
4;Salmelainen Tony;Genève-Servette HC;Stürmer;50;25;28;17;11;2;17;17;2;10;6;1
5;Bärtschi Patrik;ZSC Lions;Stürmer;49;25;28;16;12;4;18;22;6;6;1;0
6;Rüthemann Ivo;SC Bern;Stürmer;50;24;18;9;9;7;18;13;5;5;1;0
7;Monnet Thibaut;ZSC Lions;Stürmer;49;24;15;7;8;4;15;14;9;1;0;0
8;Brunner Damien;EV Zug;Stürmer;47;23;35;22;13;5;16;19;7;16;0;0
9;Berglund Christian;SC Rapperswil-Jona Lakers;Stürmer;43;23;21;16;5;3;18;12;4;9;1;0
10;Hamilton Jeff;HC Lugano;Stürmer;46;22;24;11;13;2;15;11;7;13;0;0
11;McTavish Dale;EV Zug;Stürmer;43;22;19;12;7;5;12;14;9;5;1;0
12;Alston Jan;ZSC Lions;Stürmer;49;21;24;14;10;4;14;16;7;7;0;1
13;Guggisberg Peter;HC Davos;Stürmer;44;20;22;12;10;4;16;14;3;6;1;2
14;Aubin Serge;Fribourg-Gottéron;Stürmer;49;20;21;9;12;2;12;13;6;7;2;1
15;Brooks Brendan;SCL Tigers;Stürmer;50;20;14;9;5;4;9;9;11;5;0;0
16;Deruns Thomas;Genève-Servette HC;Stürmer;50;19;31;18;13;4;13;23;4;7;2;1
17;Bordeleau Sébastien;EHC Biel;Stürmer;47;19;21;13;8;2;9;9;8;11;2;1
18;Widing Daniel;HC Davos;Stürmer;45;19;15;10;5;4;12;11;6;4;1;0
19;Stancescu Victor;Kloten Flyers;Stürmer;48;19;7;4;3;0;15;5;4;2;0;0
20;Duca Paolo;HC Ambri-Piotta;Stürmer;50;18;21;15;6;1;11;15;7;6;0;0
21;Santala Tommi;Kloten Flyers;Stürmer;47;17;32;23;9;1;8;21;8;11;1;0
22;Sejna Peter;ZSC Lions;Stürmer;38;17;17;8;9;5;12;15;5;1;0;1
23;Bürgler Dario;HC Davos;Stürmer;50;17;16;14;2;1;12;3;5;13;0;0
24;Rubin Daniel;Genève-Servette HC;Stürmer;50;17;16;8;8;5;11;11;6;5;0;0
25;Robitaille Randy;HC Lugano;Stürmer;50;16;49;31;18;3;12;26;4;22;0;1
26;Gardner Ryan;ZSC Lions;Stürmer;49;16;26;19;7;2;11;19;4;7;1;0
27;Law Kirby;HC Ambri-Piotta;Stürmer;48;16;23;17;6;2;9;10;7;12;0;1
28;Setzinger Oliver;HC Davos;Stürmer;49;16;22;15;7;1;10;8;5;14;1;0
29;Trudel Jean-Guy;ZSC Lions;Stürmer;37;16;21;21;0;2;12;11;4;10;0;0
30;Taticek Petr;HC Davos;Stürmer;48;16;19;15;4;4;12;13;4;6;0;0
31;Roest Stacy;SC Rapperswil-Jona Lakers;Stürmer;49;15;37;24;13;4;10;19;5;17;0;1
32;Rintanen Kimmo;Kloten Flyers;Stürmer;48;15;31;15;16;5;13;15;2;16;0;0
33;Plüss Martin;SC Bern;Stürmer;45;15;27;13;14;3;11;19;4;7;0;1
34;Wick Roman;Kloten Flyers;Stürmer;37;15;16;10;6;1;9;12;3;3;3;1
35;Fata Rico;EHC Biel;Stürmer;41;15;16;7;9;0;6;10;7;6;2;0
36;Casutt Corsin;Fribourg-Gottéron;Stürmer;49;15;11;7;4;0;12;8;3;3;0;0
37;Christen Björn;EV Zug;Stürmer;49;14;20;12;8;0;7;17;7;3;0;0
38;Knoepfli Michael;Fribourg-Gottéron;Stürmer;49;14;8;5;3;4;8;4;6;4;0;0
39;Bieber Matthias;SCL Tigers;Stürmer;36;14;8;4;4;1;6;5;7;3;1;0
40;Mowers Mark;Fribourg-Gottéron;Stürmer;42;13;25;16;9;2;7;16;3;7;3;2
41;Vigier Jean-Pierre;SC Bern;Stürmer;49;13;25;14;11;4;12;17;1;8;0;0
42;McLean Brett;SC Bern;Stürmer;34;13;20;12;8;3;11;14;2;6;0;0
43;Forster Beat;HC Davos;Verteidiger;50;13;18;10;8;4;7;11;6;7;0;0
44;Vauclair Julien;HC Lugano;Verteidiger;35;13;15;8;7;2;8;7;5;7;0;1
45;Bell Mark;Kloten Flyers;Stürmer;39;13;14;8;6;3;8;10;5;4;0;0
