R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
1;Picard Alexandre;Genève-Servette HC;Stürmer;41;144;17;2;4;3;0
2;Helbling Timo;Fribourg-Gottéron;Verteidiger;46;116;23;2;2;2;0
3;Rivera Christopher;Genève-Servette HC;Stürmer;40;102;11;2;3;2;0
4;Schilt Sebastian;Fribourg-Gottéron;Verteidiger;45;92;16;2;1;2;0
5;Vandermeer James;Kloten Flyers;Verteidiger;49;86;13;2;1;2;0
6;Ritchie Byron;SC Bern;Stürmer;43;84;7;2;2;2;0
7;Holden Josh;EV Zug;Stürmer;39;81;18;1;2;0;1
8;Bezina Goran;Genève-Servette HC;Verteidiger;50;81;23;1;1;1;0
9;Maurer Marco;HC Lugano;Verteidiger;47;77;21;1;1;1;0
10;Ruefenacht Thomas;HC Lugano;Stürmer;37;76;13;0;3;1;0
11;Almond Cody;Genève-Servette HC;Stürmer;44;75;20;1;1;1;0
12;Danielsson Nicklas;SC Rapperswil-Jona Lakers;Stürmer;33;73;14;1;2;1;0
13;Walker Julian;HC Lugano;Stürmer;49;71;18;1;1;1;0
14;Stancescu Victor;Kloten Flyers;Stürmer;47;71;18;1;1;1;0
15;Simek Juraj;Genève-Servette HC;Stürmer;50;67;16;1;1;1;0
16;Seger Mathias;ZSC Lions;Verteidiger;45;66;18;0;1;1;0
17;Forster Beat;HC Davos;Verteidiger;48;66;18;0;3;0;0
18;Giroux Alexandre;HC Ambri-Piotta;Stürmer;46;64;17;0;1;1;0
19;Dupont Micki;Kloten Flyers;Verteidiger;48;64;17;0;1;1;0
20;Cunti Luca;ZSC Lions;Stürmer;46;60;15;0;1;1;0
21;Grossmann Robin;HC Davos;Verteidiger;43;59;12;1;1;1;0
22;Wick Roman;ZSC Lions;Stürmer;47;58;14;0;1;1;0
23;Ramholt Tim;EV Zug;Verteidiger;45;58;24;0;1;0;0
24;Kinrade Geoff;SC Bern;Verteidiger;48;57;11;1;1;1;0
25;Lombardi Matthew;Genève-Servette HC;Stürmer;46;54;12;2;0;0;1
26;Kwiatkowski Joel;Fribourg-Gottéron;Verteidiger;49;54;22;0;1;0;0
27;Gobbi John;Lausanne HC;Verteidiger;50;54;27;0;0;0;0
28;Chiesa Alessandro;EV Zug;Verteidiger;48;54;17;0;2;0;0
29;Hollenstein Denis;Genève-Servette HC;Stürmer;41;53;14;1;0;1;0
30;McLean Brett;HC Lugano;Stürmer;50;52;21;0;1;0;0
31;Walser Derrick;SC Rapperswil-Jona Lakers;Verteidiger;35;50;10;0;1;1;0
32;Nodari Matteo;SC Rapperswil-Jona Lakers;Verteidiger;49;50;20;0;1;0;0
33;Collenberg Franco;SC Bern;Verteidiger;32;50;15;0;2;0;0
34;Schnyder Fabian;EV Zug;Stürmer;50;49;12;1;0;1;0
35;Roche Travis;SC Bern;Verteidiger;38;49;7;1;1;1;0
36;Morant Johan;Lausanne HC;Verteidiger;24;46;8;0;3;0;0
37;Micflikier Jacob;HC Lugano;Stürmer;35;45;10;1;0;1;0
38;Santala Tommi;Kloten Flyers;Stürmer;39;44;22;0;0;0;0
39;Genoway Colby;Lausanne HC;Stürmer;42;44;17;0;1;0;0
40;Blindenbacher Severin;ZSC Lions;Verteidiger;50;44;22;0;0;0;0
41;Ambühl Andres;HC Davos;Stürmer;49;44;17;0;1;0;0
42;Von Arx Reto;HC Davos;Stürmer;41;42;16;0;1;0;0
43;Sannitz Raffaele;HC Lugano;Stürmer;45;42;21;0;0;0;0
44;Blaser Yannick;EV Zug;Verteidiger;26;42;16;0;1;0;0
45;Setzinger Oliver;Lausanne HC;Stürmer;50;40;15;0;1;0;0
46;Plüss Benny;Fribourg-Gottéron;Stürmer;49;40;10;0;2;0;0
47;Kenins Ronalds;ZSC Lions;Stürmer;39;40;15;0;1;0;0
48;Bergeron Marc-André;ZSC Lions;Verteidiger;46;40;15;0;1;0;0
49;Alatalo Santeri;EV Zug;Verteidiger;49;40;20;0;0;0;0
50;Bang Daniel;Lausanne HC;Stürmer;47;39;7;1;0;1;0
51;Steinmann Janick;Kloten Flyers;Stürmer;43;38;14;0;1;0;0
52;Pouliot Marc-Antoine;Fribourg-Gottéron;Stürmer;40;38;9;0;2;0;0
53;Hürlimann Stefan;SC Rapperswil-Jona Lakers;Stürmer;50;38;19;0;0;0;0
54;Vauclair Tristan;Fribourg-Gottéron;Stürmer;41;37;6;1;0;1;0
55;Schneeberger Noah;HC Davos;Verteidiger;48;36;13;0;1;0;0
56;Scherwey Tristan;SC Bern;Stürmer;49;36;18;0;0;0;0
57;Pestoni Inti;HC Ambri-Piotta;Stürmer;49;36;8;0;2;0;0
58;Koistinen Ville;HC Davos;Verteidiger;43;36;13;0;1;0;0
59;Berger Sven;SC Rapperswil-Jona Lakers;Verteidiger;50;36;13;0;1;0;0
60;Neukom Benjamin;SC Rapperswil-Jona Lakers;Stürmer;50;34;17;0;0;0;0
61;Liniger Michael;Kloten Flyers;Stürmer;48;34;17;0;0;0;0
62;Heikkinen Ilkka;HC Lugano;Verteidiger;41;34;12;0;1;0;0
63;Bertaggia Alessio;EV Zug;Stürmer;50;34;12;0;1;0;0
64;Von Gunten Patrick;Kloten Flyers;Verteidiger;46;32;11;0;1;0;0
65;Tschantré Mathieu;EHC Biel;Stürmer;45;32;6;0;0;1;0
66;Sprunger Julien;Fribourg-Gottéron;Stürmer;49;32;11;0;1;0;0
67;Ngoy Michael;Fribourg-Gottéron;Verteidiger;50;32;11;0;1;0;0
68;Mieville Alain;HC Ambri-Piotta;Stürmer;42;32;16;0;0;0;0
69;Lüthi Simon;EV Zug;Verteidiger;46;32;11;0;1;0;0
70;Jenni Marcel;Kloten Flyers;Stürmer;38;32;11;0;1;0;0
71;Du Bois Felicien;Kloten Flyers;Verteidiger;31;32;11;0;1;0;0
72;Bodenmann Simon;Kloten Flyers;Stürmer;38;32;11;0;1;0;0
73;Blum Eric-Ray;Kloten Flyers;Verteidiger;46;32;16;0;0;0;0
74;Reist Alain;Lausanne HC;Verteidiger;34;31;3;1;0;1;0
75;Wieser Dino;HC Davos;Stürmer;45;30;15;0;0;0;0
76;Trunz Adrian;HC Ambri-Piotta;Verteidiger;50;30;15;0;0;0;0
77;Spylo Ahren;EHC Biel;Stürmer;47;30;15;0;0;0;0
78;Rubin Daniel;SC Bern;Stürmer;43;30;10;0;1;0;0
79;Gossweiler Manuel;EHC Biel;Verteidiger;49;30;15;0;0;0;0
80;Fritsche John;Fribourg-Gottéron;Stürmer;43;29;2;1;0;1;0
81;Sutter Fabian;EV Zug;Stürmer;46;28;14;0;0;0;0
82;Suri Reto;EV Zug;Stürmer;48;28;14;0;0;0;0
83;Schelling Philippe;Kloten Flyers;Verteidiger;47;28;14;0;0;0;0
84;Noreau Maxim;HC Ambri-Piotta;Verteidiger;35;28;14;0;0;0;0
85;MacMurchy Ryan;EHC Biel;Stürmer;40;28;14;0;0;0;0
86;Leeger Larri;Lausanne HC;Verteidiger;44;28;14;0;0;0;0
87;Kamerzin Jérémie;Fribourg-Gottéron;Verteidiger;33;28;9;0;1;0;0
88;Hofmann Gregory;HC Davos;Stürmer;41;28;9;0;1;0;0
89;Burki Codey;Lausanne HC;Stürmer;30;28;9;0;1;0;0
90;Berger Alain;SC Bern;Stürmer;36;28;4;0;2;0;0
91;Bastl Mark;ZSC Lions;Stürmer;50;28;9;0;1;0;0
92;Wieser Marc;EHC Biel;Stürmer;47;26;13;0;0;0;0
93;Plüss Martin;SC Bern;Stürmer;45;26;13;0;0;0;0
94;Monnet Thibaut;Fribourg-Gottéron;Stürmer;49;26;13;0;0;0;0
95;Mercier Jonathan;Genève-Servette HC;Verteidiger;40;26;13;0;0;0;0
96;Krueger Justin;SC Bern;Verteidiger;48;26;13;0;0;0;0
97;Kamber Oliver;EHC Biel;Stürmer;50;26;13;0;0;0;0
98;Friedli Samuel;SC Rapperswil-Jona Lakers;Stürmer;46;26;8;0;1;0;0
99;Earl Robbie;EV Zug;Stürmer;46;26;13;0;0;0;0
100;Conz Florian;Lausanne HC;Stürmer;42;26;8;0;1;0;0
101;Camichel Duri;SC Rapperswil-Jona Lakers;Stürmer;38;26;13;0;0;0;0
102;Bell Brendan;EHC Biel;Verteidiger;42;26;8;0;1;0;0
103;Ulmer Stefan;HC Lugano;Verteidiger;47;24;12;0;0;0;0
104;Shannon Ryan;ZSC Lions;Stürmer;49;24;7;0;1;0;0
105;Petrell Lennart;Genève-Servette HC;Stürmer;50;24;12;0;0;0;0
106;Neuenschwander Caryl;Lausanne HC;Stürmer;49;24;12;0;0;0;0
107;Marti Christian;Genève-Servette HC;Verteidiger;50;24;12;0;0;0;0
108;Kienzle Lorenz;HC Lugano;Verteidiger;48;24;12;0;0;0;0
109;Kellenberger Steve;EHC Biel;Stürmer;50;24;12;0;0;0;0
110;Fischer Patrick;EV Zug;Verteidiger;42;24;12;0;0;0;0
111;Birbaum Alain;Fribourg-Gottéron;Verteidiger;47;24;12;0;0;0;0
112;Sidler Patrick;HC Ambri-Piotta;Verteidiger;43;22;11;0;0;0;0
113;Reuille Sebastien;HC Lugano;Stürmer;48;22;6;0;1;0;0
114;Park Richard;HC Ambri-Piotta;Stürmer;41;22;11;0;0;0;0
115;Loeffel Romain;Genève-Servette HC;Verteidiger;46;22;11;0;0;0;0
116;Lindemann Sven;EV Zug;Stürmer;43;22;6;0;1;0;0
