R;Team;GP;W;OTW;SOW;SOL;OTL;L;GF;GA;GDF;PTS
1;ZSC Lions;50;27;1;2;5;5;10;148;106;42;97
2;SC Bern;50;27;2;3;5;0;13;158;120;38;96
3;HC Lugano;50;24;2;6;2;3;13;155;127;28;93
4;EV Zug;50;24;2;5;4;2;13;166;126;40;92
5;HC Davos;50;23;3;3;5;1;15;164;132;32;87
6;Genève-Servette HC;50;19;3;3;6;3;16;154;154;0;78
7;Lausanne HC;50;19;1;4;4;2;20;105;116;-11;73
8;EHC Biel;50;15;4;3;2;5;21;142;164;-22;66
9;Fribourg-Gottéron;50;11;3;6;3;5;22;144;177;-33;59
10;Kloten Flyers;50;13;4;4;3;1;25;117;144;-27;59
11;HC Ambri-Piotta;50;11;4;5;4;2;24;124;167;-43;57
12;SC Rapperswil-Jona Lakers;50;7;3;4;5;3;28;121;165;-44;43
