R;Spieler;Team;Pos;GP;PS;PSG;PSM;PS%;GWG PS
1;Krueger Justin;SC Bern;Verteidiger;43;9;3;6;33.33;1
2;Nilsson Robert;ZSC Lions;Stürmer;48;7;0;7;0;0
3;Martschini Lino;EV Zug;Stürmer;50;7;3;4;42.86;1
4;Giroux Alexandre;HC Ambri-Piotta;Stürmer;48;7;2;5;28.57;1
5;Bouchard Pierre-Marc;EV Zug;Stürmer;49;7;2;5;28.57;1
6;Stapleton Tim;HC Lugano;Stürmer;43;6;3;3;50;1
7;Hischier Luca;SC Bern;Stürmer;42;6;2;4;33.33;1
8;Froidevaux Etienne;Lausanne HC;Stürmer;50;6;2;4;33.33;1
9;Sprunger Julien;Fribourg-Gottéron;Stürmer;43;5;1;4;20;1
10;Shannon Ryan;ZSC Lions;Stürmer;42;5;0;5;0;0
11;Salminen Sakari;Fribourg-Gottéron;Stürmer;43;5;2;3;40;1
12;Roy Derek;SC Bern;Stürmer;36;5;0;5;0;0
13;Pettersson Fredrik;HC Lugano;Stürmer;50;5;2;3;40;1
14;Mieville Alain;Lausanne HC;Stürmer;45;5;1;4;20;0
15;Louhivaara Ossi;Lausanne HC;Stürmer;43;5;1;4;20;0
16;Klasen Linus;HC Lugano;Stürmer;49;5;2;3;40;0
17;DiDomenico Christopher;SCL Tigers;Stürmer;46;5;1;4;20;1
18;D'Agostini Matt;Genève-Servette HC;Stürmer;46;5;1;4;20;1
19;Berger Pascal;SC Bern;Stürmer;45;5;1;4;20;0
20;Pestoni Inti;HC Ambri-Piotta;Stürmer;50;4;1;3;25;0
21;Pesonen Harri;Lausanne HC;Stürmer;50;4;1;3;25;0
22;Nüssli Thomas;SCL Tigers;Stürmer;44;4;3;1;75;1
23;Loeffel Romain;Genève-Servette HC;Verteidiger;50;4;2;2;50;0
24;Koistinen Ville;SCL Tigers;Verteidiger;46;4;2;2;50;0
25;Immonen Jarkko;EV Zug;Stürmer;49;4;1;3;25;0
26;Hall Adam;HC Ambri-Piotta;Stürmer;40;4;1;3;25;0
27;Fransson Johan;Genève-Servette HC;Verteidiger;39;4;0;4;0;0
28;Duca Paolo;HC Ambri-Piotta;Stürmer;41;4;1;3;25;0
29;Deruns Thomas;Lausanne HC;Stürmer;50;4;2;2;50;1
30;Bykov Andrey;Fribourg-Gottéron;Stürmer;43;4;0;4;0;0
31;Bürgler Dario;EV Zug;Stürmer;47;4;0;4;0;0
32;Brunner Damien;HC Lugano;Stürmer;36;4;3;1;75;2
33;Bodenmann Simon;SC Bern;Stürmer;44;4;1;3;25;0
34;Zangger Sandro;EV Zug;Stürmer;46;3;1;2;33.33;0
35;Wick Roman;ZSC Lions;Stürmer;38;3;1;2;33.33;0
36;Wick Jeremy;Genève-Servette HC;Stürmer;45;3;1;2;33.33;0
37;Steiner Daniel;EHC Biel;Stürmer;45;3;0;3;0;0
38;Spylo Ahren;EHC Biel;Stürmer;35;3;0;3;0;0
39;Simion Dario;HC Davos;Stürmer;36;3;2;1;66.67;0
40;Santala Tommi;Kloten Flyers;Stürmer;48;3;2;1;66.67;1
41;Ruefenacht Thomas;SC Bern;Stürmer;37;3;0;3;0;0
42;Rod Noah;Genève-Servette HC;Stürmer;44;3;1;2;33.33;1
43;Riat Damien;Genève-Servette HC;Stürmer;45;3;0;3;0;0
44;Olesz Rostislav;SCL Tigers;Stürmer;15;3;2;1;66.67;0
45;Olausson Niklas;EHC Biel;Stürmer;29;3;2;1;66.67;0
46;Mottet Killian;Fribourg-Gottéron;Stürmer;50;3;0;3;0;0
47;Matthews Auston;ZSC Lions;Stürmer;36;3;1;2;33.33;0
48;Martensson Tony;HC Lugano;Stürmer;42;3;2;1;66.67;0
49;Macenauer Maxime;EHC Biel;Stürmer;36;3;0;3;0;0
50;Lüthi Fabian;EHC Biel;Stürmer;43;3;2;1;66.67;0
51;Lindgren Perttu;HC Davos;Stürmer;50;3;1;2;33.33;1
52;Kamber Oliver;HC Ambri-Piotta;Stürmer;48;3;0;3;0;0
53;Hollenstein Denis;Kloten Flyers;Stürmer;43;3;3;0;100;1
54;Genazzi Joël;Lausanne HC;Verteidiger;49;3;2;1;66.67;2
55;Foucault Kris;ZSC Lions;Stürmer;16;3;2;1;66.67;0
56;Emmerton Cory;HC Ambri-Piotta;Stürmer;49;3;1;2;33.33;0
57;Ebbett Andrew;SC Bern;Stürmer;19;3;0;3;0;0
58;Du Bois Felicien;HC Davos;Verteidiger;31;3;0;3;0;0
59;Danielsson Nicklas;Lausanne HC;Stürmer;49;3;0;3;0;0
60;Conacher Cory;SC Bern;Stürmer;48;3;0;3;0;0
61;Clark Kevin;SCL Tigers;Stürmer;42;3;1;2;33.33;1
62;Bergeron Marc-André;ZSC Lions;Verteidiger;43;3;1;2;33.33;0
63;Aeschlimann Marc;HC Davos;Stürmer;49;3;1;2;33.33;0
64;Smith Trevor;SC Bern;Stürmer;17;2;1;1;50;0
65;Praplan Vincent;Kloten Flyers;Stürmer;50;2;0;2;0;0
66;Pouliot Marc-Antoine;Fribourg-Gottéron;Stürmer;26;2;1;1;50;0
67;Pedretti Marco;Genève-Servette HC;Stürmer;41;2;1;1;50;0
68;Moser Simon;SC Bern;Stürmer;50;2;0;2;0;0
69;Monnet Thibaut;HC Ambri-Piotta;Stürmer;48;2;0;2;0;0
70;Lammer Dominic;EV Zug;Stürmer;45;2;0;2;0;0
71;Künzle Mike;ZSC Lions;Stürmer;48;2;0;2;0;0
72;Joggi Mathias;EHC Biel;Stürmer;37;2;1;1;50;1
73;Herzog Fabrice;ZSC Lions;Stürmer;34;2;0;2;0;0
74;Hamill Zach;HC Ambri-Piotta;Stürmer;17;2;1;1;50;0
75;Gustafsson Anton;SCL Tigers;Stürmer;43;2;1;1;50;0
76;Geering Patrick;ZSC Lions;Verteidiger;50;2;0;2;0;0
77;Corvi Enzo;HC Davos;Stürmer;23;2;1;1;50;1
78;Bucher Tobias;SCL Tigers;Stürmer;48;2;1;1;50;0
79;Axelsson Dick;HC Davos;Stürmer;38;2;0;2;0;0
80;Arlbrandt Pär;EHC Biel;Stürmer;36;2;1;1;50;1
81;Wieser Marc;HC Davos;Stürmer;50;1;0;1;0;0
82;Walsky Eric;Lausanne HC;Stürmer;45;1;0;1;0;0
83;Walser Samuel;HC Davos;Stürmer;50;1;0;1;0;0
84;Suri Reto;EV Zug;Stürmer;48;1;0;1;0;0
85;Simek Juraj;Genève-Servette HC;Stürmer;31;1;0;1;0;0
86;Sheppard James;Kloten Flyers;Stürmer;37;1;0;1;0;0
87;Sciaroni Gregory;HC Davos;Stürmer;22;1;0;1;0;0
88;Romy Kevin;Genève-Servette HC;Stürmer;49;1;0;1;0;0
89;Rathgeb Yannick;Fribourg-Gottéron;Verteidiger;50;1;0;1;0;0
90;Pyatt Tom;Genève-Servette HC;Stürmer;42;1;1;0;100;0
91;Plüss Martin;SC Bern;Stürmer;50;1;0;1;0;0
92;Olimb Mathis;Kloten Flyers;Stürmer;16;1;1;0;100;1
93;Mercier Jonathan;Genève-Servette HC;Verteidiger;41;1;1;0;100;1
94;Malgin Denis;ZSC Lions;Stürmer;38;1;0;1;0;0
95;Lhotak Lukas;HC Ambri-Piotta;Stürmer;50;1;0;1;0;0
96;Lemm Romano;Kloten Flyers;Stürmer;46;1;0;1;0;0
97;Kousa Mikko;SC Bern;Verteidiger;11;1;0;1;0;0
98;Kolarik Chad;Kloten Flyers;Stürmer;36;1;1;0;100;0
99;Kessler Tino;HC Davos;Stürmer;18;1;0;1;0;0
100;Jörg Mauro;HC Davos;Stürmer;47;1;0;1;0;0
101;Jobin David;SC Bern;Verteidiger;36;1;0;1;0;0
102;Jacquemet Arnaud;Genève-Servette HC;Stürmer;43;1;0;1;0;0
103;Holden Josh;EV Zug;Stürmer;48;1;0;1;0;0
104;Hofmann Gregory;HC Lugano;Stürmer;46;1;0;1;0;0
105;Herren Yannick;Lausanne HC;Stürmer;24;1;0;1;0;0
106;Hecquefeuille Kevin;SCL Tigers;Verteidiger;31;1;0;1;0;0
107;Haas Gaëtan;EHC Biel;Stürmer;38;1;0;1;0;0
108;Grassi Daniele;HC Ambri-Piotta;Stürmer;50;1;0;1;0;0
109;Gardner Ryan;Fribourg-Gottéron;Stürmer;50;1;0;1;0;0
110;Forster Beat;HC Davos;Verteidiger;44;1;0;1;0;0
111;Fazzini Luca;HC Lugano;Stürmer;41;1;0;1;0;0
112;Bieber Matthias;Kloten Flyers;Stürmer;48;1;0;1;0;0
113;Berger Alain;SC Bern;Stürmer;49;1;0;1;0;0
114;Bergenheim Sean;SC Bern;Stürmer;21;1;0;1;0;0
115;Baltisberger Chris;ZSC Lions;Stürmer;20;1;0;1;0;0
116;Bachofner Jérôme;ZSC Lions;Stürmer;8;1;0;1;0;0
117;Ambühl Andres;HC Davos;Stürmer;50;1;1;0;100;1
118;Zryd Miro;SCL Tigers;Verteidiger;42;0;0;0;-;0
119;Zgraggen Jesse;HC Ambri-Piotta;Verteidiger;39;0;0;0;-;0
120;Wyss Silvan;SCL Tigers;Stürmer;40;0;0;0;-;0
121;Wollgast Nigel;HC Lugano;Verteidiger;2;0;0;0;-;0
122;Wilson Kyle;SCL Tigers;Stürmer;11;0;0;0;-;0
123;Wieser Tim;Kloten Flyers;Stürmer;1;0;0;0;-;0
124;Wieser Dino;HC Davos;Stürmer;43;0;0;0;-;0
125;Wetzel Philipp;EHC Biel;Stürmer;22;0;0;0;-;0
126;Wellinger Thomas;EHC Biel;Verteidiger;48;0;0;0;-;0
127;Weisskopf Dan;SCL Tigers;Verteidiger;43;0;0;0;-;0
128;Weber Serge;Kloten Flyers;Verteidiger;1;0;0;0;-;0
129;Walker Julian;HC Lugano;Stürmer;44;0;0;0;-;0
130;Vukovic Daniel;Genève-Servette HC;Verteidiger;40;0;0;0;-;0
131;Von Gunten Patrick;Kloten Flyers;Verteidiger;37;0;0;0;-;0
132;Volejnicek Dominik;EV Zug;Stürmer;1;0;0;0;-;0
133;Vauclair Tristan;Fribourg-Gottéron;Stürmer;43;0;0;0;-;0
134;Vauclair Julien;HC Lugano;Verteidiger;42;0;0;0;-;0
135;Untersander Ramon;SC Bern;Verteidiger;31;0;0;0;-;0
136;Ulmer Stefan;HC Lugano;Verteidiger;44;0;0;0;-;0
137;Ulmann Tim;ZSC Lions;Stürmer;5;0;0;0;-;0
138;Tschantré Mathieu;EHC Biel;Stürmer;50;0;0;0;-;0
139;Trutmann Dario;Lausanne HC;Verteidiger;45;0;0;0;-;0
140;Trunz Adrian;HC Ambri-Piotta;Verteidiger;49;0;0;0;-;0
141;Trisconi Noele;HC Ambri-Piotta;Stürmer;1;0;0;0;-;0
142;Trachsler Morris;ZSC Lions;Stürmer;37;0;0;0;-;0
143;Traber Tim;Genève-Servette HC;Stürmer;9;0;0;0;-;0
144;Thibaudeau Nicolas;EV Zug;Stürmer;21;0;0;0;-;0
145;Sutter Fabian;EHC Biel;Stürmer;39;0;0;0;-;0
146;Sutter Dave;EHC Biel;Verteidiger;50;0;0;0;-;0
147;Suter Pius;ZSC Lions;Stürmer;45;0;0;0;-;0
148;Studer Thomas;Kloten Flyers;Stürmer;9;0;0;0;-;0
149;Stucki Christian;HC Ambri-Piotta;Stürmer;17;0;0;0;-;0
150;Stoop Lukas;Kloten Flyers;Verteidiger;49;0;0;0;-;0
151;Stettler Martin;SCL Tigers;Verteidiger;21;0;0;0;-;0
152;Steinmann Janick;HC Lugano;Stürmer;14;0;0;0;-;0
153;Steiner Nicholas;EHC Biel;Verteidiger;33;0;0;0;-;0
154;Stancescu Victor;Kloten Flyers;Stürmer;2;0;0;0;-;0
155;Stalder Ralph;Lausanne HC;Verteidiger;50;0;0;0;-;0
156;Stadler Livio;EV Zug;Verteidiger;13;0;0;0;-;0
157;Sondell Daniel;EV Zug;Verteidiger;48;0;0;0;-;0
158;Slater Jim;Genève-Servette HC;Stürmer;32;0;0;0;-;0
159;Siegenthaler Jonas;ZSC Lions;Verteidiger;40;0;0;0;-;0
160;Sieber Lukas;EV Zug;Stürmer;17;0;0;0;-;0
161;Sidler Patrick;HC Ambri-Piotta;Verteidiger;24;0;0;0;-;0
162;Setoguchi Devin;HC Davos;Stürmer;30;0;0;0;-;0
163;Senteler Sven;EV Zug;Stürmer;49;0;0;0;-;0
164;Seger Mathias;ZSC Lions;Verteidiger;50;0;0;0;-;0
165;Schnyder Fabian;EV Zug;Stürmer;47;0;0;0;-;0
166;Schneeberger Noah;HC Davos;Verteidiger;41;0;0;0;-;0
167;Schmutz Silvio;HC Davos;Verteidiger;8;0;0;0;-;0
168;Schmutz Flavio;Fribourg-Gottéron;Stürmer;41;0;0;0;-;0
169;Schmuckli Florian;ZSC Lions;Verteidiger;4;0;0;0;-;0
