R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
1;Dupont Micki;EV Zug;Verteidiger;50;13;177;7.34;3.54
2;Nummelin Petteri;HC Lugano;Verteidiger;41;21;174;12.07;4.24
3;Thoresen Patrick;HC Lugano;Stürmer;48;22;170;12.94;3.54
4;Heins Shawn;Fribourg-Gottéron;Verteidiger;47;11;168;6.55;3.57
5;Sprunger Julien;Fribourg-Gottéron;Stürmer;47;25;164;15.24;3.49
6;Setzinger Oliver;SCL Tigers;Stürmer;46;10;152;6.58;3.30
7;Vauclair Julien;HC Lugano;Verteidiger;50;10;144;6.94;2.88
8;Forster Beat;HC Davos;Verteidiger;39;8;141;5.67;3.62
9;Berglund Christian;SC Rapperswil-Jona Lakers;Stürmer;49;22;141;15.60;2.88
10;Trudel Jean-Guy;ZSC Lions;Stürmer;42;16;138;11.59;3.29
11;Sykora Petr;HC Davos;Stürmer;49;23;137;16.79;2.80
12;Sejna Peter;ZSC Lions;Stürmer;41;16;135;11.85;3.29
13;Gardner Ryan;ZSC Lions;Stürmer;50;25;135;18.52;2.70
14;Duca Paolo;HC Ambri-Piotta;Stürmer;50;18;135;13.33;2.70
15;Domenichelli Hnat;HC Lugano;Stürmer;40;21;135;15.56;3.38
16;Nordgren Niklas;SC Rapperswil-Jona Lakers;Stürmer;49;25;134;18.66;2.73
17;Holden Josh;EV Zug;Stürmer;49;17;131;12.98;2.67
18;Murray Brady;HC Lugano;Stürmer;36;26;128;20.31;3.56
19;Roest Stacy;SC Rapperswil-Jona Lakers;Stürmer;50;17;127;13.39;2.54
20;Naumenko Nicholas;HC Ambri-Piotta;Verteidiger;40;10;127;7.87;3.18
21;Joggi Mathias;SCL Tigers;Stürmer;50;14;127;11.02;2.54
22;Ambühl Andres;HC Davos;Stürmer;50;17;127;13.39;2.54
23;Jenni Marcel;Kloten Flyers;Stürmer;50;17;125;13.6;2.50
24;Fata Rico;EHC Biel;Stürmer;45;18;125;14.4;2.78
25;Rintanen Kimmo;Kloten Flyers;Stürmer;50;23;124;18.55;2.48
26;Hamr Radek;Kloten Flyers;Verteidiger;47;9;122;7.38;2.60
27;Riesen Michel;HC Davos;Stürmer;50;24;119;20.17;2.38
28;Von Gunten Patrick;Kloten Flyers;Verteidiger;46;12;118;10.17;2.57
29;Nüssli Thomas;EHC Biel;Stürmer;48;19;118;16.10;2.46
30;Blindenbacher Severin;ZSC Lions;Verteidiger;47;13;118;11.02;2.51
31;Alston Jan;ZSC Lions;Stürmer;50;14;117;11.97;2.34
32;Monnet Thibaut;ZSC Lions;Stürmer;50;14;116;12.07;2.32
33;Steiner Daniel;SCL Tigers;Stürmer;50;24;115;20.87;2.30
34;Guggisberg Peter;HC Davos;Stürmer;48;20;114;17.54;2.38
35;Gamache Simon;SC Bern;Stürmer;48;19;113;16.81;2.35
36;Bezina Goran;Genève-Servette HC;Verteidiger;48;11;113;9.73;2.35
37;Fischer Patrick;EV Zug;Stürmer;50;19;110;17.27;2.20
38;Wick Roman;Kloten Flyers;Stürmer;45;24;108;22.22;2.40
39;Walker Julian;HC Ambri-Piotta;Stürmer;50;11;107;10.28;2.14
40;Westrum Erik;HC Ambri-Piotta;Stürmer;32;21;105;20;3.28
41;Santala Tommi;Kloten Flyers;Stürmer;50;13;104;12.5;2.08
42;Di Pietro Paul;EV Zug;Stürmer;50;11;104;10.58;2.08
43;Näser Andy;HC Lugano;Stürmer;46;10;103;9.71;2.24
44;Dubé Christian;SC Bern;Stürmer;46;15;103;14.56;2.24
45;Du Bois Felicien;Kloten Flyers;Verteidiger;45;2;103;1.94;2.29
46;Brunner Damien;EV Zug;Stürmer;47;12;103;11.65;2.19
47;Pittis Domenico;ZSC Lions;Stürmer;42;15;101;14.85;2.40
48;Knoepfli Michael;Fribourg-Gottéron;Stürmer;50;14;101;13.86;2.02
49;Seger Mathias;ZSC Lions;Verteidiger;45;4;100;4;2.22
50;Rüthemann Ivo;SC Bern;Stürmer;37;20;100;20;2.70
51;Plüss Martin;SC Bern;Stürmer;38;21;99;21.21;2.61
52;Wichser Adrian;ZSC Lions;Stürmer;44;7;98;7.14;2.23
53;Jeannin Sandy;Fribourg-Gottéron;Stürmer;50;15;97;15.46;1.94
54;Reichert Marc;SC Bern;Stürmer;50;11;96;11.46;1.92
55;Gobbi John;Genève-Servette HC;Verteidiger;50;4;96;4.17;1.92
56;Kolnik Juraj;Genève-Servette HC;Stürmer;49;25;95;26.32;1.94
57;Kariya Martin;SCL Tigers;Stürmer;50;15;94;15.96;1.88
58;Schnyder Fabian;EV Zug;Stürmer;50;10;93;10.75;1.86
59;Kutlak Zdenek;HC Ambri-Piotta;Verteidiger;47;7;93;7.53;1.98
60;Burkhalter Loic;SC Rapperswil-Jona Lakers;Stürmer;49;15;93;16.13;1.90
61;Von Arx Reto;HC Davos;Stürmer;44;15;90;16.67;2.05
62;Toms Jeff;SCL Tigers;Stürmer;23;16;89;17.98;3.87
63;Suchy Radoslav;ZSC Lions;Verteidiger;48;6;88;6.82;1.83
64;Camichel Duri;EV Zug;Stürmer;48;10;88;11.36;1.83
65;Peter Emanuel;EHC Biel;Stürmer;50;14;87;16.09;1.74
66;Casutt Corsin;EV Zug;Stürmer;50;14;86;16.28;1.72
67;Birbaum Alain;Fribourg-Gottéron;Verteidiger;50;0;86;0;1.72
68;Himelfarb Eric;EHC Biel;Stürmer;47;11;85;12.94;1.81
69;Roche Travis;SC Bern;Verteidiger;49;16;84;19.05;1.71
70;Paterlini Thierry;HC Lugano;Stürmer;45;16;84;19.05;1.87
71;Camichel Corsin;EV Zug;Stürmer;47;3;84;3.57;1.79
72;Reber Jörg;EHC Biel;Verteidiger;48;6;83;7.23;1.73
73;Jacquemet Arnaud;Kloten Flyers;Stürmer;50;4;82;4.88;1.64
74;Liniger Michael;Kloten Flyers;Stürmer;48;14;81;17.28;1.69
75;Hill Sean;EHC Biel;Verteidiger;47;3;81;3.70;1.72
76;Brown Curtis;Kloten Flyers;Stürmer;44;10;81;12.35;1.84
77;Bykov Andrey;Fribourg-Gottéron;Stürmer;45;10;80;12.5;1.78
78;Murphy Curtis;SCL Tigers;Verteidiger;27;3;79;3.80;2.93
