R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
1;Pettersson Fredrik;HC Lugano;Stürmer;49;33;36;69;1.41;36;5
2;Klasen Linus;HC Lugano;Stürmer;46;20;35;55;1.20;10;5
3;Bouchard Pierre-Marc;EV Zug;Stürmer;49;17;34;51;1.04;16;19
4;Martschini Lino;EV Zug;Stürmer;50;23;24;47;0.94;2;27
5;Danielsson Nicklas;SC Rapperswil-Jona Lakers;Stürmer;46;19;28;47;1.02;50;-11
6;Plüss Martin;SC Bern;Stürmer;50;23;22;45;0.90;18;7
7;Earl Robbie;EV Zug;Stürmer;48;19;26;45;0.94;34;17
8;Pouliot Marc-Antoine;Fribourg-Gottéron;Stürmer;49;19;24;43;0.88;66;5
9;Ritchie Byron;SC Bern;Stürmer;50;14;29;43;0.86;38;3
10;Wick Roman;ZSC Lions;Stürmer;49;16;25;41;0.84;36;16
11;Giroux Alexandre;HC Ambri-Piotta;Stürmer;49;27;13;40;0.82;28;-9
12;Sprunger Julien;Fribourg-Gottéron;Stürmer;50;14;26;40;0.80;18;-3
13;Arlbrandt Pär;EHC Biel;Stürmer;48;17;22;39;0.81;12;-5
14;Persson Niklas;SC Rapperswil-Jona Lakers;Stürmer;43;17;22;39;0.91;16;-9
15;Suri Reto;EV Zug;Stürmer;50;15;24;39;0.78;48;20
16;Johansson Mikael;SC Rapperswil-Jona Lakers;Stürmer;40;6;33;39;0.98;44;-7
17;D'Agostini Matt;Genève-Servette HC;Stürmer;40;14;23;37;0.92;30;11
18;Holloway Bud;SC Bern;Stürmer;42;13;24;37;0.88;24;7
19;Kamber Oliver;EHC Biel;Stürmer;50;9;28;37;0.74;10;-5
20;Gragnani Marc-André;SC Bern;Verteidiger;49;8;29;37;0.76;18;13
21;Sondell Daniel;EV Zug;Verteidiger;46;6;30;36;0.78;6;17
22;Mauldin Greg;Fribourg-Gottéron;Stürmer;40;18;17;35;0.88;8;7
23;Paulsson Marcus;HC Davos;Stürmer;41;14;21;35;0.85;20;15
24;Shannon Ryan;ZSC Lions;Stürmer;49;10;25;35;0.71;18;19
25;Lindgren Perttu;HC Davos;Stürmer;42;11;23;34;0.81;4;13
26;Romy Kevin;Genève-Servette HC;Stürmer;48;18;15;33;0.69;16;1
27;Wieser Marc;HC Davos;Stürmer;47;16;17;33;0.70;82;22
28;Axelsson Dick;HC Davos;Stürmer;45;14;19;33;0.73;30;13
29;Filppula Ilari;HC Lugano;Stürmer;37;12;21;33;0.89;10;2
30;Pyatt Tom;Genève-Servette HC;Stürmer;50;11;22;33;0.66;10;9
31;Hall Adam;HC Ambri-Piotta;Stürmer;50;14;18;32;0.64;34;-3
32;Walser Derrick;SC Rapperswil-Jona Lakers;Verteidiger;39;11;21;32;0.82;26;-5
33;Spylo Ahren;EHC Biel;Stürmer;45;20;11;31;0.69;58;-6
34;Holden Josh;EV Zug;Stürmer;34;15;16;31;0.91;68;19
35;Nilsson Robert;ZSC Lions;Stürmer;44;11;20;31;0.70;18;7
36;Olausson Niklas;EHC Biel;Stürmer;37;8;23;31;0.84;12;-7
37;Aucoin Keith;HC Ambri-Piotta;Stürmer;41;7;24;31;0.76;18;-13
38;Bertschy Christoph;SC Bern;Stürmer;44;14;16;30;0.68;26;14
39;Umicevic Dragan;EHC Biel;Stürmer;44;10;20;30;0.68;26;-13
40;McLean Brett;HC Lugano;Stürmer;47;9;21;30;0.64;14;2
41;Louhivaara Ossi;Lausanne HC;Stürmer;46;14;15;29;0.63;37;8
42;Ambühl Andres;HC Davos;Stürmer;49;13;16;29;0.59;28;14
43;Pesonen Harri;Lausanne HC;Stürmer;48;10;19;29;0.60;49;-1
44;Hollenstein Denis;Kloten Flyers;Stürmer;35;8;21;29;0.83;28;15
45;Loeffel Romain;Genève-Servette HC;Verteidiger;43;8;21;29;0.67;22;-6
46;Simion Dario;HC Davos;Stürmer;47;13;14;27;0.57;4;9
47;Baltisberger Chris;ZSC Lions;Stürmer;47;12;15;27;0.57;38;2
48;Rubin Daniel;Genève-Servette HC;Stürmer;46;11;16;27;0.59;22;-6
49;Grossmann Robin;EV Zug;Verteidiger;50;4;22;26;0.52;83;14
50;Pyatt Taylor;Genève-Servette HC;Stürmer;38;14;11;25;0.66;18;-3
51;Steiner Daniel;HC Ambri-Piotta;Stürmer;49;14;11;25;0.51;26;0
52;Bärtschi Patrik;ZSC Lions;Stürmer;45;13;12;25;0.56;16;10
53;Guggisberg Peter;Kloten Flyers;Stürmer;42;13;12;25;0.60;18;-6
54;Hofmann Gregory;HC Davos;Stürmer;47;11;14;25;0.53;18;11
55;Dubé Christian;Fribourg-Gottéron;Stürmer;46;10;15;25;0.54;43;-13
56;Blum Eric-Ray;SC Bern;Verteidiger;50;2;23;25;0.50;26;8
57;Bieber Matthias;Kloten Flyers;Stürmer;50;17;7;24;0.48;12;-10
58;Pestoni Inti;HC Ambri-Piotta;Stürmer;30;9;15;24;0.80;24;-6
59;Gardner Ryan;SC Bern;Stürmer;44;9;15;24;0.55;24;13
60;Santala Tommi;Kloten Flyers;Stürmer;39;9;15;24;0.62;42;-4
61;Trachsler Morris;ZSC Lions;Stürmer;50;8;16;24;0.48;28;11
62;Haas Gaëtan;EHC Biel;Stürmer;49;8;16;24;0.49;20;3
63;Froidevaux Etienne;Lausanne HC;Stürmer;50;13;10;23;0.46;22;-10
64;Künzle Mike;ZSC Lions;Stürmer;47;12;11;23;0.49;28;16
65;Hytönen Juha-Pekka;Lausanne HC;Stürmer;41;11;12;23;0.56;10;5
66;Cunti Luca;ZSC Lions;Stürmer;34;9;14;23;0.68;14;9
67;Dupont Micki;Kloten Flyers;Verteidiger;48;2;21;23;0.48;26;-13
68;Jörg Mauro;HC Davos;Stürmer;49;14;8;22;0.45;14;10
69;Mottet Killian;Fribourg-Gottéron;Stürmer;50;12;10;22;0.44;43;5
70;Mieville Alain;Lausanne HC;Stürmer;49;10;12;22;0.45;59;4
71;Corvi Enzo;HC Davos;Stürmer;40;9;13;22;0.55;14;7
72;Scherwey Tristan;SC Bern;Stürmer;45;7;15;22;0.49;68;18
73;Rossi Matthias;EHC Biel;Stürmer;49;10;11;21;0.43;6;-3
74;Schäppi Reto;ZSC Lions;Stürmer;50;9;12;21;0.42;20;14
75;Genazzi Joël;Lausanne HC;Verteidiger;50;2;19;21;0.42;8;-4
76;Picard Alexandre;Genève-Servette HC;Stürmer;30;10;10;20;0.67;22;0
77;Simek Juraj;HC Lugano;Stürmer;39;9;11;20;0.51;12;-7
78;Fritsche Dan;ZSC Lions;Stürmer;46;9;11;20;0.43;10;11
79;Kast Timothy;Genève-Servette HC;Stürmer;50;6;14;20;0.40;14;-7
80;Andersson Calle;HC Lugano;Verteidiger;48;6;14;20;0.42;22;-6
81;Fransson Johan;SC Rapperswil-Jona Lakers;Verteidiger;32;4;16;20;0.62;22;-22
82;Bergeron Marc-André;ZSC Lions;Verteidiger;46;4;16;20;0.43;38;3
83;Kienzle Lorenz;HC Lugano;Verteidiger;49;2;18;20;0.41;28;10
84;Plüss Benny;Fribourg-Gottéron;Stürmer;30;12;7;19;0.63;14;-1
85;Ramholt Tim;EV Zug;Verteidiger;50;9;10;19;0.38;48;24
86;Berger Alain;SC Bern;Stürmer;50;8;11;19;0.38;26;14
87;Murray Jordan;SC Rapperswil-Jona Lakers;Stürmer;40;7;12;19;0.48;20;-18
88;Wieser Dino;HC Davos;Stürmer;38;7;12;19;0.50;59;12
89;Kobasew Chuck;SC Bern;Stürmer;29;9;9;18;0.62;24;2
90;Keller Ryan;ZSC Lions;Stürmer;39;9;9;18;0.46;28;4
91;Sutter Fabian;EV Zug;Stürmer;50;9;9;18;0.36;14;11
