Team,Year,GF,PK SI,PK SI/GP,PK GA,PK GA/GP,PK%,PKT,PK time/GP,SHG,PK GF/GP,GF/GP,GA,GA/GP,GF even,GF even/GP,GA even,GA even/GP,PPG,PPG/GP,PP GA,PP GA/GP,SOWGF,SOWGA,2' ,5',10',GM,MP,PIM Total,PP OP,PP OP/GP,PP%,PPT,PP time/GP,Number of year
EHC Basel Sharks,0910,111,224,4.98,53,1.18,76.34,19961,443,2,0.04,2.47,180,4.00,79,1.76,117,2.60,33,0.73,8,0.18,1,2,261,0,12,0,0,642,198,4.40,16.67,18182,404,1
EHC Basel Sharks,1011,138,211,4.69,38,0.84,81.99,19849,441,6,0.13,3.07,136,3.02,98,2.18,91,2.02,33,0.73,3,0.07,1,4,241,3,2,2,2,597,197,4.38,16.75,18728,416,1
EHC Basel Sharks,1112,132,212,4.71,45,1.0,78.77,18770,417,9,0.2,2.93,142,3.16,96,2.13,88,1.96,27,0.6,5,0.11,0,4,226,1,4,0,1,517,183,4.07,14.75,16934,376,1
EHC Basel Sharks,1213,138,232,4.64,46,0.92,80.17,21341,426,8,0.16,2.76,168,3.36,93,1.86,117,2.34,35,0.7,4,0.08,2,1,256,2,10,1,1,662,189,3.78,18.52,18475,369,1
EHC Basel Sharks,1314,144,209,4.64,41,0.91,80.38,19490,433,8,0.18,3.2,162,3.6,93,2.07,112,2.49,40,0.89,7,0.16,3,2,236,3,12,2,1,667,185,4.11,21.62,17106,380,1
EHC Biel,0809,126,306,6.12,55,1.1,82.03,27694,553,3,0.06,2.52,213,4.26,94,1.88,145,2.9,29,0.58,13,0.26,0,0,321,2,8,4,0,812,261,5.22,11.11,25912,518,1
EHC Biel,0910,134,266,5.32,45,0.9,83.08,24336,486,7,0.14,2.68,182,3.64,80,1.6,129,2.58,44,0.88,5,0.1,3,3,303,2,12,1,1,776,259,5.18,16.99,23920,478,1
EHC Biel,1011,135,201,4.02,47,0.94,76.62,19409,388,3,0.06,2.7,173,3.46,89,1.78,116,2.32,39,0.78,6,0.12,4,4,226,4,8,4,0,632,201,4.02,19.4,19384,387,1
EHC Biel,1112,114,200,4.0,35,0.7,82.5,19787,395,1,0.02,2.28,128,2.56,80,1.6,88,1.76,30,0.6,4,0.08,3,1,216,6,2,5,1,602,198,3.96,15.15,19433,388,1
EHC Biel,1213,160,198,3.96,33,0.66,83.33,19053,381,7,0.14,3.2,161,3.22,112,2.24,118,2.36,37,0.74,7,0.14,4,3,239,1,8,1,0,583,231,4.62,16.02,21809,436,1
EHC Biel,1314,115,197,3.94,34,0.68,82.74,17888,357,5,0.1,2.3,154,3.08,74,1.48,110,2.2,30,0.6,8,0.16,6,2,214,0,2,1,0,468,197,3.94,15.23,18264,365,1
EHC Biel,1415,142,167,3.34,37,0.74,77.84,15684,313,3,0.06,2.84,164,3.28,101,2.02,122,2.44,35,0.7,3,0.06,3,2,189,2,5,3,0,498,188,3.76,18.62,18357,367,1
EHC Biel,1516,128,197,3.94,53,1.06,73.1,16987,339,3,0.06,2.56,175,3.5,79,1.58,115,2.3,44,0.88,5,0.1,2,2,203,4,3,4,0,536,200,4.0,22.0,18668,373,1
EHC Olten,0910,187,193,4.29,39,0.87,79.79,17701,393,5,0.11,4.16,129,2.87,140,3.11,82,1.82,50,1.11,6,0.13,1,2,234,0,5,0,0,518,247,5.49,20.24,23692,526,1
EHC Olten,1011,192,211,4.69,28,0.62,86.73,20858,463,11,0.24,4.27,147,3.27,121,2.69,109,2.42,58,1.29,8,0.18,2,2,242,0,9,0,0,574,236,5.24,24.58,20843,463,1
EHC Olten,1112,152,185,4.11,27,0.6,85.41,18120,402,5,0.11,3.38,146,3.24,99,2.2,108,2.4,44,0.98,10,0.22,4,1,214,1,9,1,0,543,234,5.2,18.8,23208,515,1
EHC Olten,1213,217,204,4.08,40,0.8,80.39,19263,385,1,0.02,4.34,144,2.88,157,3.14,93,1.86,57,1.14,9,0.18,2,2,254,1,8,2,0,633,264,5.28,21.59,23619,472,1
EHC Olten,1314,166,212,4.71,32,0.71,84.91,19887,441,10,0.22,3.69,120,2.67,113,2.51,84,1.87,40,0.89,2,0.04,3,2,253,4,9,4,1,716,221,4.91,18.1,18842,418,1
EHC Olten,1415,160,214,4.46,37,0.77,82.71,19952,415,9,0.19,3.33,156,3.25,112,2.33,110,2.29,38,0.79,9,0.19,1,0,239,3,1,2,1,563,204,4.25,18.63,19375,403,1
