R;Team;GP;GF;GF/GP;GA;GA/GP;GF even;GF even/GP;GA even;GA even/GP;PPG;PPG/GP;PP GA;PP GA/GP;SHG;PK GF/GP;PK GA;PK GA/GP;SOWGF;SOWGA
1;EV Zug;50;173;3.46;131;2.62;122;2.44;91;1.82;41;0.82;7;0.14;5;0.10;27;0.54;5;6
2;Kloten Flyers;50;158;3.16;117;2.34;111;2.22;78;1.56;38;0.76;2;0.04;8;0.16;35;0.70;1;2
3;Fribourg-Gottéron;50;156;3.12;120;2.40;115;2.30;84;1.68;35;0.70;5;0.10;3;0.06;28;0.56;3;3
4;HC Davos;50;155;3.10;117;2.34;112;2.24;78;1.56;29;0.58;1;0.02;11;0.22;35;0.70;3;3
5;SC Bern;50;153;3.06;130;2.60;110;2.20;99;1.98;36;0.72;4;0.08;2;0.04;24;0.48;5;3
6;HC Lugano;50;152;3.04;150;3.00;93;1.86;109;2.18;45;0.90;6;0.12;9;0.18;32;0.64;5;3
7;ZSC Lions;50;136;2.72;129;2.58;106;2.12;89;1.78;19;0.38;3;0.06;7;0.14;35;0.70;4;2
;Durchschnitt;50;136;2.72;136;2.72;95;1.90;95;1.90;32;0.64;5;0.10;5;0.10;32;0.64;3;3
8;SCL Tigers;50;124;2.48;166;3.32;89;1.78;111;2.22;29;0.58;7;0.14;4;0.08;46;0.92;2;2
9;Genève-Servette HC;50;117;2.34;126;2.52;80;1.60;89;1.78;27;0.54;7;0.14;6;0.12;22;0.44;4;8
10;EHC Biel;50;114;2.28;128;2.56;80;1.60;88;1.76;30;0.60;4;0.08;1;0.02;35;0.70;3;1
11;HC Ambri-Piotta;50;102;2.04;153;3.06;64;1.28;106;2.12;34;0.68;5;0.10;2;0.04;37;0.74;2;5
12;SC Rapperswil-Jona Lakers;50;99;1.98;172;3.44;68;1.36;128;2.56;28;0.56;9;0.18;2;0.04;35;0.70;1;0
