R;Team;GP;PK SI;PK SI/GP;PK GA;PK GA/GP;PK%;PKT;PK time/GP;SHG;PK GF/GP
1;ZSC Lions;50;187;3.74;27;0.54;85.56;304:27;06:05;3;0.06
2;HC Davos;50;206;4.12;30;0.60;85.44;326:36;06:31;7;0.14
3;SC Bern;50;184;3.68;27;0.54;85.33;316:50;06:20;3;0.06
4;SC Rapperswil-Jona Lakers;50;192;3.84;30;0.60;84.38;307:15;06:08;4;0.08
5;HC Lugano;50;182;3.64;29;0.58;84.07;301:54;06:02;2;0.04
6;Fribourg-Gottéron;50;195;3.90;32;0.64;83.59;317:22;06:20;3;0.06
7;Genève-Servette HC;50;178;3.56;30;0.60;83.15;291:57;05:50;9;0.18
;Durchschnitt;50;188;3.76;32;0.64;82.98;306:34;06:07;4;0.08
8;EV Zug;50;211;4.22;38;0.76;81.99;357:20;07:08;9;0.18
9;HC Ambri-Piotta;50;196;3.92;37;0.74;81.12;313:36;06:16;5;0.10
10;Lausanne HC;50;169;3.38;34;0.68;79.88;279:37;05:35;2;0.04
11;Kloten Flyers;50;199;3.98;44;0.88;77.89;300:35;06:00;4;0.08
12;EHC Biel;50;167;3.34;37;0.74;77.84;261:24;05:13;3;0.06
