R;Team;GP;PP OP;PP OP/GP;PPG;PPG/GP;PP%;PPT;PP time/GP;PP GA;PP GA/GP
1;SC Rapperswil-Jona Lakers;50;199;3.98;41;0.82;20.60;313:26;06:16;6;0.12
2;Genève-Servette HC;50;164;3.28;33;0.66;20.12;266:11;05:19;10;0.20
3;SC Bern;50;175;3.50;35;0.70;20;281:47;05:38;5;0.10
4;HC Lugano;50;236;4.72;45;0.90;19.07;367:12;07:20;4;0.08
5;EV Zug;50;196;3.92;37;0.74;18.88;312:06;06:14;3;0.06
6;EHC Biel;50;188;3.76;35;0.70;18.62;305:57;06:07;3;0.06
;Durchschnitt;50;188;3.76;32;0.64;17.02;306:34;06:07;4;0.08
7;HC Ambri-Piotta;50;178;3.56;28;0.56;15.73;299:12;05:59;2;0.04
8;Lausanne HC;50;185;3.70;29;0.58;15.68;307:37;06:09;6;0.12
9;ZSC Lions;50;180;3.60;28;0.56;15.56;290:49;05:48;1;0.02
10;Kloten Flyers;50;189;3.78;29;0.58;15.34;291:25;05:49;3;0.06
11;Fribourg-Gottéron;50;191;3.82;29;0.58;15.18;344:37;06:53;7;0.14
12;HC Davos;50;185;3.70;26;0.52;14.05;298:34;05:58;4;0.08
