R;Team;GP;GF;SOG;S%;SOG/GP
1;Fribourg-Gottéron;50;144;1'630;8.83;33
2;SC Rapperswil-Jona Lakers;50;121;1'577;7.67;32
3;Genève-Servette HC;50;154;1'572;9.80;31
4;EV Zug;50;166;1'569;10.58;31
5;EHC Biel;50;142;1'547;9.18;31
6;HC Davos;50;164;1'528;10.73;31
;Durchschnitt;50;141;1'516;9.30;30
7;ZSC Lions;50;148;1'503;9.85;30
8;Kloten Flyers;50;117;1'489;7.86;30
9;SC Bern;50;158;1'489;10.61;30
10;Lausanne HC;50;105;1'468;7.15;29
11;HC Lugano;50;155;1'446;10.72;29
12;HC Ambri-Piotta;50;124;1'378;9.00;28
