R;Team;GP;GF;GF/GP;GA;GA/GP;GF even;GF even/GP;GA even;GA even/GP;PPG;PPG/GP;PP GA;PP GA/GP;SHG;PK GF/GP;PK GA;PK GA/GP;SOWGF;SOWGA
1;Lausanne HC;45;186;4.13;115;2.56;130;2.89;79;1.76;46;1.02;5;0.11;6;0.13;25;0.56;4;1
2;EHC Visp;45;170;3.78;150;3.33;120;2.67;98;2.18;39;0.87;5;0.11;9;0.20;46;1.02;2;1
3;SC Langenthal;45;157;3.49;110;2.44;101;2.24;76;1.69;48;1.07;4;0.09;7;0.16;27;0.60;1;3
4;HC La Chaux-de-Fonds;45;155;3.44;127;2.82;93;2.07;82;1.82;49;1.09;7;0.16;11;0.24;34;0.76;2;4
5;EHC Olten;45;152;3.38;146;3.24;99;2.20;108;2.40;44;0.98;10;0.22;5;0.11;27;0.60;4;1
;Durchschnitt;45;142;3.16;142;3.16;94;2.09;94;2.09;38;0.84;7;0.16;7;0.16;38;0.84;2;2
6;EHC Basel Sharks;45;132;2.93;142;3.16;96;2.13;88;1.96;27;0.60;5;0.11;9;0.20;45;1.00;0;4
7;GCK Lions;45;122;2.71;134;2.98;89;1.98;91;2.02;28;0.62;4;0.09;5;0.11;38;0.84;0;1
8;HC Ajoie;45;119;2.64;154;3.42;73;1.62;102;2.27;43;0.96;8;0.18;1;0.02;42;0.93;2;2
9;Hockey Thurgau;45;118;2.62;170;3.78;77;1.71;106;2.36;25;0.56;11;0.24;9;0.20;51;1.13;2;2
10;HC Sierre;45;114;2.53;177;3.93;67;1.49;115;2.56;35;0.78;11;0.24;8;0.18;49;1.09;4;2
