R;Team;GP;PK SI;PK SI/GP;PK GA;PK GA/GP;PK%;PKT;PK time/GP;SHG;PK GF/GP
1;EHC Olten;45;184;4.09;25;0.56;86.41;308:50;06:51;8;0.18
2;SC Langenthal;45;203;4.51;30;0.67;85.22;323:35;07:11;4;0.09
3;HC Ajoie;45;156;3.47;24;0.53;84.62;250:00;05:33;9;0.20
4;SC Rapperswil-Jona Lakers;45;164;3.64;26;0.58;84.15;273:25;06:04;5;0.11
5;EHC Winterthur;45;189;4.20;30;0.67;84.13;299:31;06:39;2;0.04
6;HC Red Ice;45;170;3.78;29;0.64;82.94;278:20;06:11;0;0.00
;Durchschnitt;45;179;3.98;33;0.73;81.56;286:16;06:21;4;0.09
7;EHC Visp;45;187;4.16;35;0.78;81.28;301:24;06:41;8;0.18
8;HC La Chaux-de-Fonds;45;187;4.16;39;0.87;79.14;286:53;06:22;6;0.13
9;GCK Lions;45;154;3.42;42;0.93;72.73;234:20;05:12;1;0.02
10;Hockey Thurgau;45;198;4.40;54;1.20;72.73;306:29;06:48;6;0.13
