R;Team;GP;PP OP;PP OP/GP;PPG;PPG/GP;PP%;PPT;PP time/GP;PP GA;PP GA/GP
1;EHC Olten;45;236;5.24;58;1.29;24.58;347:23;07:43;8;0.18
2;EHC Visp;45;198;4.40;44;0.98;22.22;315:38;07:00;9;0.20
3;HC Ajoie;45;246;5.47;53;1.18;21.54;420:32;09:20;9;0.20
4;HC Sierre;45;270;6.00;56;1.24;20.74;401:35;08:55;9;0.20
5;HC La Chaux-de-Fonds;45;226;5.02;45;1.00;19.91;347:37;07:43;11;0.24
6;SC Langenthal;45;215;4.78;41;0.91;19.07;342:00;07:36;5;0.11
;Durchschnitt;45;218;4.84;41;0.91;18.81;344:39;07:39;8;0.18
7;Lausanne HC;45;190;4.22;32;0.71;16.84;298:57;06:38;8;0.18
8;EHC Basel Sharks;45;197;4.38;33;0.73;16.75;312:08;06:56;3;0.07
9;Hockey Thurgau;45;191;4.24;27;0.60;14.14;322:03;07:09;10;0.22
10;GCK Lions;45;213;4.73;29;0.64;13.62;338:44;07:31;8;0.18
