Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Di;09.03.2010;19:45;SC Bern;HC Lugano; 5:2; 3:1|1:0|1:1;;;False;PostFinance Arena;16011
Di;09.03.2010;19:45;Genève-Servette HC;Fribourg-Gottéron; 2:4; 0:1|0:0|2:3;;;False;Les Vernets Genève;6765
Di;09.03.2010;19:45;EV Zug;ZSC Lions; 1:2; 0:0|1:1|0:1;;;False;Zug;4717
Di;09.03.2010;19:45;HC Davos;Kloten Flyers; 4:3; 2:1|1:0|0:2|1:0;SO;;False;Vaillant Arena Davos;3766
Do;11.03.2010;19:45;HC Lugano;SC Bern; 6:7; 1:3|4:1|1:3;;;False;Lugano;4827
Do;11.03.2010;19:45;Fribourg-Gottéron;Genève-Servette HC; 1:5; 1:2|0:1|0:2;;;False;Fribourg St-Léonard;7000
Do;11.03.2010;19:45;ZSC Lions;EV Zug; 4:7; 1:2|3:2|0:3;;;False;Hallenstadion Zürich;7817
Do;11.03.2010;19:45;Kloten Flyers;HC Davos; 7:4; 0:0|3:3|4:1;;;False;Kolping Arena Kloten;6626
Sa;13.03.2010;19:45;SC Bern;HC Lugano; 7:0; 1:0|2:0|4:0;;;False;PostFinance Arena;17131
Sa;13.03.2010;19:45;EV Zug;ZSC Lions; 6:3; 0:0|3:1|3:2;;;False;Zug;6380
Sa;13.03.2010;19:45;HC Davos;Kloten Flyers; 3:2; 3:1|0:1|0:0;;;False;Vaillant Arena Davos;6658
Sa;13.03.2010;20:15;Genève-Servette HC;Fribourg-Gottéron; 3:4; 2:1|1:1|0:1|0:1;OT;;False;Les Vernets Genève;7202
Di;16.03.2010;19:45;Fribourg-Gottéron;Genève-Servette HC; 6:1; 1:1|1:0|4:0;;;False;Fribourg St-Léonard;7000
Di;16.03.2010;19:45;ZSC Lions;EV Zug; 2:4; 0:0|1:3|1:1;;;False;Hallenstadion Zürich;9063
Di;16.03.2010;19:45;Kloten Flyers;HC Davos; 2:1; 0:1|2:0|0:0;;;False;Kolping Arena Kloten;7624
Di;16.03.2010;20:15;HC Lugano;SC Bern; 1:3; 0:1|1:1|0:1;;;False;Lugano;3868
Do;18.03.2010;19:45;Genève-Servette HC;Fribourg-Gottéron; 4:3; 2:1|1:0|0:2|1:0;OT;;False;Les Vernets Genève;7202
Do;18.03.2010;19:45;HC Davos;Kloten Flyers; 1:3; 1:1|0:0|0:2;;;False;Vaillant Arena Davos;4937
Do;18.03.2010;20:15;EV Zug;ZSC Lions; 1:6; 0:2|1:2|0:2;;;False;Zug;6380
Sa;20.03.2010;19:45;ZSC Lions;EV Zug; 6:2; 2:2|1:0|3:0;;;False;2Hallenstadion Zürich;9963
Sa;20.03.2010;19:45;Kloten Flyers;HC Davos; 4:3; 2:0|0:1|2:2;;;False;Kolping Arena Kloten;7624
Sa;20.03.2010;20:15;Fribourg-Gottéron;Genève-Servette HC; 2:3; 1:0|0:2|1:1;;;False;Fribourg St-Léonard;7000
Di;23.03.2010;19:45;Genève-Servette HC;Fribourg-Gottéron; 5:2; 0:0|3:1|2:1;;;False;Les Vernets Genève;7202
Di;23.03.2010;20:15;EV Zug;ZSC Lions; 2:1; 1:0|1:0|0:1;;;False;Zug;6380
