Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Do;17.03.2016;19:45;HC Davos;SC Bern; 4:5; 0:1|1:3|3:0|0:1;OT;;False;Vaillant Arena, Davos;5425
Do;17.03.2016;20:15;Genève-Servette HC;HC Lugano; 0:5; 0:2|0:1|0:2;;;False;Les Vernets, Genève;6662
Sa;19.03.2016;19:45;HC Lugano;Genève-Servette HC; 1:2; 1:0|0:1|0:0|0:1;OT;;False;Pista Resega, Porza;7405
Sa;19.03.2016;20:15;SC Bern;HC Davos; 2:1; 1:0|1:0|0:1;;;False;PostFinance-Arena, Bern;17031
Di;22.03.2016;19:45;Genève-Servette HC;HC Lugano; 3:4; 0:0|2:2|1:1|0:1;OT;;False;Les Vernets, Genève;7135
Di;22.03.2016;20:15;HC Davos;SC Bern; 7:1; 4:1|1:0|2:0;;;False;Vaillant Arena, Davos;5796
Do;24.03.2016;19:45;SC Bern;HC Davos; 3:2; 2:1|0:1|0:0|1:0;OT;;False;PostFinance-Arena, Bern;17031
Do;24.03.2016;20:15;HC Lugano;Genève-Servette HC; 1:6; 0:3|1:1|0:2;;;False;Pista Resega, Porza;7524
Sa;26.03.2016;19:45;Genève-Servette HC;HC Lugano; 2:3; 0:0|0:1|2:1|0:1;OT;;False;Les Vernets, Genève;7135
Sa;26.03.2016;20:15;HC Davos;SC Bern; 3:4; 2:3|0:1|1:0;;;False;Vaillant Arena, Davos;6800
Mo;28.03.2016;16:30;HC Lugano;Genève-Servette HC; 4:3; 1:0|1:2|1:1|1:0;OT;;False;Pista Resega, Porza;7628
