Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Di;09.03.2010;20:00;EHC Visp;HC Sierre; 7:3; 2:0|3:2|2:1;;;False;Litternahalle Visp;3561
Di;09.03.2010;20:00;EHC Olten;Lausanne HC; 5:2; 1:0|1:2|3:0;;;False;Kleinholz Olten;2852
Fr;12.03.2010;20:00;HC Sierre;EHC Visp; 1:2; 0:1|0:1|1:0;;;False;Graben Sierre;4075
Fr;12.03.2010;20:00;Lausanne HC;EHC Olten; 3:2; 0:0|2:1|1:1;;;False;Lausanne Malley;5223
So;14.03.2010;17:45;EHC Visp;HC Sierre; 5:2; 0:2|3:0|2:0;;;False;Litternahalle Visp;4300
So;14.03.2010;18:15;EHC Olten;Lausanne HC; 3:5; 1:1|2:2|0:2;;;False;Kleinholz Olten;4047
Di;16.03.2010;20:00;HC Sierre;EHC Visp; 3:2; 0:1|0:0|2:1|1:0;OT;;False;Graben Sierre;3770
Di;16.03.2010;20:00;Lausanne HC;EHC Olten; 2:1; 1:0|1:1|0:0;;;False;Lausanne Malley;5140
Fr;19.03.2010;17:45;EHC Visp;HC Sierre; 3:4; 1:0|2:1|0:2|0:1;OT;;False;Litternahalle Visp;4300
Fr;19.03.2010;20:00;EHC Olten;Lausanne HC; 3:4; 0:0|2:2|1:1|0:1;SO;;False;Kleinholz Olten;3833
So;21.03.2010;18:15;HC Sierre;EHC Visp; 2:4; 2:0|0:2|0:2;;;False;Graben Sierre;4383
