Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Fr;11.02.2011;20:00;HC La Chaux-de-Fonds;HC Sierre; 4:0; 1:0|1:0|2:0;;;False;Chaux-de-Fds;3804
Fr;11.02.2011;20:00;EHC Olten;EHC Basel Sharks; 4:3; 0:1|3:1|0:1|1:0;OT;;False;Kleinholz Olten;3540
Fr;11.02.2011;20:00;Lausanne HC;HC Ajoie; 0:1; 0:0|0:0|0:0|0:1;OT;;False;Lausanne Malley;5765
Fr;11.02.2011;20:00;SC Langenthal;EHC Visp; 2:4; 1:3|1:1|0:0;;;False;Schoren Langenthal;2470
So;13.02.2011;16:00;EHC Basel Sharks;EHC Olten; 3:4; 2:1|0:2|1:1;;;False;Basel St. Jakobarena;2381
So;13.02.2011;17:30;HC Ajoie;Lausanne HC; 1:3; 1:0|0:1|0:2;;;False;Porrentruy;3523
So;13.02.2011;17:45;EHC Visp;SC Langenthal; 4:3; 1:1|3:0|0:2;;;False;Litternahalle Visp;3872
So;13.02.2011;18:00;HC Sierre;HC La Chaux-de-Fonds; 4:5; 1:2|2:1|1:2;;;False;Graben Sierre;3072
Di;15.02.2011;20:00;HC La Chaux-de-Fonds;HC Sierre; 6:4; 1:1|3:2|2:1;;;False;Chaux-de-Fds;3226
Di;15.02.2011;20:00;EHC Olten;EHC Basel Sharks; 5:4; 2:0|1:1|1:3|1:0;OT;;False;Kleinholz Olten;3975
Di;15.02.2011;20:00;Lausanne HC;HC Ajoie; 1:2; 0:0|0:1|1:1;;;False;Lausanne Malley;6165
Di;15.02.2011;20:00;SC Langenthal;EHC Visp; 5:2; 1:1|2:0|2:1;;;False;Schoren Langenthal;2203
Fr;18.02.2011;20:00;HC Sierre;HC La Chaux-de-Fonds; 4:5; 1:2|1:3|2:0;;;False;Graben Sierre;2411
Fr;18.02.2011;20:00;EHC Basel Sharks;EHC Olten; 3:4; 1:1|0:2|2:1;;;False;Basel St. Jakobarena;2288
Fr;18.02.2011;20:00;HC Ajoie;Lausanne HC; 0:2; 0:1|0:0|0:1;;;False;Porrentruy;3702
Fr;18.02.2011;20:00;EHC Visp;SC Langenthal; 4:3; 1:1|2:1|1:1;;;False;Litternahalle Visp;3721
So;20.02.2011;17:30;SC Langenthal;EHC Visp; 10:4; 2:1|5:0|3:3;;;False;Schoren Langenthal;3027
So;20.02.2011;18:15;Lausanne HC;HC Ajoie; 2:5; 1:4|0:1|1:0;;;False;Lausanne Malley;7155
Di;22.02.2011;20:00;HC Ajoie;Lausanne HC; 0:3; 0:2|0:0|0:1;;;False;Porrentruy;3568
Di;22.02.2011;20:00;EHC Visp;SC Langenthal; 6:1; 4:0|1:0|1:1;;;False;Litternahalle Visp;3802
Fr;25.02.2011;20:00;Lausanne HC;HC Ajoie; 6:2; 3:1|1:1|2:0;;;False;Lausanne Malley;8491
