Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Sa;26.02.2011;19:45;HC Davos;Fribourg-Gottéron; 4:1; 1:0|2:1|1:0;;;False;Vaillant Arena Davos;5229
Sa;26.02.2011;19:45;Kloten Flyers;ZSC Lions; 2:1; 1:0|0:1|1:0;;;False;Kolping Arena Kloten;7130
Sa;26.02.2011;19:45;SC Bern;SCL Tigers; 3:1; 0:0|1:0|2:1;;;False;PostFinance Arena;17131
Sa;26.02.2011;19:45;EV Zug;Genève-Servette HC; 5:8; 1:1|1:4|3:3;;;False;Bossard Arena Zug;6096
Di;01.03.2011;19:45;Fribourg-Gottéron;HC Davos; 2:4; 0:1|1:1|1:2;;;False;BCF Arena;6500
Di;01.03.2011;19:45;ZSC Lions;Kloten Flyers; 5:3; 3:1|0:0|2:2;;;False;Hallenstadion Zürich;9399
Di;01.03.2011;19:45;SCL Tigers;SC Bern; 2:4; 0:1|2:1|0:2;;;False;Ilfishalle Langnau;6550
Di;01.03.2011;19:45;Genève-Servette HC;EV Zug; 2:6; 1:2|1:3|0:1;;;False;Les Vernets Genève;7382
Do;03.03.2011;19:45;Kloten Flyers;ZSC Lions; 4:3; 0:1|2:1|1:1|1:0;OT;;False;Kolping Arena Kloten;7624
Do;03.03.2011;19:45;SC Bern;SCL Tigers; 5:0; 2:0|0:0|3:0;;;False;PostFinance Arena;17131
Do;03.03.2011;19:45;EV Zug;Genève-Servette HC; 3:1; 1:0|1:0|1:1;;;False;Bossard Arena Zug;6128
Do;03.03.2011;20:15;HC Davos;Fribourg-Gottéron; 7:0; 2:0|3:0|2:0;;;False;Vaillant Arena Davos;5297
Sa;05.03.2011;19:45;Fribourg-Gottéron;HC Davos; 2:7; 1:2|1:2|0:3;;;False;BCF Arena;6900
Sa;05.03.2011;19:45;ZSC Lions;Kloten Flyers; 1:2; 1:0|0:0|0:2;;;False;Hallenstadion Zürich;10700
Sa;05.03.2011;19:45;Genève-Servette HC;EV Zug; 3:2; 0:0|2:1|0:1|1:0;OT;;False;Les Vernets Genève;7382
Sa;05.03.2011;20:15;SCL Tigers;SC Bern; 2:3; 1:1|1:0|0:1|0:1;OT;;False;Ilfishalle Langnau;6550
Di;08.03.2011;19:45;EV Zug;Genève-Servette HC; 4:3; 1:1|2:1|0:1|1:0;SO;;False;Bossard Arena Zug;6315
Di;08.03.2011;20:15;Kloten Flyers;ZSC Lions; 3:2; 2:0|0:1|0:1|1:0;OT;;False;Kolping Arena Kloten;7624
Do;10.03.2011;20:15;Genève-Servette HC;EV Zug; 4:5; 0:3|2:1|2:0|0:1;OT;;False;Les Vernets Genève;7382
