Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Di;15.03.2011;19:45;HC Davos;EV Zug; 3:1; 0:0|1:1|2:0;;;False;Vaillant Arena Davos;4785
Di;15.03.2011;19:45;Kloten Flyers;SC Bern; 4:1; 1:0|1:1|2:0;;;False;Kolping Arena Kloten;6878
Do;17.03.2011;19:45;EV Zug;HC Davos; 2:5; 2:1|0:1|0:3;;;False;Bossard Arena Zug;7015
Do;17.03.2011;19:45;SC Bern;Kloten Flyers; 2:3; 0:1|2:0|0:1|0:1;OT;;False;PostFinance Arena;16131
Sa;19.03.2011;19:45;Kloten Flyers;SC Bern; 4:3; 1:1|1:1|2:1;;;False;Kolping Arena Kloten;7624
Sa;19.03.2011;20:15;HC Davos;EV Zug; 6:1; 1:1|2:0|3:0;;;False;Vaillant Arena Davos;7006
Di;22.03.2011;19:45;EV Zug;HC Davos; 1:6; 0:3|1:3|0:0;;;False;Bossard Arena Zug;7015
Di;22.03.2011;20:15;SC Bern;Kloten Flyers; 2:1; 1:1|0:0|1:0;;;False;PostFinance Arena;16758
Do;24.03.2011;20:15;Kloten Flyers;SC Bern; 1:4; 0:2|0:1|1:1;;;False;Kolping Arena Kloten;6857
Sa;26.03.2011;20:15;SC Bern;Kloten Flyers; 5:1; 2:0|1:0|2:1;;;False;PostFinance Arena;17131
Di;29.03.2011;20:15;Kloten Flyers;SC Bern; 1:0; 1:0|0:0|0:0;;;False;Kolping Arena Kloten;7624
