Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Do;08.09.2011;19:45;ZSC Lions;EV Zug; 5:6; 0:0|1:4|4:1|0:1;OT;;False;Hallenstadion Zürich;7182
Fr;09.09.2011;19:45;EHC Biel;HC Ambri-Piotta; 1:0; 1:0|0:0|0:0;;;False;Biel;4747
Fr;09.09.2011;19:45;HC Davos;SCL Tigers; 3:1; 1:1|1:0|1:0;;;False;Vaillant Arena Davos;4403
Fr;09.09.2011;19:45;SC Rapperswil-Jona Lakers;SC Bern; 1:3; 1:1|0:1|0:1;;;False;Diners Club Arena;4703
Fr;09.09.2011;19:45;HC Lugano;ZSC Lions; 1:2; 0:0|1:0|0:1|0:1;OT;;False;Resega Lugano;5244
Fr;09.09.2011;19:45;EV Zug;Fribourg-Gottéron; 4:3; 3:1|0:2|0:0|1:0;OT;;False;Bossard Arena Zug;6457
Sa;10.09.2011;19:45;HC Ambri-Piotta;SC Rapperswil-Jona Lakers; 2:4; 0:2|2:2|0:0;;;False;Ambri Valascia;4892
Sa;10.09.2011;19:45;SC Bern;EHC Biel; 1:2; 1:0|0:1|0:0|0:1;SO;;False;PostFinance Arena;15037
Sa;10.09.2011;19:45;Fribourg-Gottéron;HC Lugano; 3:5; 1:3|0:2|2:0;;;False;Fribourg BCF Arena;6650
Sa;10.09.2011;19:45;Kloten Flyers;HC Davos; 3:0; 1:0|1:0|1:0;;;False;Kolping Arena Kloten;6894
Sa;10.09.2011;19:45;SCL Tigers;Genève-Servette HC; 4:3; 3:1|0:0|0:2|1:0;SO;;False;Ilfishalle Langnau;5079
Di;13.09.2011;19:45;ZSC Lions;SC Bern; 0:3; 0:0|0:0|0:3;;;False;Hallenstadion Zürich;6676
Fr;16.09.2011;19:45;HC Ambri-Piotta;SCL Tigers; 4:3; 2:2|0:0|2:1;;;False;Ambri Valascia;4023
Fr;16.09.2011;19:45;HC Davos;EV Zug; 1:2; 0:1|1:1|0:0;;;False;Vaillant Arena Davos;3591
Fr;16.09.2011;19:45;Fribourg-Gottéron;SC Rapperswil-Jona Lakers; 4:1; 1:1|2:0|1:0;;;False;Fribourg BCF Arena;6020
Fr;16.09.2011;19:45;HC Lugano;Kloten Flyers; 3:4; 1:2|1:0|1:1|0:1;OT;;False;Resega Lugano;4217
Sa;17.09.2011;19:45;SC Bern;Fribourg-Gottéron; 3:2; 0:2|1:0|1:0|1:0;SO;;False;PostFinance Arena;16045
Sa;17.09.2011;19:45;Kloten Flyers;HC Ambri-Piotta; 2:3; 0:0|0:1|2:1|0:1;OT;;False;Kolping Arena Kloten;5657
Sa;17.09.2011;19:45;SC Rapperswil-Jona Lakers;HC Davos; 3:6; 1:1|0:2|2:3;;;False;Diners Club Arena;5280
Sa;17.09.2011;19:45;SCL Tigers;HC Lugano; 4:3; 0:1|1:2|3:0;;;False;Ilfishalle Langnau;5558
Sa;17.09.2011;19:45;EV Zug;Genève-Servette HC; 7:3; 1:2|2:0|4:1;;;False;Bossard Arena Zug;4911
Di;20.09.2011;19:45;HC Davos;EHC Biel; 4:3; 0:0|0:3|4:0;;;False;Vaillant Arena Davos;3005
Di;20.09.2011;19:45;Fribourg-Gottéron;SCL Tigers; 4:5; 1:0|1:3|2:2;;;False;Fribourg BCF Arena;6010
Di;20.09.2011;19:45;HC Lugano;SC Bern; 3:4; 0:1|2:2|1:1;;;False;Resega Lugano;3722
Di;20.09.2011;19:45;ZSC Lions;Kloten Flyers; 0:5; 0:2|0:0|0:3;;;False;Hallenstadion Zürich;7282
Di;20.09.2011;19:45;EV Zug;SC Rapperswil-Jona Lakers; 7:0; 3:0|2:0|2:0;;;False;Bossard Arena Zug;5796
Di;20.09.2011;19:50;Genève-Servette HC;HC Ambri-Piotta; 2:3; 1:1|0:1|1:1;;;False;Les Vernets Genève;6037
Fr;23.09.2011;19:45;HC Ambri-Piotta;EV Zug; 5:1; 1:1|2:0|2:0;;;False;Ambri Valascia;4591
Fr;23.09.2011;19:45;SC Bern;Kloten Flyers; 1:4; 1:1|0:2|0:1;;;False;PostFinance Arena;14871
Fr;23.09.2011;19:45;HC Davos;HC Lugano; 2:3; 0:1|1:1|1:0|0:1;SO;;False;Vaillant Arena Davos;3733
Fr;23.09.2011;19:45;SC Rapperswil-Jona Lakers;ZSC Lions; 2:4; 0:3|1:0|1:1;;;False;Diners Club Arena;4015
Fr;23.09.2011;19:45;SCL Tigers;EHC Biel; 2:3; 0:1|1:0|1:2;;;False;Ilfishalle Langnau;5344
Fr;23.09.2011;20:15;Fribourg-Gottéron;Genève-Servette HC; 2:1; 0:0|1:1|1:0;;;False;Fribourg BCF Arena;6645
