Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Do;12.09.2013;19:45;ZSC Lions;Fribourg-Gottéron; 2:0; 0:0|0:0|2:0;;;False;Hallenstadion AG, Zürich;8490
Fr;13.09.2013;19:45;SC Bern;EV Zug; 5:4; 2:2|2:2|0:0|1:0;OT;;False;PostFinance-Arena, Bern;16309
Fr;13.09.2013;19:45;EHC Biel;ZSC Lions; 1:0; ;SO;;False;Eisstadion, Biel-Bienne;4561
Fr;13.09.2013;19:45;Fribourg-Gottéron;Lausanne HC; 3:2; 0:1|0:0|3:1;;;False;BCF Arena, Fribourg;6700
Fr;13.09.2013;19:45;Genève-Servette HC;HC Ambri-Piotta; 1:2; 0:1|1:0|0:1;;;False;Les Vernets, Genève;6750
Fr;13.09.2013;19:45;Kloten Flyers;HC Davos; 5:1; 2:0|0:1|3:0;;;False;Kolping Arena, Kloten;7151
Fr;13.09.2013;19:45;SC Rapperswil-Jona Lakers;HC Lugano; 2:3; 0:0|1:2|1:0|0:1;SO;;False;Diners Club Arena, Rapperswil;4811
Sa;14.09.2013;19:45;HC Ambri-Piotta;SC Rapperswil-Jona Lakers; 3:2; 1:1|2:1|0:0;;;False;Stadio Valascia, Ambri;6500
Sa;14.09.2013;19:45;HC Davos;Genève-Servette HC; 5:2; 0:1|2:0|3:1;;;False;Vaillant Arena, Davos;4519
Sa;14.09.2013;19:45;HC Lugano;SC Bern; 5:1; 1:0|3:1|1:0;;;False;Pista Resega, Porza;5015
Sa;14.09.2013;19:45;Lausanne HC;Kloten Flyers; 3:2; 1:0|1:1|1:1;;;False;P. de Malley, Lausanne;6527
Sa;14.09.2013;19:45;EV Zug;EHC Biel; 4:3; 0:1|1:2|3:0;;;False;BOSSARD Arena, Zug;6026
Di;17.09.2013;19:45;SC Bern;ZSC Lions; 4:3; 0:1|1:2|2:0|1:0;OT;;False;PostFinance-Arena, Bern;15004
Di;17.09.2013;19:45;HC Davos;HC Ambri-Piotta; 5:2; 2:1|1:1|2:0;;;False;Vaillant Arena, Davos;2917
Di;17.09.2013;19:45;Fribourg-Gottéron;EV Zug; 1:4; 0:1|0:2|1:1;;;False;BCF Arena, Fribourg;6176
Di;17.09.2013;19:45;Kloten Flyers;EHC Biel; 6:3; 1:0|1:0|4:3;;;False;Kolping Arena, Kloten;4195
Di;17.09.2013;19:45;HC Lugano;Genève-Servette HC; 1:4; 1:1|0:1|0:2;;;False;Pista Resega, Porza;4218
Di;17.09.2013;19:48;SC Rapperswil-Jona Lakers;Lausanne HC; 5:8; 1:3|4:2|0:3;;;False;Diners Club Arena, Rapperswil;3589
Sa;21.09.2013;19:45;HC Ambri-Piotta;Fribourg-Gottéron; 2:3; 0:2|2:0|0:0|0:1;SO;;False;Stadio Valascia, Ambri;5563
