R;Team;GP;W;OTW;SOW;SOL;OTL;L;GF;GA;GDF;PTS
1;ZSC Lions;50;29;2;0;6;1;12;173;125;48;98
2;HC Davos;50;25;4;3;1;1;16;181;142;39;91
3;Genève-Servette HC;50;25;3;3;1;1;17;160;138;22;89
4;EV Zug;50;24;3;2;3;3;15;161;138;23;88
5;HC Lugano;50;21;2;4;1;4;18;157;150;7;80
6;Fribourg-Gottéron;50;22;0;2;3;2;21;148;154;-6;75
7;Kloten Flyers;50;20;2;3;0;2;23;154;150;4;72
8;SC Bern;50;16;3;2;5;4;20;152;162;-10;67
9;Lausanne HC;50;17;2;4;2;2;23;123;143;-20;67
10;HC Ambri-Piotta;50;18;1;1;4;4;22;144;166;-22;66
11;SCL Tigers;50;14;3;3;1;2;27;135;173;-38;57
12;EHC Biel;50;11;4;2;2;3;28;128;175;-47;50
