R;Team;GP;W;OTW;SOW;SOL;OTL;L;GF;GA;GDF;PTS
1;HC Davos;50;33;2;3;1;3;8;179;103;76;113
2;Kloten Flyers;50;33;1;4;3;0;9;170;111;59;112
3;SC Bern;50;24;5;6;3;0;12;160;117;43;97
4;EV Zug;50;26;3;3;2;2;14;176;143;33;94
5;Genève-Servette HC;50;20;2;1;5;3;19;129;128;1;74
6;SCL Tigers;50;19;2;3;5;2;19;149;154;-5;74
7;ZSC Lions;50;17;2;4;5;1;21;132;156;-24;69
8;Fribourg-Gottéron;50;14;2;6;3;3;22;157;154;3;64
9;EHC Biel;50;13;1;4;4;3;25;135;173;-38;56
10;HC Lugano;50;12;4;3;2;3;26;130;159;-29;55
11;SC Rapperswil-Jona Lakers;50;11;1;3;6;1;28;138;184;-46;48
12;HC Ambri-Piotta;50;11;1;1;2;5;30;99;172;-73;44
