R;Team;GP;W;OTW;SOW;SOL;OTL;L;GF;GA;GDF;PTS
1;EHC Olten;45;25;3;3;2;1;11;166;120;46;90
2;SCL Tigers;45;25;0;1;3;0;16;139;123;16;80
3;SC Langenthal;45;23;2;2;0;3;15;145;125;20;80
4;HC Red Ice;45;18;3;3;2;3;16;138;119;19;71
5;EHC Visp;45;16;1;5;1;4;18;163;164;-1;65
6;EHC Basel Sharks;45;17;2;3;2;1;20;144;162;-18;64
7;Hockey Thurgau;45;15;4;0;4;4;18;144;160;-16;61
8;HC La Chaux-de-Fonds;45;14;3;4;3;1;20;151;149;2;60
9;HC Ajoie;45;14;3;1;3;4;20;123;156;-33;57
10;GCK Lions;45;10;2;3;5;2;23;113;148;-35;47
