R;Team;GP;GF;GF/GP;GA;GA/GP;GF even;GF even/GP;GA even;GA even/GP;PPG;PPG/GP;PP GA;PP GA/GP;SHG;PK GF/GP;PK GA;PK GA/GP;SOWGF;SOWGA
1;HC Davos;50;179;3.58;103;2.06;128;2.56;67;1.34;35;0.70;7;0.14;13;0.26;28;0.56;3;1
2;EV Zug;50;176;3.52;143;2.86;135;2.70;102;2.04;36;0.72;2;0.04;2;0.04;37;0.74;3;2
3;Kloten Flyers;50;170;3.40;111;2.22;110;2.20;73;1.46;44;0.88;5;0.10;12;0.24;30;0.60;4;3
4;SC Bern;50;160;3.20;117;2.34;119;2.38;86;1.72;30;0.60;2;0.04;5;0.10;26;0.52;6;3
5;Fribourg-Gottéron;50;157;3.14;154;3.08;103;2.06;106;2.12;45;0.90;4;0.08;3;0.06;41;0.82;6;3
6;SCL Tigers;50;149;2.98;154;3.08;105;2.10;108;2.16;37;0.74;8;0.16;4;0.08;33;0.66;3;5
;Durchschnitt;50;146;2.92;146;2.92;101;2.02;101;2.02;36;0.72;5;0.10;5;0.10;36;0.72;3;3
7;SC Rapperswil-Jona Lakers;50;138;2.76;184;3.68;100;2.00;125;2.50;32;0.64;6;0.12;3;0.06;47;0.94;3;6
8;EHC Biel;50;135;2.70;173;3.46;89;1.78;116;2.32;39;0.78;6;0.12;3;0.06;47;0.94;4;4
9;ZSC Lions;50;132;2.64;156;3.12;91;1.82;110;2.20;36;0.72;4;0.08;1;0.02;37;0.74;4;5
10;HC Lugano;50;130;2.60;159;3.18;86;1.72;112;2.24;36;0.72;5;0.10;5;0.10;40;0.80;3;2
11;Genève-Servette HC;50;129;2.58;128;2.56;93;1.86;85;1.70;30;0.60;5;0.10;5;0.10;33;0.66;1;5
12;HC Ambri-Piotta;50;99;1.98;172;3.44;58;1.16;127;2.54;36;0.72;6;0.12;4;0.08;37;0.74;1;2
