R;Team;GP;2' ;5';10';GM;MP;PIM Total
1;EV Zug;50;280;4;21;7;0;930
2;HC Davos;50;289;5;9;3;2;793
3;Kloten Flyers;50;284;1;14;2;0;753
4;ZSC Lions;50;264;4;11;4;0;738
5;Fribourg-Gottéron;50;241;4;7;5;1;692
6;Genève-Servette HC;50;239;1;10;5;0;683
;Durchschnitt;50;243;2;9;3;0;671
7;SC Rapperswil-Jona Lakers;50;245;2;10;2;0;640
8;EHC Biel;50;226;4;8;4;0;632
9;HC Lugano;50;249;1;8;2;0;623
10;SCL Tigers;50;216;3;7;3;1;597
11;SC Bern;50;213;1;6;1;0;511
12;HC Ambri-Piotta;50;178;1;7;2;0;471
