R;Team;GP;PK SI;PK SI/GP;PK GA;PK GA/GP;PK%;PKT;PK time/GP;SHG;PK GF/GP
1;Genève-Servette HC;50;297;5.94;42;0.84;85.86;467:57;09:21;5;0.10
2;HC Davos;50;298;5.96;43;0.86;85.57;482:56;09:39;7;0.14
3;ZSC Lions;50;242;4.84;37;0.74;84.71;361:33;07:13;9;0.18
4;Kloten Flyers;50;271;5.42;42;0.84;84.50;424:41;08:29;11;0.22
5;EV Zug;50;289;5.78;46;0.92;84.08;453:07;09:03;8;0.16
6;HC Lugano;50;284;5.68;48;0.96;83.10;446:35;08:55;6;0.12
;Durchschnitt;50;280;5.60;50;1.00;82.14;433:45;08:40;7;0.14
7;EHC Biel;50;306;6.12;55;1.10;82.03;461:34;09:13;3;0.06
8;SC Bern;50;262;5.24;51;1.02;80.53;438:41;08:46;12;0.24
9;Fribourg-Gottéron;50;273;5.46;54;1.08;80.22;415:04;08:18;8;0.16
10;HC Ambri-Piotta;50;266;5.32;56;1.12;78.95;397:00;07:56;5;0.10
11;SCL Tigers;50;304;6.08;64;1.28;78.95;435:07;08:42;7;0.14
12;SC Rapperswil-Jona Lakers;50;271;5.42;63;1.26;76.75;420:51;08:25;3;0.06
