R;Team;GP;PP OP;PP OP/GP;PPG;PPG/GP;PP%;PPT;PP time/GP;PP GA;PP GA/GP
1;HC Lugano;50;270;5.40;68;1.36;25.19;397:53;07:57;8;0.16
2;SC Bern;50;251;5.02;55;1.10;21.91;373:44;07:28;3;0.06
3;ZSC Lions;50;280;5.60;59;1.18;21.07;426:55;08:32;6;0.12
4;HC Davos;50;265;5.30;53;1.06;20;398:29;07:58;3;0.06
5;SCL Tigers;50;316;6.32;59;1.18;18.67;453:50;09:04;9;0.18
;Durchschnitt;50;280;5.60;50;1.00;17.86;433:45;08:40;7;0.14
6;SC Rapperswil-Jona Lakers;50;265;5.30;46;0.92;17.36;403:55;08:04;9;0.18
7;Kloten Flyers;50;310;6.20;53;1.06;17.10;520:30;10:24;3;0.06
8;EV Zug;50;290;5.80;49;0.98;16.90;444:04;08:52;8;0.16
9;Fribourg-Gottéron;50;289;5.78;47;0.94;16.26;455:52;09:07;5;0.10
10;HC Ambri-Piotta;50;268;5.36;41;0.82;15.30;427:36;08:33;10;0.20
11;Genève-Servette HC;50;298;5.96;42;0.84;14.09;470:26;09:24;7;0.14
12;EHC Biel;50;261;5.22;29;0.58;11.11;431:52;08:38;13;0.26
