R;Team;GP;PP OP;PP OP/GP;PPG;PPG/GP;PP%;PPT;PP time/GP;PP GA;PP GA/GP
1;Fribourg-Gottéron;50;208;4.16;45;0.90;21.63;323:51;06:28;4;0.08
2;EHC Biel;50;201;4.02;39;0.78;19.40;323:04;06:27;6;0.12
3;HC Lugano;50;188;3.76;36;0.72;19.15;311:54;06:14;5;0.10
4;Kloten Flyers;50;243;4.86;44;0.88;18.11;392:49;07:51;5;0.10
5;EV Zug;50;200;4.00;36;0.72;18;319:19;06:23;2;0.04
6;SC Rapperswil-Jona Lakers;50;178;3.56;32;0.64;17.98;291:45;05:50;6;0.12
;Durchschnitt;50;205;4.10;36;0.72;17.56;332:04;06:38;5;0.10
7;HC Davos;50;203;4.06;35;0.70;17.24;330:01;06:36;7;0.14
8;ZSC Lions;50;212;4.24;36;0.72;16.98;343:34;06:52;4;0.08
9;SC Bern;50;178;3.56;30;0.60;16.85;283:40;05:40;2;0.04
10;SCL Tigers;50;221;4.42;37;0.74;16.74;354:09;07:04;8;0.16
11;HC Ambri-Piotta;50;222;4.44;36;0.72;16.22;365:50;07:19;6;0.12
12;Genève-Servette HC;50;216;4.32;30;0.60;13.89;344:57;06:53;5;0.10
