R;Team;GP;GF;SOG;S%;SOG/GP
1;SC Bern;50;160;1'755;9.12;35
2;EV Zug;50;176;1'701;10.35;34
3;Kloten Flyers;50;170;1'626;10.46;33
4;HC Lugano;50;130;1'625;8;32
5;EHC Biel;50;135;1'530;8.82;31
6;Fribourg-Gottéron;50;157;1'507;10.42;30
7;SCL Tigers;50;149;1'482;10.05;30
;Durchschnitt;50;146;1'441;10.13;29
8;ZSC Lions;50;132;1'411;9.36;28
9;HC Davos;50;179;1'308;13.69;26
10;Genève-Servette HC;50;129;1'250;10.32;25
11;SC Rapperswil-Jona Lakers;50;138;1'199;11.51;24
12;HC Ambri-Piotta;50;99;898;11.02;18
