Spieler,Pos,Team,year,GP,G,A,PTS,P/GP,PIM Total,+/-,Number of year,A1,A2,GWG,EQG,EQA,PPG,PPA,SHG,SHA,SOG,S%,SOG/GP,2' ,5',10',GM,MP
Abid Ramzi,Stürmer,SC Bern,08-09,1,0,0,0,0.0,12,0,1,0,0,0,0,0,0,0,0,0,2,0,2.0,1,0,1,0,0
Abplanalp Marc,Verteidiger,Fribourg-Gottéron,08-09,11,1,0,1,0.09,2,0,1,0,0,0,1,0,0,0,0,0,10,10,0.91,1,0,0,0,0
Abplanalp Marc,Verteidiger,Fribourg-Gottéron,09-10,7,2,3,5,0.71,2,2,1,2,1,0,2,2,0,1,0,0,8,25,1.14,1,0,0,0,0
Abplanalp Marc,Verteidiger,Fribourg-Gottéron,10-11,4,0,0,0,0.0,4,-2,1,0,0,0,0,0,0,0,0,0,1,0,0.25,2,0,0,0,0
Abplanalp Marc,Verteidiger,Fribourg-Gottéron,11-12,9,0,0,0,0.0,0,-2,1,0,0,0,0,0,0,0,0,0,6,0,0.67,0,0,0,0,0
Abplanalp Marc,Verteidiger,Fribourg-Gottéron,12-13,17,0,6,6,0.35,4,4,1,3,3,0,0,5,0,0,0,1,20,0,1.18,2,0,0,0,0
Abplanalp Marc,Verteidiger,Fribourg-Gottéron,13-14,5,0,0,0,0.0,0,-2,1,0,0,0,0,0,0,0,0,0,4,0,0.8,0,0,0,0,0
Abplanalp Marc,Verteidiger,Fribourg-Gottéron,15-16,5,1,0,1,0.2,4,0,1,0,0,1,1,0,0,0,0,0,5,20,1.0,2,0,0,0,0
Abplanalp Sandro,Stürmer,Fribourg-Gottéron,08-09,4,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0
Aeschlimann Marc,Stürmer,HC Davos,13-14,2,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1.0,0,0,0,0,0
Aeschlimann Marc,Stürmer,HC Davos,15-16,9,0,2,2,0.22,2,1,1,1,1,0,0,2,0,0,0,0,7,0,0.78,1,0,0,0,0
Afanasenkov Dmitry,Stürmer,Fribourg-Gottéron,11-12,3,1,0,1,0.33,0,-1,1,0,0,0,1,0,0,0,0,0,8,12.5,2.67,0,0,0,0,0
Akerman Johan,Verteidiger,HC Lugano,09-10,3,0,0,0,0.0,2,-1,1,0,0,0,0,0,0,0,0,0,4,0,1.33,1,0,0,0,0
Alatalo Santeri,Verteidiger,EV Zug,14-15,6,0,1,1,0.17,6,-1,1,1,0,0,0,0,0,1,0,0,8,0,1.33,3,0,0,0,0
Alatalo Santeri,Verteidiger,EV Zug,15-16,4,0,0,0,0.0,6,-5,1,0,0,0,0,0,0,0,0,0,5,0,1.25,3,0,0,0,0
Alatalo Santeri,Verteidiger,HC Davos,12-13,3,0,0,0,0.0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.33,1,0,0,0,0
Almond Cody,Stürmer,Genève-Servette HC,12-13,7,0,2,2,0.29,18,1,1,1,1,0,0,2,0,0,0,0,13,0,1.86,4,0,1,0,0
Almond Cody,Stürmer,Genève-Servette HC,13-14,12,0,5,5,0.42,6,3,1,2,3,0,0,4,0,1,0,0,24,0,2.0,3,0,0,0,0
Almond Cody,Stürmer,Genève-Servette HC,14-15,12,3,6,9,0.75,16,3,1,4,2,1,1,4,1,0,1,2,23,13.04,1.92,8,0,0,0,0
Alston Jan,Stürmer,ZSC Lions,08-09,4,0,0,0,0.0,2,-2,1,0,0,0,0,0,0,0,0,0,6,0,1.5,1,0,0,0,0
Alston Jan,Stürmer,ZSC Lions,09-10,7,2,4,6,0.86,12,0,1,1,3,0,2,2,0,2,0,0,16,12.5,2.29,6,0,0,0,0
Altorfer Niki,Stürmer,EHC Biel,11-12,2,0,0,0,0.0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,0,0
Altorfer Niki,Stürmer,ZSC Lions,10-11,3,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0
Ambühl Andres,Stürmer,HC Davos,08-09,21,4,3,7,0.33,48,-1,1,3,0,2,4,3,0,0,0,0,50,8,2.38,24,0,0,0,0
Ambühl Andres,Stürmer,HC Davos,13-14,4,1,1,2,0.5,0,0,1,1,0,0,1,0,0,1,0,0,13,7.69,3.25,0,0,0,0,0
Ambühl Andres,Stürmer,HC Davos,14-15,15,2,6,8,0.53,10,9,1,2,4,0,2,5,0,1,0,0,27,7.41,1.8,5,0,0,0,0
Ambühl Andres,Stürmer,HC Davos,15-16,9,6,2,8,0.89,10,1,1,2,0,0,2,1,4,0,0,1,28,21.43,3.11,5,0,0,0,0
Ambühl Andres,Stürmer,ZSC Lions,10-11,5,2,1,3,0.6,4,0,1,1,0,0,0,0,2,1,0,0,14,14.29,2.8,2,0,0,0,0
Ambühl Andres,Stürmer,ZSC Lions,11-12,15,5,9,14,0.93,6,9,1,6,3,2,3,7,1,2,1,0,57,8.77,3.8,3,0,0,0,0
Ambühl Andres,Stürmer,ZSC Lions,12-13,12,3,0,3,0.25,2,-1,1,0,0,1,3,0,0,0,0,0,26,11.54,2.17,1,0,0,0,0
Andersson Calle,Verteidiger,HC Lugano,14-15,6,0,3,3,0.5,0,0,1,1,2,0,0,1,0,2,0,0,6,0,1.0,0,0,0,0,0
Antonietti Benjamin,Stürmer,Genève-Servette HC,09-10,5,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0
Antonietti Benjamin,Stürmer,Lausanne HC,13-14,7,3,1,4,0.57,4,2,1,1,0,0,3,1,0,0,0,0,19,15.79,2.71,2,0,0,0,0
Antonietti Benjamin,Stürmer,Lausanne HC,14-15,7,0,1,1,0.14,2,-1,1,0,1,0,0,1,0,0,0,0,4,0,0.57,1,0,0,0,0
Antonietti Eliot,Verteidiger,Genève-Servette HC,12-13,7,0,0,0,0.0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0.29,1,0,0,0,0
Antonietti Eliot,Verteidiger,Genève-Servette HC,13-14,12,0,1,1,0.08,12,-2,1,1,0,0,0,1,0,0,0,0,16,0,1.33,6,0,0,0,0
Antonietti Eliot,Verteidiger,Genève-Servette HC,14-15,10,0,3,3,0.3,4,-1,1,1,2,0,0,2,0,0,0,1,21,0,2.1,2,0,0,0,0
Antonietti Eliot,Verteidiger,Genève-Servette HC,15-16,11,2,2,4,0.36,2,6,1,2,0,1,2,2,0,0,0,0,14,14.29,1.27,1,0,0,0,0
Arlbrandt Pär,Stürmer,EHC Biel,14-15,7,5,3,8,1.14,6,1,1,1,2,0,3,1,2,2,0,0,19,26.32,2.71,3,0,0,0,0
Aubin Serge,Stürmer,Fribourg-Gottéron,09-10,5,0,2,2,0.4,2,-3,1,1,1,0,0,0,0,2,0,0,11,0,2.2,1,0,0,0,0
Aubin Serge,Stürmer,Fribourg-Gottéron,10-11,4,0,0,0,0.0,4,-2,1,0,0,0,0,0,0,0,0,0,7,0,1.75,2,0,0,0,0
Aubin Serge,Stürmer,Genève-Servette HC,08-09,4,0,3,3,0.75,4,-1,1,3,0,0,0,3,0,0,0,0,5,0,1.25,2,0,0,0,0
Augsburger Gaëtan,Stürmer,Genève-Servette HC,08-09,4,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,0,0
Augsburger Gaëtan,Stürmer,Lausanne HC,13-14,4,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0.75,0,0,0,0,0
Augsburger Gaëtan,Stürmer,Lausanne HC,14-15,5,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1.0,0,0,0,0,0
Axelsson Dick,Stürmer,HC Davos,14-15,13,6,3,9,0.69,8,4,1,1,2,2,4,2,0,0,2,1,28,21.43,2.15,4,0,0,0,0
