Spieler,Pos,Team,Year,GP,G,SOG,S%,SOG/GP,A,PTS,P/GP,PIM Total,+/-,A1,A2,GWG,EQG,EQA,PPG,PPA,SHG,SHA,2' ,5',10',GM,MP,PS,PSG,PSM,PS%,GWG PS,Number of year
Abid Ramzi,Forward,SC Bern,08-09,33,9,78,11.54,2.36,22,31,0.94,87,6,14,8,2,5,15,4,7,0,0,26,1,1,1,0,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,08-09,44,2,18,11.11,0.41,4,6,0.14,8,3,3,1,0,2,4,0,0,0,0,4,0,0,0,0,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,09-10,47,3,38,7.89,0.81,3,6,0.13,20,0,1,2,2,1,2,2,1,0,0,10,0,0,0,0,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,10-11,42,4,27,14.81,0.64,1,5,0.12,28,-7,0,1,1,4,0,0,1,0,0,9,0,1,0,0,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,11-12,46,0,39,0,0.85,8,8,0.17,45,20,4,4,0,0,8,0,0,0,0,10,1,0,1,0,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,12-13,46,0,42,0,0.91,5,5,0.11,16,10,3,2,0,0,5,0,0,0,0,8,0,0,0,0,,,,,,1
Abplanalp Marc,Defender,Fribourg-Gottéron,13-14,42,3,20,15,0.48,4,7,0.17,6,-1,2,2,0,3,4,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Abplanalp Marc,Defender,Fribourg-Gottéron,14-15,39,1,25,4,0.64,5,6,0.15,12,-8,2,3,0,1,5,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Abplanalp Marc,Defender,Fribourg-Gottéron,15-16,38,1,17,5.88,0.45,5,6,0.16,10,-3,4,1,1,1,4,0,0,0,1,5,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Abplanalp Sandro,Forward,Fribourg-Gottéron,08-09,24,2,17,11.76,0.71,1,3,0.12,2,6,1,0,0,2,1,0,0,0,0,1,0,0,0,0,,,,,,1
Aeschlimann Marc,Forward,HC Davos,13-14,7,0,2,0,0.29,1,1,0.14,0,-1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Aeschlimann Marc,Forward,HC Davos,14-15,16,0,21,0,1.31,3,3,0.19,0,-1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,100,1.0,1
Aeschlimann Marc,Forward,HC Davos,15-16,49,8,55,14.55,1.12,8,16,0.33,0,-4,3,5,1,7,7,1,1,0,0,0,0,0,0,0,3.0,1.0,2.0,33.33,0.0,1
Afanasenkov Dmitry,Forward,Fribourg-Gottéron,11-12,14,3,37,8.11,2.64,5,8,0.57,6,1,3,2,0,2,3,1,2,0,0,3,0,0,0,0,,,,,,1
Ahlström Philip,Defender,HC Lugano,14-15,10,0,0,-,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Akerman Johan,Defender,HC Lugano,09-10,36,3,70,4.29,1.94,18,21,0.58,67,3,7,11,0,2,10,1,7,0,1,16,1,1,1,0,,,,,,1
Alatalo Santeri,Defender,EV Zug,13-14,49,3,85,3.53,1.73,12,15,0.31,40,18,5,7,1,2,10,1,1,0,1,20,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Alatalo Santeri,Defender,EV Zug,14-15,47,3,60,5,1.28,6,9,0.19,69,7,4,2,1,3,6,0,0,0,0,22,1,0,1,0,0.0,0.0,0.0,-,0.0,1
Alatalo Santeri,Defender,EV Zug,15-16,50,1,59,1.69,1.18,9,10,0.2,18,8,6,3,1,1,8,0,1,0,0,9,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Alatalo Santeri,Defender,HC Davos,12-13,36,0,40,0,1.11,7,7,0.19,16,5,3,4,0,0,6,0,1,0,0,8,0,0,0,0,,,,,,1
Albrecht Yannick-Lennart,Forward,SCL Tigers,15-16,49,13,50,26,1.02,12,25,0.51,10,-3,9,3,0,7,12,6,0,0,0,5,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Almond Cody,Forward,Genève-Servette HC,12-13,39,8,71,11.27,1.82,22,30,0.77,56,5,11,11,1,5,12,2,6,1,4,23,0,1,0,0,,,,,,1
Almond Cody,Forward,Genève-Servette HC,13-14,44,18,97,18.56,2.2,16,34,0.77,75,12,11,5,3,14,13,4,3,0,0,20,1,1,1,0,3.0,0.0,3.0,0,0.0,1
Almond Cody,Forward,Genève-Servette HC,14-15,20,5,56,8.93,2.8,6,11,0.55,24,-1,5,1,0,3,5,2,1,0,0,7,0,1,0,0,4.0,1.0,3.0,25,1.0,1
Almond Cody,Forward,Genève-Servette HC,15-16,4,0,5,0,1.25,1,1,0.25,2,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Alston Jan,Forward,ZSC Lions,08-09,50,14,117,11.97,2.34,20,34,0.68,46,2,12,8,4,8,14,5,5,1,1,18,0,1,0,0,,,,,,1
